"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id"
"1143","2005","08","20","Saturday",1,"FT",17,0.0899999999999991,"P",1.09,547,346.87,22.3,1.03,11,0,30.835,12,0.69,37.15625,1.03,1.72,"5",5.88999999999947,0,"dm",1181
"1144","2005","08","20","Saturday",0,"SB",19,0,"P",1,476.5,133.66,3,1,8,0.673858305,0,1,1,49.6015625,1,1,"3",0,1,"dm",1191
"1145","2005","08","20","Saturday",0,"SE",18,0,"P",1.07,376.5,283.37,8,1,22,0,25.135,13,0,63.6484375,1.02,2.37,"3",0,1,"dm",1190
"1146","2005","08","20","Saturday",0,"SD",18,0,"H",1.36,2265,872.63,24,1,14,0.188364353,64.68,18,0,59.828125,1,1,"3",0,1,"dm",1169
"1147","2005","08","20","Saturday",0,"SN",22,0,"P",3,7750,2169,3,1,18.845,0,34,6,3,66.046875,1,2,"3",0,1,"dm",1189
"1150","2005","08","20","Saturday",120,"SB",18,0,"P",1,350,97.78,4,1,2,0.055571141,17.6366666666667,22,0,14.26367188,1,0,"3",0,1,"dm",1172
"1151","2005","08","20","Saturday",0,"SO",19,0,"P",1.08,331,189.69,9,1,12,0,41,17,0,79.75,1,2,"3",0,1,"dm",1208
"1152","2005","08","20","Saturday",0,"SO",21,0,"P",1.1,900,206.7,35,1,5,0.170623525,22.2366666666667,5,2,65.421875,1.02,1.63,"3",0,1,"dm",1167
"1154","2005","08","20","Saturday",1,"FT",24,0,"P",1,950,563.29,5,1,1,0,30,2,2.54,48.4140625,2,0,"3",0,1,"dm",1220
"1155","2005","08","20","Saturday",0,"SA",21,0,"P",1.18,1153.5,323.91,47,1,5,0.262376224,33.57,2,1.99,71.078125,1.03,1.90333333333333,"3",0,1,"dm",1195
"1157","2005","08","20","Saturday",0,"SO",58,1,"H",1.62,10350,1,47,1,30.99,0,465.13,17.62,19,92.4375,1.39666666666667,2.02,"3",0,1,"dm",1205
"1158","2005","08","20","Saturday",0,"SO",20,0,"P",1.25,1526,772.65,63,1,4,0.125987762,73.93,0,0,28.08203125,1.02,1.81,"3",0,1,"dm",1211
"1159","2005","08","20","Saturday",0,"SC",18,0,"P",1.13,418.5,157.54,24.97,1.02,3,0,25.6,10.9,0.179999999999999,63.3787890625,1.01,1.42,"5",8.32999999999933,0,"dm",1164
"1160","2005","08","20","Saturday",560,"SA",19,1,"P",1,150,155,2,1,3,0.045363895,0,26,3,54.875,1,2,"3",89,1,"dm",1162
"1164","2005","08","20","Saturday",0,"SO",18,0,"P",1.24,650.5,522.83,22.52,1.18,3,0.059865345,47.59,0,0.249999999999999,81.078125,1.01,1.7,"5",14.0799999999999,0,"dm",1193
"1165","2005","08","20","Saturday",0,"SF",18,0,"P",1.06,408,138.56,24,1,4,0,21.4,10,0,56.7265625,1.05,1.48,"3",0,1,"dm",1225
"1170","2005","08","20","Saturday",0,"SA",18,0,"P",1.01,349.5,88.97,19,1,3,0.113542758,19.53,20,2,70.46875,1.02,1.73,"3",0,1,"dm",1212
"1171","2005","08","20","Saturday",0,"SO",18,0,"P",1.01,420,117.86,14.48,1.24,3,0.223330229,13.74,15,0,52.4609375,1.01,1.67,"5",13.1499999999997,0,"dm",1186
"1173","2005","08","20","Saturday",1,"SN",18,0,"P",1.25,827,472.04,52,1,63,0.326372893,49.93,20,0.59,70.5,1.08,2.07,"3",0,1,"dm",1198
"1174","2005","08","20","Saturday",0,"SL",19,0,"P",1.09,601.5,144.22,8,1,67,0.081758011,1,14,0,63.609375,1.03,3,"3",0,1,"dm",1173
"1175","2005","08","20","Saturday",0,"SK",18,0,"P",1.1,478.5,249.25,27,1,5,0.097239135,28.275,6,0,68.75,1.07,1.76,"3",0,1,"dm",1217
"1176","2005","08","20","Saturday",0,"SC",18,0,"P",1.03,329,101.17,13.7575,1.12,5,0,18.55,12.23,0.239999999999999,29.12109375,1,0.77,"5",13.2199999999997,0,"dm",1171
"1177","2005","08","20","Saturday",900,"SL",25,0,"P",1.43,400,216,38,2,21.65,0.27329735,55.22,11.68,3.04,41.8203125,1,1.11,"3",0,1,"dm",1188
"1183","2005","08","20","Saturday",0,"SO",18,0,"P",1.05,382.5,89.98,8,1,49,0.042547079,21,8,1,78.21875,1.01,3,"3",0,1,"dm",1226
"1184","2005","08","20","Saturday",0,"SM",18,0,"P",1.38,1832.5,890.89,8,1,26.15,0.466423702,400,13.63,5.79,60.0078125,1.14,3,"3",0,1,"dm",1210
"1185","2005","08","20","Saturday",0,"SK",18,0,"P",1.08,495.25,180.21,14.5675,1.25,7,0,15.28,5,1,79,1,2,"5",3.55999999999963,0,"dm",1201
"1186","2005","08","20","Saturday",0,"SC",18,0,"P",1.35,752.5,643.4,32.91,1.18,9,0.00989082,257.88,6,0,99,1.05,1.74,"5",3.60999999999968,0,"dm",1206
"1187","2005","08","20","Saturday",0,"SA",18,0,"P",1.08,536,145.64,56,1,30,0.400336677,37.25,13,0,83.28125,1.01,1.69,"3",0,1,"dm",1178
"1188","2005","08","20","Saturday",0,"SA",18,0,"P",1.02,331.5,89.15,17.2905,1.15,36,0.103394872,20.65,13,0,78.078125,1,0.61,"5",6.79999999999967,0,"dm",1242
"1189","2005","08","20","Saturday",0,"SD",20,0,"P",1,950,1084,2,1,16,0.081495612,84,8,0,54.15625,1,2,"3",0,1,"dm",1235
"1190","2005","08","20","Saturday",0,"SN",18,0,"P",1.1,470,203.4,17.03,1.1,14.61,0.625361985,21.03,11.26,1.09,33.734375,1.02,1.65,"5",0.0399999999993943,0,"dm",1241
"1191","2005","08","20","Saturday",0,"SC",18,0,"P",2,50,238.56,3,1,9,0.154215967,0,3,0,57.015625,1,1,"3",0,1,"dm",1261
"1193","2005","08","20","Saturday",0,"SM",27,0,"P",2,250,816.84,4,1.47,8,0.241055514,79.96,15,10,40.96875,3,1,"5",83.3299999999999,0,"dm",1246
"1200","2005","08","20","Saturday",0,"SH",18,0,"P",1.08,404,142.65,13.7475,1.26,15.22,0.054056773,20.89,9.96,0.339999999999999,42,1,0.74,"5",5.35999999999969,0,"dm",1238
"1203","2005","08","20","Saturday",0,"SC",19,0,"R",1.05,569,191.11,21.75,1.07,14,0,25.7,9,2,50.8203125,1.05,1.58,"5",6.9999999999994,0,"dm",1253
"1212","2005","08","20","Saturday",0,"SG",18,0,"P",1,381,170.55,3,2,18,0.008784768,25,11,0,48.1328125,1,0.99,"3",0,1,"dm",1249
"1213","2005","08","20","Saturday",0,"SL",19,0,"P",1,250,31,4,2,17,0,14.3,27,1,80.671875,1,1.27,"3",0,1,"dm",1237
"1221","2005","08","20","Saturday",0,"SA",18,0,"P",1.22,424.5,317.44,23,2,6,0.632697061,23.05,9,0.566,66.46875,1,0.88,"2",0,1,"dm",1236
"1240","2005","08","20","Saturday",0,"SM",18,0,"P",1.12,445.5,197.65,25.92,1.11,21.61,0.671344107,29.8,13.67,0,80.625,1.03,2.01,"5",-6.32809360467945e-13,0,"dm",1245
"1249","2005","08","20","Saturday",1,"SA",19,0,"P",1.01,348,106.03,16.31,1.03,18.6846666666667,0,20.66,14.64,0.7,65.98705078126,1.01,1.5,"5",4.01999999999929,0,"dm",1243
"1252","2005","08","20","Saturday",0,"SO",22,0.33,"R",1.17,889.5,334.79,19.58,1.07,11.64,0,32.14,10.48,1.85,51.2378906251,1.05,1.83,"4",4.60999999999964,0,"dm",1239
"1253","2005","08","20","Saturday",0,"SM",21,0,"P",1.1,772,147.85,17.17,1.07,18.31,0.028044429,19.49,12.11,3,72.328125,1.01,1.53,"5",15.8599999999996,0,"dm",1232
"1254","2005","08","20","Saturday",1,"SF",18,0,"P",1.05,456,145.47,17.18,1.02,5,0.246508095,14.99,15,0,41.578125,1.01,1.39,"5",0.129999999999314,0,"dm",1278
"1255","2005","08","20","Saturday",0,"SA",21,0,"R",1.11,724,231.91,19.63,1.07,11.49,0,27.54,9.92,1.69,51.4641406251,1.03,1.71333333333333,"4",1.6899999999996,0,"dm",1289
"1257","2005","08","20","Saturday",0,"SK",19,0,"R",1.11,571.25,178.91,13,1,19.58,0,16.81,12.35,1.24,63.66420898443,2,0,"3",0,1,"dm",1283
"1267","2005","08","20","Saturday",0,"SC",18,0,"P",1.05,421.5,139.64,15.645,1.12,8,0.149676415,16.71,11.5,0.209999999999999,60.759453125,1,0.62,"5",6.99999999999965,0,"dm",1295
"1268","2005","08","20","Saturday",0,"SE",20,0,"P",1,764.5,415.9,6,4,2,0.148564917,30,4,2.77,42.4609375,1,1,"3",0,2,"dm",1292
"1269","2005","08","20","Saturday",0,"SO",18,0,"P",1.07,272.75,127.71,17,1,22,0.130798549,21.31,4,0,65.6875,1,1,"3",0,1,"dm",1274
"1272","2005","08","23","Tuesday",0,"SG",18,0,"P",1.03,720.5,118.02,14.75,1.44,21,0.006432347,10.46,7,1,90.484375,1,0,"5",3.94999999999969,0,"dm",1281
"1274","2005","08","23","Tuesday",1,"SO",18,0,"P",1.08,754.5,39.2166666666667,9,1,32,0.039932276,8.52,10,2,78.984375,1.09,3,"3",0,1,"dm",1271
"1275","2005","08","23","Tuesday",0,"SA",18,0,"P",1.09,275,59.4,18.53,1.04,46,0,31.48,16,0,63.3203125,1.06,1.48,"5",3.49999999999923,0,"dm",1277
"1276","2005","08","23","Tuesday",1,"SO",16,0.0499999999999986,"P",1.16,526.5,160.32,48,1.01,23,0.230340444,40.6275,15,0.349999999999999,64.015625,1.08,1.45,"5",-6.75726141707855e-13,0,"dm",1269
"1278","2005","08","23","Tuesday",0,"SN",19,0,"P",1.41,804.666666666667,243.32,14,1,58,0,26,11,3,99,2,0,"3",0,1,"dm",1273
"1280","2005","08","23","Tuesday",0,"SK",18,0,"P",1,754.333333333333,109.6,2,2,37,0.056294664,7.75,25,0.62,78.5,1,0.69,"3",0,1,"dm",1298
"1282","2005","08","23","Tuesday",1,"SO",19,0,"P",2,1450,0,4,1,45,0.033344058,15.65,27,2,65.921875,1.32666666666667,4,"3",0,1,"dm",1299
"1283","2005","08","23","Tuesday",0,"SA",19,0,"P",1.11,382.5,67.97,28,1,39,0,29.7175,16,0,46.3203125,1.15333333333333,1.44,"3",0,1,"dm",1315
"1284","2005","08","23","Tuesday",0,"SO",18,0,"P",1,345.5,73.88,2,1,39,0.350246186,26,19,0,47.3515625,1,0,"3",0,1,"dm",1320
"1285","2005","08","23","Tuesday",1,"SO",18,0,"P",1.19,302,86.9,17.91,1.04,38,0.097532549,29.33,12,1,86.78125,1.05,1.53,"5",-6.19877482677111e-13,0,"dm",1352
"1287","2005","08","23","Tuesday",0,"SH",18,0,"P",1.32,642.5,166.53,51,1,34,0,37.68,19,0,67.28125,1,0,"3",0,1,"dm",1482
"1290","2005","08","23","Tuesday",0,"SH",18,0,"P",1.17,717.5,124.64,12.82,1.38,27,0.129683738,6.71,20,1,54.5546875,1,0,"5",-3.11075609715772e-13,0,"dm",1358
"1293","2005","08","23","Tuesday",1,"SB",20,0,"P",1,300,143.74,5,3,25,0.114161236,65,24,2,68.609375,1,0.89,"3",0,1,"dm",1486
"1294","2005","08","23","Tuesday",0,"SA",18,0,"P",1.07,231,73.11,14.66,1.26,23,0.151634655,30.54,15,1,79.328125,1,0,"5",0.149999999999631,0,"dm",1457
"1296","2005","08","23","Tuesday",0,"SC",18,0,"P",1,350,0,5,1.11,23,0,85,13,2,71.421875,1.17,1.8,"5",13.9399999999995,0,"dm",1596
"1297","2005","08","23","Tuesday",0,"SA",19,0,"P",1.13,601.5,136.22,16,2,25,0.05302116,1,3,1.32,22.140625,1,0,"3",0,1,"dm",1473
"1298","2005","08","23","Tuesday",0,"SA",18,0,"P",1.09,379,134.67,24.82,1.13,24,0,32.5,3,0,7.401367188,1.10333333333333,1.43,"5",3.49999999999929,0,"dm",1552
"1299","2005","08","23","Tuesday",0,"SF",18,0,"P",1.09,306,60.65,18.045,1.02,24,0,26.796,22,0,70.8125,1.03,1.52,"5",6.66999999999929,0,"dm",1312
"1300","2005","08","23","Tuesday",0,"SD",20,2,"P",1.14,742,135.91,24,1,24,0.011097729,0,11,1,71.515625,1.05,1.60333333333333,"3",0,1,"dm",1332
"1301","2005","08","23","Tuesday",0,"SO",20,0,"P",1.36,150,0,12,1,57,0,24,4,1,80.90625,1.14,1.79,"3",0,1,"dm",1345
"1303","2005","08","23","Tuesday",0,"SO",18,0,"P",1.05,727.5,89.63,14.18,1.26,24,0.228844853,9.11,20,2,72.203125,1,0,"5",0.979999999999748,0,"dm",1557
"1306","2005","08","23","Tuesday",0,"SA",19,0,"P",1,809.5,114.08,1,1,65,0.145490332,0,21,2,61.6171875,1,1,"3",0,1,"dm",1337
"1307","2005","08","23","Tuesday",0,"SA",18,0,"P",1.09,281.5,55.94,20.36,1.02,26,0,32.22,13,0,80.5625,1.07,1.45,"5",3.49999999999925,0,"dm",1433
"1308","2005","08","23","Tuesday",0,"SH",18,0,"P",1.11,715,120.68,15,1,22,0.100237991,10.65,3,2,53.3671875,1.1,1.32,"3",0,1,"dm",1330
"1309","2005","08","23","Tuesday",0,"SE",18,0,"P",1.1,625.5,274.52,19,1,21,0,15.14,27,1,86.859375,1,0,"3",0,1,"dm",1323
"1312","2005","08","23","Tuesday",0,"SH",18,0,"P",1.1,690.75,73.08,14.14,1.01,20,0.030108968,9.31,12.96,0.319999999999999,69.09375,1.05,1.51,"5",-7.53743734094314e-13,0,"dm",1407
"1314","2005","08","23","Tuesday",0,"SO",18,0,"P",1,243.5,58.69,5,1.1425,21,0,26,16,0,52.140625,1,0,"5",3.82999999999971,0,"dm",1410
"1315","2005","08","23","Tuesday",0,"SH",18,0,"P",1.28,576,250.65,28,1,18,0.217340984,16.74,3,0.45,67.28125,1.08,1.2,"3",0,1,"dm",1393
"1317","2005","08","23","Tuesday",0,"SD",18,0,"P",1.12,700.25,96.6,14.39,1.33,20,0,8.77,6,2,77.96875,1,0,"5",3.97999999999968,0,"dm",1483
"1318","2005","08","23","Tuesday",0,"SA",21,0,"P",1,750,0,6,1,20,0,40,13,2,66.106953125,2,2,"3",0,1,"dm",1333
"1319","2005","08","23","Tuesday",0,"SO",18,0,"P",1.03,223.5,37.92,16.50375,1,19,0,26.516,18,0.0499999999999991,59.265625,1.04,1.54,"5",3.4999999999993,0,"dm",1565
"1320","2005","08","23","Tuesday",0,"SH",18,0,"P",1.09,642,91.02,16.12,1.04,20,0.073066759,11.15,7,0,59.2109375,1.1,1.44,"5",-7.17506054570549e-13,0,"dm",1569
"1321","2005","08","23","Tuesday",0,"SH",17,0,"P",1.11,673,85.82,15.32,1.05,19,0.051368485,9.13,10,0,79.3125,1.02,1.45,"5",7.38999999999931,0,"dm",1555
"1322","2005","08","23","Tuesday",0,"SN",17,0,"P",1.02,693,106.46,15.45,1.03,20,0,12.17,6,0.59,75.765625,1.02,1.53,"5",3.49999999999932,0,"dm",1503
"1324","2005","08","23","Tuesday",0,"SG",19,0,"P",1,1250,0,3,1,19,0.051152551,11.84,18,0,66.046875,1.12,2.06,"3",0,1,"dm",1329
"1326","2005","08","23","Tuesday",0,"SB",18,1,"P",1.1,251,72.8,20.365,1.01,19,0.273613222,29.12,13,0,55.2734375,1.03,1.47,"5",-7.43654027246521e-13,0,"dm",1485
"1327","2005","08","23","Tuesday",1,"SH",18,0,"P",1.14,631.5,191.98,12.39,1.4,17,0.200552025,5.28,8,0,43.28125,1,0,"5",0.969999999999704,0,"dm",1419
"1328","2005","08","23","Tuesday",1,"SH",18,0,"P",1.08,707.75,91.175,18,2,17,0.019588151,5.75,9,0,77.75,1,0,"3",0,1,"dm",1474
"1329","2005","08","23","Tuesday",0,"SB",18,0,"P",1.04,314,106.81,19.64,1.03,15,0.417491069,28.04,6,0,53.765625,1.02,1.36,"5",0.079999999999382,0,"dm",1525
"1330","2005","08","23","Tuesday",1,"SD",18,0,"P",1,724.5,201.89,2,1.27,15,0.140849795,0,6,0,29.62109375,1,1,"5",6.96999999999972,0,"dm",1387
"1331","2005","08","23","Tuesday",1,"SB",16,0,"P",1.05,385.5,98.8,21.96,1.02,15,0.399696024,25.17,7,0.219999999999999,52.2109375,1.02,1.31,"5",0.0799999999993834,0,"dm",1442
"1332","2005","08","23","Tuesday",0,"SE",18,0,"P",1.27,497,355.01,18.4,1.18,14,0,23.586,3,0.389999999999999,22.99609375,1,0,"5",20.9699999999997,0,"dm",1450
"1335","2005","08","23","Tuesday",0,"SO",20,0,"P",1,353.5,87.75,5,1.17142857142857,14,0.00525207,27,2,1,87.125,1.08,1.8,"5",5.99999999999957,0,"dm",1385
"1336","2005","08","23","Tuesday",0,"SC",18,0,"P",1,678.75,46.32,4,1,14,0,9.1,18,0,85.203125,1,0,"3",0,1,"dm",1475
"1339","2005","08","23","Tuesday",0,"SD",18,0,"P",1.04,331.5,85.05,18,1.04,12,0.155352972,26.38,18,0.149999999999999,47.015625,1.02,1.52,"5",-7.75628450355725e-13,0,"dm",1501
"1340","2005","08","23","Tuesday",0,"SH",18,0,"P",1,285.5,37.57,5,1,12,0,23.3333333333333,12,1,69.140625,1.11,1.71,"3",0,1,"dm",1461
"1342","2005","08","23","Tuesday",0,"SO",19,0,"P",1.3,658.5,290.67,9,1,12,0.632041272,0,5,1,70,1.1,1.93,"2",3.42999999999962,0,"dm",1567
"1344","2005","08","23","Tuesday",0,"SC",19,0,"P",1.2,353,142.11,17.51,1.26,6,0,23.19,1,1,11.13867188,1,0,"5",13.4699999999997,0,"dm",1443
"1345","2005","08","23","Tuesday",0,"SC",19,0,"P",1.02,644.5,53.57,10,1,8,0,9.62,22,0,75.078125,1,0,"3",0,1,"dm",1507
"1346","2005","08","23","Tuesday",0,"SM",18,0,"P",1,447,65.54,4.84,1.06142857142857,11,0,20.41,23,0,77.703125,1.04,1.71,"5",5.24999999999934,0,"dm",1490
"1348","2005","08","23","Tuesday",0,"SD",18,0,"P",1.22,365.5,173.28,23,1,11,0.021802225,23.79,1,0.159999999999999,32.6953125,1.05333333333333,1.34,"3",0,1,"dm",1558
"1349","2005","08","23","Tuesday",0,"SD",19,0,"P",1.06,377.5,93.62,11,1,11,0.105373182,26,25,0,46.1015625,1.06,2.01,"3",0,1,"dm",1437
"1350","2005","08","23","Tuesday",1,"SO",18,0,"P",1.05,340,80.81,14.515,1.22,10,0.038302109,24.77,6,0,78.234375,1,0,"5",-2.92033064397401e-13,0,"dm",1542
"1351","2005","08","23","Tuesday",0,"SO",18,0,"P",1.03,263,60.6,14.365,1.05,11,0,26.8,21,0,75.96875,1.02,1.37,"5",3.53999999999933,0,"dm",1526
"1353","2005","08","23","Tuesday",0,"SO",18,0,"P",1.1,224,64.53,16,1,8,0.198184079,19.88,11.01,0.139999999999999,44.0078125,1.03,1.4,"3",0,1,"dm",1452
"1354","2005","08","23","Tuesday",1,"SB",18,0,"P",1.14,565,132.2,42,1,8,0.078922924,32.9375,28,1,65.859375,1.09,1.3,"3",0,1,"dm",1598
"1355","2005","08","23","Tuesday",0,"SB",19,0,"P",1.1,807.583333333333,94.08,17,2,11,0,0,18,3,88.9375,1,0.49,"3",0,1,"dm",1478
"1356","2005","08","23","Tuesday",1,"SA",20,0,"P",1.06,834,135.35,26,1,10,0.276678705,8.77,4,4,52.5625,1.08,1.23333333333333,"3",0,1,"dm",1508
"1359","2005","08","23","Tuesday",0,"SC",18,0,"P",1.03,288,86.1,18.27,1.03,9,0.299123436,24.58,13,0.119999999999999,48.796875,1.02,1.27,"5",3.49999999999927,0,"dm",1400
"1360","2005","08","23","Tuesday",1,"SA",18,0.0199999999999986,"P",1.02,243,78.03,19.63,1.08,9,0.117732713,24.18,17,0,41.9296875,1.04,1.5,"5",-7.79891706770286e-13,0,"dm",1434
"1361","2005","08","23","Tuesday",0,"SC",18,0,"P",1.06,289,50.09,17.2,1.01,9,0.026888685,24.49,10,0,74.421875,1.03,1.39,"5",3.49999999999923,0,"dm",1340
"1362","2005","08","23","Tuesday",460,"SM",19,0,"P",1,889,93.71,2,1,7,0,0,15,1,55.15625,1.12,1.93,"3",0,1,"dm",1440
"1364","2005","08","23","Tuesday",0,"SD",18,0,"P",1.55,607.5,462.37,20.24,1.5,9,0,41.015,0,0,61.6171875,1,0,"5",44.6699999999999,0,"dm",1389
"1366","2005","08","23","Tuesday",0,"SO",18,0,"P",1.05,254.5,65.31,14.305,1.13,10,0.065561538,24,16,0,73.40625,1,0.0133333333333333,"5",-3.48592266163905e-13,0,"dm",1408
"1367","2005","08","23","Tuesday",0,"SC",18,0,"P",1.02,321,38.6,23,1,14,0.060468003,23.9133333333333,15,0.219999999999999,71.28125,1.03,1.21,"3",0,1,"dm",1395
"1368","2005","08","23","Tuesday",0,"SD",18,0,"P",1.13,292,115.96,19,1,8,0.065793952,24.34,4,0,53.3046875,1,0,"3",0,1,"dm",1493
"1369","2005","08","23","Tuesday",0,"SE",18,0,"P",1.24,597,358.93,12,1,7,0.497754535,16.21,9,0,81.140625,1,0,"3",0,1,"dm",1326
"1371","2005","08","23","Tuesday",0,"SF",18,0,"P",1.09,694.5,68.8933333333333,10,1.03,8,0.06637971,7.84,14,1,69.484375,1.03,4,"5",0.579999999999328,0,"dm",1444
"1373","2005","08","23","Tuesday",0,"SB",19,0,"P",1.04,688.5,66.47,9,1,14,0.009952056,0,9,1,42.9140625,1.04,3,"3",0,1,"dm",1409
"1375","2005","08","23","Tuesday",1,"SO",19,0,"P",1.15,551.5,216.75,15.03,1.46,7,0.411189457,9.14,3,1.16,38.4921875,1,2,"5",10.1199999999998,0,"dm",1377
"1376","2005","08","23","Tuesday",1,"SL",18,0,"P",1.03,734,156.21,13.88,1.28,7,0.132213387,2.13,2,0.7,58.015625,1,0,"5",-3.08375547319883e-13,0,"dm",1459
"1377","2005","08","23","Tuesday",0,"SO",18,0,"P",1.03,401.5,73.71,24,1,6,0.102498077,21.4,21,0,58.6484375,1,0,"3",0,1,"dm",1360
"1378","2005","08","23","Tuesday",0,"SO",18,0,"P",1.04,323,93.8,26,1,7,0.12962256,19.54,15,0,45.2421875,1,0,"3",0,1,"dm",1462
"1379","2005","08","23","Tuesday",0,"SD",18,0,"P",1.16,50,122.45,10,1,7,0,25.94,9,0,54.625,1,0,"3",0,1,"dm",1504
"1380","2005","08","23","Tuesday",0,"SF",18,0,"P",1.03,286.5,87.52,16,1,8,0.111339171,20.9133333333333,12.29,0.0999999999999989,56.066875,1.08,1.26,"3",0,1,"dm",1338
"1382","2005","08","23","Tuesday",0,"SH",21,0,"P",1.14,847,208.27,20,1,8,0.41431402,0,10,3,48.578125,1.06,1.57666666666667,"5",13.3699999999996,0,"dm",1559
"1383","2005","08","23","Tuesday",0,"SC",18,0,"P",1.11,255,74.79,13,1,7,0,23.99,24,0,23.41796875,1,0,"3",0,1,"dm",1418
"1384","2005","08","23","Tuesday",0,"SO",18,0,"P",1.07,249.5,73.58,15.99,1.03,7,0.058826699,23.52,4,0,68.875,1.02,1.37,"5",-6.77573552820832e-13,0,"dm",1467
"1386","2005","08","23","Tuesday",0,"SB",18,0,"P",1.03,263.5,65.68,16.35,1.06,6,0,24.37,5,1,55.6171875,1.04,1.48,"5",3.49999999999931,0,"dm",1394
"1388","2005","08","23","Tuesday",1,"SO",18,0,"P",1.08,302,73.69,13.995,1.32,7,0.0637212,23.19,7,1,65.21875,1,0,"5",-3.16333625960397e-13,0,"dm",1424
"1389","2005","08","23","Tuesday",0,"SL",18,0,"P",1.03,766.25,77.72,22,1,17,0,6.89,17,0,69.21875,1.03,1.44,"3",0,1,"dm",1547
"1390","2005","08","23","Tuesday",0,"SO",19,0,"P",1.4825,730.5,258.78,32,1,14,0.109462951,13.82,2,2,78.96875,1,1,"3",0,1,"dm",1477
"1392","2005","08","23","Tuesday",0,"SO",20,0,"P",1.38,990,349.97,12,2,7,0.16473528,12.75,2,1,36.8515625,1,1,"3",1499,2,"dm",1307
"1393","2005","08","23","Tuesday",0,"SO",19,0,"P",1.07,716.5,80.215,9,2,6,0,0,2,2,76.515625,1,3,"3",0,1,"dm",1420
"1395","2005","08","23","Tuesday",1,"SO",18,0,"P",1.1,50,35.15,10,1,17,0.04162488,26.7,16,1,78.734375,1.05,2.12,"3",0,1,"dm",1537
"1397","2005","08","23","Tuesday",0,"SA",19,0,"P",1.02,658,58.79,12.63,1.17,8,0,11.19,27,2,39.5859375,1.05,1.86,"5",5.3499999999994,0,"dm",1357
"1398","2005","08","23","Tuesday",0,"SL",19,0,"P",1.11,715.5,140.24,8,1,6,0.532573668,3.48,2,1,56.875,1,0,"3",0,1,"dm",1591
"1400","2005","08","23","Tuesday",0,"SO",18,0,"P",1,521,45.61,5,1,7,0,0,21,0.4,54.9296875,1.08,1.815,"3",0,1,"dm",1470
"1401","2005","08","23","Tuesday",1,"SA",18,0,"P",1.05,256.5,57.18,19.81,1.02,6,0,29.61,16,0,70.390625,1.07,1.38,"5",3.62999999999924,0,"dm",1563
"1402","2005","08","23","Tuesday",0,"SA",18,0,"P",1.03,648.5,82.74,13.45,1.28,17,0,7.65,5,2,49.2578125,1,0,"5",8.28999999999971,0,"dm",1392
"1404","2005","08","23","Tuesday",1,"SC",18,0,"P",1.0725,389,72.05,43,1,20,0.026022554,42.37,16,0.229999999999999,78.65625,1,0,"3",0,1,"dm",1453
"1405","2005","08","23","Tuesday",0,"SC",18,0,"R",1,350,140.47,3,1,6,0.297842875,19.58,4,0,78.390625,1,0,"3",0,1,"dm",1494
"1406","2005","08","23","Tuesday",1,"SC",18,0,"P",1.03,360,66.58,16.6595,1.1125,15,0,29.23,13,0,85.953125,1,0,"5",10.9099999999996,0,"dm",1356
"1409","2005","08","23","Tuesday",0,"SC",19,0,"P",1.01,313,45.47,18,1,8,0.032449236,25,22,0.64,64.75,1,0,"3",0,1,"dm",1318
"1410","2005","08","23","Tuesday",1,"SM",18,0,"P",1.09,822.75,184.6,13.95,1.28,4,0,11.74,1,0,60.6125390627,1,0,"5",4.13999999999969,0,"dm",1458
"1413","2005","08","23","Tuesday",0,"SO",19,0,"P",1.21,469,210.19,36,1,3,0.794700593,31.52,13,2,42,1.12,1.49,"3",0,1,"dm",1423
"1414","2005","08","23","Tuesday",0,"SC",18,0,"P",1.01,328,78.62,24,1,8,0.118083424,19.6,5,0,53.9375,1.04,1.1,"3",0,1,"dm",1322
"1415","2005","08","23","Tuesday",0,"SA",18,0,"P",1,302.5,99.4,3,1,16,0.095175048,36,2,1,51.359375,1.17,1.66,"3",0,1,"dm",1579
"1416","2005","08","23","Tuesday",1,"SM",19,0,"P",1,812.333333333333,128.33,2,2,13,0.084443695,0,10,1,49.1875,2,0,"3",0,1,"dm",1402
"1418","2005","08","23","Tuesday",0,"SM",19,0,"P",1.04,850.25,99.64,10,1,11,0,0,16,0,52.5859375,1,0,"3",0,1,"dm",1321
"1419","2005","08","23","Tuesday",1,"SM",22,0,"P",1.19,2000,0,15,2,4,0.07478398,6.87,6,5,66.28125,1,0.59,"3",0,1,"dm",1566
"1422","2005","08","23","Tuesday",0,"SF",17,0,"P",1.06,288.5,68.33,15.02,1.07,11,0,25.116,19,0.179999999999999,44.109375,1.05,1.67,"5",3.49999999999928,0,"dm",1495
"1426","2005","08","23","Tuesday",1,"SO",24,0,"P",1.42,1096.5,315.34,27,1,13,0.102976362,0,13,3,79.5,1.07,1.37,"3",0,1,"dm",1574
"1427","2005","08","23","Tuesday",0,"SM",18,0,"P",1,795.25,131.29,3,1.19,8,0.161089153,0,15,0,51.3125,1,0,"5",0.339999999999687,0,"dm",1550
"1428","2005","08","23","Tuesday",0,"SO",18,0,"P",1.05,258,64.68,14.54875,1.1025,10,0.002429366,23.316,15,0.23,51.5,1,0,"5",3.49999999999966,0,"dm",1510
