"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","app_id","id","GOOD"
"2171","2005","08","27","Saturday",2,"SO",19,0,"P",1.04,300,226.07,37,1,24,0.063631166,29.27,12,0,56.4609375,1,1.23,"3",0,1,0.2,3194,"dm.plus","1"
"2172","2005","08","27","Saturday",0,"SF",18,0,"P",1.09,791,477.68,28.69,1.25,23,0,29.99,14,0.219999999999999,79.40625,1.04,2.02,"5",22.7899999999996,0,0.333333333333333,3250,"dm.plus","1"
"2173","2005","08","27","Saturday",0,"SA",18,0,"P",1.01,229,230.61,22,1,25,0,33.664,9,0,69.859375,1.02,2.31,"3",0,1,0.233333333333333,-3261,"dm.minus","2"
"2174","2005","08","27","Saturday",0,"SC",21,1,"P",1.64,2750,2635,18,1,27,0.163051401,140,0,0,51.5234375,2,1,"3",0,1,0.0666666666666667,-3382,"dm.minus","2"
"2175","2005","08","27","Saturday",1,"SO",18,0,"P",1.09,811,524.37,28.12,1.13,20,0.141483947,27.08,13,0,82.296875,1.01,1.99,"5",4.27999999999951,0,0.333333333333333,-3413,"dm.minus","2"
"2176","2005","08","27","Saturday",1,"SM",23,0,"R",1.09,1088.5,814.4,25.25,1.25,19,0.267261151,36.77,3,1.74,53.5546875,1.03,2.48,"5",33.1699999999996,0,0.366666666666667,3285,"dm.plus","1"
"2177","2005","08","27","Saturday",0,"SO",19,0,"P",1,200,127.67,4,2,17,0.04693249,29.28,13,0,53.828125,1.06,2.48,"3",0,1,0.166666666666667,-3365,"dm.minus","2"
"2178","2005","08","27","Saturday",0,"SB",18,0,"P",1.07,280,304,40,1,16,0.503180783,35.31,11.3,0,56.0390625,1.03,2.41,"3",0,1,0.266666666666667,3389,"dm.plus","1"
"2179","2005","08","27","Saturday",0,"SO",18,0,"P",1.05,263.5,218.04,19.28,1.05,15,0,33.65,4,0.139999999999999,74.828125,1,0,"5",18.7899999999998,0,0.266666666666667,3328,"dm.plus","1"
"2180","2005","08","27","Saturday",0,"SC",18,0,"P",1.73,1844,1429.72,33.88,1.59,31.16,0.527108084,354.38,13.9,0,97.359375,1.3,1.74,"5",134.89,0,0.366666666666667,3319,"dm.plus","1"
"2181","2005","08","27","Saturday",0,"SK",18,0,"P",1,470.666666666667,124.07,5,1.38,15,0.052222425,0,19,0,54.828125,1,2,"5",6.75999999999982,0,0.133333333333333,3216,"dm.plus","1"
"2182","2005","08","27","Saturday",1,"SB",25,2,"R",1.64,8000,1830,15,5,10.87,0.096452456,0,7.19,2.86,26,2,1,"3",6937,4,0.166666666666667,-3270,"dm.minus","2"
"2183","2005","08","27","Saturday",1,"SK",18,0,"P",1.09,969.5,515.27,32.77,1.2,12,0,28.69,18,0.389999999999999,92.296875,1.03,2.15,"5",17.6599999999996,0,0.333333333333333,3239,"dm.plus","1"
"2184","2005","08","27","Saturday",60,"SO",18,0,"P",1,351.5,165.86,3,2,10,0,23.42,9,0,70.0625,1,1,"3",0,1,0.133333333333333,-3294,"dm.minus","2"
"2185","2005","08","27","Saturday",560,"SO",20,1,"P",1.05,500,33,11,2,14,0,18.22,23,1,72.875,1,4,"3",0,1,0.1,-3230,"dm.minus","2"
"2186","2005","08","27","Saturday",1,"SC",19,1,"P",1,446,77.6,10,1,10,0,6.54,16,0,80.125,1,4,"3",0,1,0.166666666666667,3238,"dm.plus","1"
"2187","2005","08","27","Saturday",0,"SM",18,0,"P",1,350,0,2,1,11,0,19.97,22,0,61.7734375,1.03,2.19,"3",0,1,0.1,3357,"dm.plus","1"
"2188","2005","08","27","Saturday",0,"SA",18,0,"P",1.02,267,227.31,60,1,8,0.101364482,30.28,10,0.169999999999999,57.328125,1.03,2.31,"3",0,1,0.233333333333333,3212,"dm.plus","1"
"2189","2005","08","27","Saturday",0,"SK",21,0,"P",1.09,809,481.05,12,1.42,7,0,40,1,3,67.40625,1.06,2.83,"5",72.8199999999997,0,0.3,-3392,"dm.minus","2"
"2190","2005","08","27","Saturday",120,"SF",19,0,"P",1.03,453,187.05,7,1,9,0.065042205,0,1,0,59.9030078125,1.09,3,"3",0,1,0.166666666666667,3341,"dm.plus","1"
"2191","2005","08","27","Saturday",0,"SF",19,0,"P",1.01,396.5,227.22,19,1,8,0,30.41,6,2,49.734375,1.02,2.43,"3",0,1,0.233333333333333,-3318,"dm.minus","2"
"2192","2005","08","27","Saturday",0,"SO",18,0,"P",1.03,225,209,22,1,7,0.21192325,29.15,11,0.149999999999999,52.3203125,1.02,2.29,"3",0,1,0.266666666666667,-3370,"dm.minus","2"
"2193","2005","08","27","Saturday",0,"SO",18,0,"P",3,250,185.14,2,2,7,0.103499762,0,14,0,87,1,1.18,"3",0,1,0.0666666666666667,3189,"dm.plus","1"
"2194","2005","08","27","Saturday",0,"SO",18,0,"P",1.04,322.5,214.64,21.12,1.22,8,0,25.88,22,0,76.328125,1,1,"5",20.1899999999999,0,0.266666666666667,-3325,"dm.minus","2"
"2195","2005","08","27","Saturday",0,"SO",19,0,"P",1.07,392.166666666667,113.95,12,1,7,0.32295366,0,23,0,70.78125,1.06,2.84,"3",0,1,0.166666666666667,3265,"dm.plus","1"
"2196","2005","08","27","Saturday",0,"SF",18,0,"P",1.06,258.5,269.21,21.28,1.01,6,0.047043276,58.03,10,0,48.6015625,1.03,2.2,"5",1.06999999999939,0,0.3,3345,"dm.plus","1"
"2197","2005","08","27","Saturday",0,"SL",22,0,"P",2,1300,869,3,3,6,0.318724866,41,2,0,65.5625,3,1,"3",0,1,0.0333333333333333,-3366,"dm.minus","2"
"2198","2005","08","27","Saturday",0,"SH",18,0,"P",1.03,290.5,243.44,16,1,7,0,27.21,3,0,74.375,1,1.44,"3",0,1,0.2,3303,"dm.plus","1"
"2199","2005","08","27","Saturday",0,"SA",18,0,"P",1.22,1152.25,537,36,1.07,7,0,84,28,0.61,79.1875,1.09,2,"5",9.22999999999965,0,0.266666666666667,3283,"dm.plus","1"
"2200","2005","08","27","Saturday",0,"SA",18,0,"P",1.02,353.166666666667,161.37,22,1,5,0.112307152,20.48,23,1,59.3984375,1.03,2.41,"3",0,1,0.2,3222,"dm.plus","1"
"2201","2005","08","27","Saturday",1,"SD",18,0,"H",1.08,2042,835.65,32,1,7,0,44.95,11.76,5.55,60.9453125,1.09,2.11,"3",0,1,0.3,-3331,"dm.minus","2"
"2202","2005","08","27","Saturday",0,"SC",19,0,"P",1.14,342.5,290.55,19.92,1.2,5,0,60.63,4,0,32.6484375,1,1.18,"5",15.9999999999999,0,0.3,3205,"dm.plus","1"
"2203","2005","08","27","Saturday",1,"SB",18,0,"P",1.03,233,308.98,24,1,3,0.154884103,36.64,6,0,53.296875,1.02,2.39,"3",0,1,0.2,3286,"dm.plus","1"
"2204","2005","08","27","Saturday",0,"SC",18,0,"P",1,329.5,219.71,22.48,1.06,3,0,48.32,17,0,70.90625,1.01,1.93,"5",2.63999999999941,0,0.3,3260,"dm.plus","1"
"2205","2005","08","27","Saturday",0,"SM",22,0,"P",1,50,280.43,3,2,4,0,30.64,7.38,2.38,58.841953125,1,1.49,"3",0,1,0.233333333333333,-3334,"dm.minus","2"
"2206","2005","08","27","Saturday",500,"SO",30,0,"R",1.13,1192,512.4,74,2,3,0.121327927,29.5,13,2.49,52.62348632823,1.08,1.91,"3",0,1,0.266666666666667,3305,"dm.plus","1"
"2207","2005","08","27","Saturday",1,"SK",18,0,"P",1,518.5,251.32,20.93,1.04,8,0.071852236,14.11,20,0,56.0390625,1.01,2.02,"5",2.63999999999939,0,0.3,3275,"dm.plus","1"
"2208","2005","08","27","Saturday",0,"SC",18,0,"P",1.04,307,240.27,21.73,1.18,3,0,31.73,5,0,61.8203125,1,0,"5",16.1799999999998,0,0.233333333333333,3177,"dm.plus","1"
"2209","2005","08","27","Saturday",0,"SO",19,0,"P",1.31,402,401.52,31,1,3,0.054959767,53.35,10.7266666666667,0.617777777777778,59.0234375,2,1,"3",0,1,0.233333333333333,-3232,"dm.minus","2"
"2210","2005","08","27","Saturday",0,"SN",18,0,"P",1,639.5,395.4,3,1.53,3,0.10413339,1,2,0,63.1015625,1,1,"5",25.8499999999999,0,0.166666666666667,-3390,"dm.minus","2"
"2211","2005","08","27","Saturday",100,"SC",18,0,"P",1.41,696,378.66,71,2,2,0.037890473,60.87,15,1,82.015625,1,0,"3",0,1,0.133333333333333,3321,"dm.plus","1"
"2212","2005","08","27","Saturday",0,"SK",18,0,"P",1.05,421,253.7,26.1,1.04,9,0.264764087,23.96,24,0,72.5,1.02,2.33,"5",6.11999999999941,0,0.3,3272,"dm.plus","1"
"2213","2005","08","27","Saturday",0,"SD",18,0,"P",1.17,807.5,654.46,23.52,1.25,2,0.523093304,49.09,10.72,0.389999999999999,58.2578125,1.06,1.96,"5",17.8599999999996,0,0.366666666666667,3264,"dm.plus","1"
"2214","2005","08","27","Saturday",0,"SA",18,0,"P",1.04,751.5,537.59,23.81,1.11,10,0.092244736,24.874,15,0,64,1.03,2.36,"5",3.97999999999951,0,0.333333333333333,-3415,"dm.minus","2"
"2215","2005","08","27","Saturday",0,"SC",18,0,"P",1.12,478.5,390.85,30.06,1.14,2,0.441626337,64.29,23,0,60.0390625,1.02,2.21,"5",11.5499999999995,0,0.3,3259,"dm.plus","1"
"2216","2005","08","27","Saturday",21,"SH",19,0,"P",1.4,1724.5,855.45,41,1,17,0.101029564,157.1,28,0,5.727539063,1.22,2.23,"3",0,1,0.2,3269,"dm.plus","1"
"2217","2005","08","27","Saturday",0,"SF",19,0,"P",1.16,750,444.34,22,1,7,0.557217673,39.36,26,1,37.8828125,1,1.04,"3",446,1,0.166666666666667,-3315,"dm.minus","2"
"2218","2005","08","27","Saturday",10,"SH",17,0,"P",1.2,778,676.45,25.27,1.19,9,0.555321321,37.01,12,0.339999999999999,51.078125,1,1.62,"5",26.7999999999995,0,0.333333333333333,3185,"dm.plus","1"
"2219","2005","08","27","Saturday",160,"SO",18,0.0499999999999982,"P",1.09,820.5,529.97,32.44,1.15,7,0,29.98,16,0,43.484375,1.02,2.18,"5",19.0799999999996,0,0.333333333333333,3367,"dm.plus","1"
"2220","2005","08","27","Saturday",900,"SL",18,0,"P",1.18,912,691.06,25.78,1.28,3,0.050494619,81.61,13,2,52.734375,1.07,1.81,"5",31.1899999999997,0,0.333333333333333,-3350,"dm.minus","2"
"2221","2005","08","27","Saturday",0,"SL",28,0,"P",1.1,1634.5,760.55,57,1,1,0.002212599,35.54,9.15,3.27,71.109375,1,2,"3",0,1,0.2,3363,"dm.plus","1"
"2222","2005","08","27","Saturday",1,"SC",19,0,"P",1.02,250,80.38,12,1,11,0,20.7,10,1,76.890625,1,2.11,"3",0,1,0.166666666666667,3254,"dm.plus","1"
"2223","2005","08","27","Saturday",0,"SA",20,0,"P",1.09,843,447.37,35,1,2,0.411917865,31.54,9.07,2,79.359375,1.1,2.58,"3",0,1,0.266666666666667,-3245,"dm.minus","2"
"2224","2005","08","27","Saturday",0,"SB",19,0,"P",1.07,500,622,14,1,5,0.805335157,31.51,15,1.67,70.859375,1.1,2.5,"3",0,1,0.2,-3186,"dm.minus","2"
"2225","2005","08","27","Saturday",0,"SA",19,0,"P",1.01,297.5,114.22,19,1.03,11,0,26,11,1,45.4375,1.01,2.11,"5",2.70999999999938,0,0.233333333333333,3326,"dm.plus","1"
"2226","2005","08","27","Saturday",0,"SF",18,0,"P",1.34,1931.5,1596.21,28.15,1.55,13,0,51.93,1,2,95.96875,1,0,"5",212.44,0,0.233333333333333,3291,"dm.plus","1"
"2227","2005","08","27","Saturday",0,"SM",21,0,"P",1,150,125,3,3,1,0.167393345,46,7.99,3,64.53125,1,2,"3",4,2,0.0666666666666667,-3401,"dm.minus","2"
"2228","2005","08","27","Saturday",800,"SK",25,0,"R",1.25,600,525.54,13,2,15.99,0.050554648,38.22,10.21,1.9,69,1,1,"3",0,1,0.233333333333333,-3320,"dm.minus","2"
"2229","2005","08","27","Saturday",0,"SB",18,0,"P",1.05,233,284.67,27,1,21.47,0,57.03,10.87,0.0499999999999989,47.4453125,1.01,2.33,"3",0,1,0.3,3311,"dm.plus","1"
"2230","2005","08","27","Saturday",1,"SD",18,0,"P",1.05,376,317.98,22,1,3,0.15584621,22.18,1,0,60.0625,1.03,2.355,"3",0,1,0.2,3284,"dm.plus","1"
"2231","2005","08","27","Saturday",0,"SD",20,0,"P",1,664.5,304.49,3,1,13.78,0.150581597,0,3,2,61.78125,1,2,"3",44,1,0.133333333333333,-3335,"dm.minus","2"
"2232","2005","08","27","Saturday",0,"SN",25,1,"H",3,1200,0,3,3,15.65,0.157625964,33.01,10.74,2.59,47.609375,2,1,"3",642,3,0.133333333333333,3253,"dm.plus","1"
"2233","2005","08","27","Saturday",0,"SH",18,0,"P",1.11,1068,629.25,30.35,1.22,14,0,35.39,20,0.249999999999999,88.0625,1.06,1.89,"5",19.2699999999996,0,0.333333333333333,3220,"dm.plus","1"
"2234","2005","08","27","Saturday",0,"SO",18,0,"P",1.06,258,238.51,17.78,1.09,14,0.038202194,32.2416666666667,1,0,83.09375,1,0,"5",18.1999999999998,0,0.233333333333333,3182,"dm.plus","1"
"2235","2005","08","27","Saturday",0,"SM",27,0,"R",2.3,1800,495,8,3,15.59,0.21681668,218.96,7.89,0,49.1484375,4,1,"1",0,2,0.166666666666667,-3219,"dm.minus","2"
"2236","2005","08","27","Saturday",1,"SM",18,0,"P",1,397.5,125.311428571429,3,1,16,0,20.58,3,0,34.875,1,0,"3",0,1,0.1,3368,"dm.plus","1"
"2237","2005","08","27","Saturday",0,"SO",18,0,"P",1.05,259.5,284.74,20.69,1.16,15,0.084513545,37.97,5,2,39.296875,1,1.27,"5",14.0099999999998,0,0.3,3214,"dm.plus","1"
"2238","2005","08","27","Saturday",1540,"SB",29,0,"H",1.34,3400,744,13,2,17.57,0.01055577,0,9.96,0,68.375,1,1.53,"3",270,2,0.166666666666667,-3411,"dm.minus","2"
"2239","2005","08","27","Saturday",0,"SM",23,4,"P",1.26,1623.5,599.98,12,1.65,9,0,59,10,6,58,1,1,"5",885.12,0,0.166666666666667,3224,"dm.plus","1"
"2240","2005","08","27","Saturday",0,"SO",18,0,"P",1,279,50.67,7,1,11,0,25.45,19,0,75.609375,1.02,2.6,"3",0,1,0.2,3280,"dm.plus","1"
"2241","2005","08","27","Saturday",0,"SD",28,0,"R",1.46,300,743.07,12,2,9.26,0.165093624,0,7.04,2.08,60.5390625,2,0,"3",0,1,0.2,-3403,"dm.minus","2"
"2242","2005","08","27","Saturday",440,"SM",26,5,"R",1.23,2950,0,7,2,18.83,0.073473026,0,12.69,3.53,30.69921875,1,3,"3",3190,2,0.133333333333333,3378,"dm.plus","1"
"2243","2005","08","27","Saturday",1,"SM",18,0,"P",1.04,388.5,336.97,34,1,20.67,0.285402532,34.69,12.14,0.239999999999999,66.65625,1.04,2.46,"3",0,1,0.3,3364,"dm.plus","1"
"2244","2005","08","27","Saturday",0,"SD",18,0,"P",1.05,772,484.72,28.07,1.17,16,0,36.364,19,0,83.078125,1.01,2.03,"5",14.1699999999995,0,0.333333333333333,-3262,"dm.minus","2"
"2245","2005","08","27","Saturday",100,"SO",19,0,"P",1.07,308,336.47,30,1,19.03,0.369670009,37.11,10.24,0,60.8828125,1.04,3,"3",0,1,0.266666666666667,-3412,"dm.minus","2"
"2246","2005","08","27","Saturday",0,"SM",18,0,"P",1.12,347,286.32,29,1.19,17,0.237927826,34.3,18,0,59.203125,1,1,"5",16.5999999999998,0,0.233333333333333,-3271,"dm.minus","2"
"2247","2005","08","27","Saturday",0,"SD",19,0,"P",1.45,1068.5,923.62,18,1,14.02,0,144.12,8.26,1,11.47460938,1,0.9,"2",348,1,0.266666666666667,-3377,"dm.minus","2"
"2248","2005","08","27","Saturday",0,"SL",17,0,"P",1.64,1015.5,672.67,14,1.69,19.64,0.00383235,158.57,8.63,1.34,82.9375,1,1,"5",92.07,0,0.333333333333333,-3329,"dm.minus","2"
"2249","2005","08","27","Saturday",0,"SL",23,0,"P",1.07,1663.5,973.76,28,1.35,18,0,30,2,2,98.25,1.07,2.56,"5",57.0299999999997,0,0.266666666666667,-3302,"dm.minus","2"
"2250","2005","08","27","Saturday",1,"SC",19,0,"P",1.04,308,90.35,12,1,15.64,0.003732994,0,13.395,1,58.21875,1,2,"3",0,1,0.166666666666667,3313,"dm.plus","1"
"2251","2005","08","27","Saturday",0,"SH",18,0,"P",1.01,150,131.43,7,1,50,0.031805905,29.8,10,0,86.734375,1.01,3,"3",0,1,0.133333333333333,3252,"dm.plus","1"
"2252","2005","08","27","Saturday",0,"SL",23,0,"R",1.2,450,732.88,14,1.45,17.33,0,36.48,9.895,1.8,63.7421875,1,1,"5",161.25,0,0.333333333333333,-3237,"dm.minus","2"
"2253","2005","08","27","Saturday",0,"SK",19,0,"P",1.03,487,228.07,17,1,16.3833333333333,0.077750979,0,11,1.14,74.796875,1.04,2.51,"3",0,1,0.3,-3386,"dm.minus","2"
"2254","2005","08","27","Saturday",0,"SF",18,0,"P",1.01,337,112.84,14,1,18,0.000574149,21.72,13,0,64.328125,1.03,2.37,"3",0,1,0.2,3399,"dm.plus","1"
"2255","2005","08","27","Saturday",0,"SA",18,0,"P",1.01,287,216.41,45,1,21,0,26.92,17,0,34.9765625,1.03,2.45,"3",0,1,0.2,3308,"dm.plus","1"
"2256","2005","08","27","Saturday",160,"SA",16,0.0399999999999981,"P",1.05,585,527.08,30.64,1.08,18.4,0,34.084,15,0.119999999999999,77.0625,1.04,2.43,"5",7.16999999999954,0,0.466666666666667,-3414,"dm.minus","2"
"2257","2005","08","27","Saturday",1,"SM",21,1,"R",1.03,1310.5,688.29,22.87,1.19,12.41,0,43.83,9.02,1.47,52.6431640625,1.06,2.25,"4",70.1899999999997,0,0.433333333333333,3381,"dm.plus","1"
"2258","2005","08","27","Saturday",0,"SL",18,0,"P",1.05,746,522.27,21.97,1.21,11.85,0,36.39,9.55,0.389999999999999,41.5859375,1.05,2.42,"5",14.3799999999995,0,0.433333333333333,-3338,"dm.minus","2"
"2259","2005","08","27","Saturday",0,"SN",20,1,"P",1.38,350,384.16,9,2,24,0.348437616,37,11,2,69.125,2,1,"3",0,1,0.1,-3374,"dm.minus","2"
"2260","2005","08","27","Saturday",0,"SB",18,0,"P",1,700,163.983333333333,2,2,23,0,13.81,18,0,72.46875,1,1.23,"3",0,1,0.133333333333333,-3175,"dm.minus","2"
"2261","2005","08","27","Saturday",0,"SO",18,0.0299999999999981,"P",1.18,656.5,597.74,28.05,1.09,17.29,0.049372724,70.77,14.19,0.139999999999999,40.78125,1.06,2.31,"5",3.90999999999952,0,0.466666666666667,-3342,"dm.minus","2"
"2262","2005","08","27","Saturday",0,"SA",18,0,"P",1.05,799,510.49,25.1,1.14,16.55,0,29.86,13,0.289999999999999,67.483359375,1.1,2.27,"4",2.72999999999951,0,0.433333333333333,3290,"dm.plus","1"
"2263","2005","08","27","Saturday",0,"SA",22,0,"R",1.03,1227.75,879.43,21.38,1.38,10.6,0.081722385,32.64,8.54,1.51,24.02734375,1.09,2.26,"5",34.6899999999996,0,0.433333333333333,-3281,"dm.minus","2"
"2264","2005","08","27","Saturday",1,"SA",18,0,"P",1.02,820,581.32,25.06,1.14,17.62,0.113569722,27.734,12.17,0.149999999999999,64.046875,1.04,2.28,"5",5.49999999999951,0,0.433333333333333,-3263,"dm.minus","2"
"2265","2005","08","27","Saturday",0,"SC",18,0,"P",1.04,380,215.29,21.44,1.22,21,0,22.46,14,0,58.109375,1,0,"5",10.4499999999998,0,0.266666666666667,-3241,"dm.minus","2"
"2266","2005","08","27","Saturday",0,"SA",20,0,"P",1.03,606.5,170.9,18,2,29,0,20.03,18,2,44.7890625,1.03,2.61,"3",0,1,0.233333333333333,-3279,"dm.minus","2"
"2267","2005","08","27","Saturday",0,"SO",20,0,"R",1.1,873.5,715.29,21.42,1.21,10.46,0.221876171,38.01,8.81,1.05,39.609375,1.03,2.11,"5",18.7699999999996,0,0.4,3203,"dm.plus","1"
"2268","2005","08","27","Saturday",0,"SC",18,0,"P",1.28,842,636.85,28.14,1.15,15.71,0.03859881,97.09,13.63,0,18.1640625,1.13,1.88,"5",23.9699999999996,0,0.366666666666667,3196,"dm.plus","1"
"2269","2005","08","27","Saturday",0,"SA",19,0,"R",1.05,915.25,725.69,19.3,1.36,10.14,0.106064963,50.76,8.4,1.05,20.953125,1.05,2.12,"5",58.3499999999996,0,0.433333333333333,-3184,"dm.minus","2"
"2270","2005","08","27","Saturday",0,"SD",18,0,"P",1.08,357,322.25,19.31,1.07,55,0.063492205,57.604,9,0,81.546875,1.01,2.2,"5",4.41999999999943,0,0.3,3207,"dm.plus","0"
"2271","2005","08","27","Saturday",0,"SL",18,0,"P",1.03,329,240.39,18.41,1.01,27,0.251034427,33.05,21,1,47.8984375,1,1.28,"5",1.06999999999941,0,0.3,3181,"dm.plus","1"
"2272","2005","08","27","Saturday",0,"SO",16,0,"P",1.13,521,556.9,30.54,1.05,31,0.067996457,30.43,16.26,0.0599999999999986,57.65625,1.04,2.26,"5",4.54999999999951,0,0.366666666666667,3387,"dm.plus","1"
"2273","2005","08","27","Saturday",1,"SF",20,0,"P",1,300,124,4,1,55,0.041831668,0,7,4,83.421875,1.13,3,"3",0,1,0.0333333333333333,3195,"dm.plus","0"
"2274","2005","08","27","Saturday",1,"SL",21,0,"P",1,2000,685.38,2,3,41,0,130,13,4,67.34375,1,1.53,"3",1890,2,0.0666666666666667,3410,"dm.plus","0"
"2275","2005","08","27","Saturday",0,"SC",18,0,"P",1.09,254.5,256.27,22.31,1.02,36,0.046273732,59.47,14,0,50.515625,1,1.2,"5",1.0699999999994,0,0.3,3215,"dm.plus","0"
"2276","2005","08","27","Saturday",0,"SB",18,0,"P",1.05,294.5,253.82,23.31,1,32,0.01902158,37.9,8,0,60.2109375,1.01,2.06,"5",3.6799999999994,0,0.3,3298,"dm.plus","0"
"2277","2005","08","27","Saturday",20,"SF",18,0,"P",1.15,471,442.18,67,1,28,0.563873228,39.18,18,0,64.796875,1,0,"3",0,1,0.133333333333333,3352,"dm.plus","0"
"2278","2005","08","27","Saturday",500,"SO",18,0,"P",1,500,372,5,1,16,0,80,5,2,99,1,2,"3",0,1,0,3228,"dm.plus","0"
"2279","2005","08","27","Saturday",0,"SL",22,5,"P",1.25,3400,434,17,2,24,0,0,2,3,52.6015625,1,1.83,"3",3296,2,0.0666666666666667,3297,"dm.plus","0"
"2280","2005","08","27","Saturday",1,"SO",21,0.48,"R",1.06,964,800.46,23.34,1.21,11.86,0,35.15,9.14,1.22,49.553046875,1.05,2.26,"4",20.7299999999996,0,0.5,3234,"dm.plus","1"
"2281","2005","08","27","Saturday",0,"SB",18,0,"P",1.4,2564,1522.3,26.48,1.49,15,0.385301866,139.95,9.63,12,87.859375,1.24,1.99,"5",60.7599999999999,0,0.333333333333333,3235,"dm.plus","0"
"2282","2005","08","27","Saturday",1,"SO",18,0,"P",1,150,94.19,4,1,8,0,29.71,12.77,0.199999999999999,71.390625,1,2,"3",0,1,0.133333333333333,3217,"dm.plus","0"
"2283","2005","08","27","Saturday",0,"SL",19,0,"P",3,800,775,2,2,6,0,0,2,1,47.53125,2,1,"3",0,1,0,3312,"dm.plus","0"
"2284","2005","08","27","Saturday",0,"SO",19,0,"P",1.06,338.5,255.58,33,1,1,0.301109727,40.86,2,1,33.546875,1.04,2.82,"3",0,1,0.2,3249,"dm.plus","0"
"2285","2005","08","27","Saturday",0,"SO",18,0,"P",1.08,267.5,278.76,23,1,3,0.515254965,32.37,7,0,49.6640625,1,1.05666666666667,"3",30,1,0.166666666666667,3293,"dm.plus","0"
"2286","2005","08","27","Saturday",0,"SC",20,2,"P",1.2,1450,539.24,12,1,9,0.024678349,79,28,1,62.078125,1,3,"3",1636,1,0.0666666666666667,3256,"dm.plus","0"
"2287","2005","08","27","Saturday",1,"SH",19,1,"P",1.05,454,371.53,25,1,2,0.12754552,41.534,4,0,76.421875,1.01,3,"3",0,1,0.166666666666667,3380,"dm.plus","0"
"2288","2005","08","27","Saturday",600,"SB",20,0,"P",1.42,747,621.47,7,1,2,0.222767162,0,4,2,59.5703125,2,2,"2",118,0,0.133333333333333,3317,"dm.plus","0"
"2289","2005","08","27","Saturday",0,"SA",18,0,"P",1.03,324.5,184.34,19,1,38,0.010389793,28.57,24,0.219999999999999,83.734375,1.01,2.24,"3",0,1,0.266666666666667,-3218,"dm.minus","2"
"2290","2005","08","27","Saturday",0,"SD",18,0,"P",1,350,30,2,1.2,38,0,26.79,17,0,76.25,1.02,2.02,"5",11.2199999999994,0,0.166666666666667,3193,"dm.plus","1"
"2291","2005","08","27","Saturday",1000,"SO",24,0,"R",1,150,415.39,1,1.43,15.28,0,49.15,8.45,1.61,53.6270703125,2,1,"5",46.22,0,0.266666666666667,3178,"dm.plus","0"
"2292","2005","08","27","Saturday",1,"SO",20,0,"R",1.28,836.5,783.21,20.89,1.41,8.41,0.13938496,81.85,6.82,1.18,36.921875,1,0,"5",150.57,0,0.333333333333333,3361,"dm.plus","0"
"2293","2005","08","27","Saturday",0,"SL",20,0,"P",1.36,500,279,9,4,27.615,0,310,11.14,0,83.65625,1,1.34,"3",0,1,0.133333333333333,3295,"dm.plus","0"
"2294","2005","08","27","Saturday",0,"SH",18,0,"P",1.15,841.5,638.23,22.82,1.13,9.78,0.248693171,36.12,11,0.219999999999999,58.5234375,1.01,1.94,"5",15.8099999999995,0,0.4,3371,"dm.plus","0"
"2295","2005","08","27","Saturday",0,"SO",19,1,"P",1,335.5,142.99,2,1,19.3805555555556,0.45444141,1,13.5666666666667,0.78,49.34375,1,1,"3",0,1,0.166666666666667,3296,"dm.plus","0"
"2296","2005","08","27","Saturday",1,"SD",20,0,"P",1,713,226.82,4,1,22.08,0.114639892,0,11.38,1,65.640625,1.06,2.67,"3",0,1,0.2,3395,"dm.plus","0"
"2297","2005","08","27","Saturday",1,"SO",24,0,"P",1.16,721.5,372.34,38,1,19.1625,0,36.83,11.65,2.56,68.6269726563,1,1.19,"3",95,1,0.3,3376,"dm.plus","0"
"2298","2005","08","27","Saturday",0,"SM",19,0,"P",2,1500,546.28,4,2,27.44,0.026267351,0,11.39,2,67.859375,2,1,"2",107,2,0.1,3179,"dm.plus","0"
"2299","2005","08","27","Saturday",0,"SA",19,0,"P",1.1,868.5,657.48,21.56,1.23,13.08,0,34.34,11.89,3,62.484375,1.03,2.58,"5",22.7099999999996,0,0.366666666666667,3229,"dm.plus","0"
"2300","2005","08","27","Saturday",0,"SO",18,1,"P",1.12,779,712.2,25.39,1.07,1,0.124332348,43.33,9.6,0.259999999999999,55.359375,1.05,2.16,"5",27.6599999999996,0,0.366666666666667,3340,"dm.plus","0"
"2301","2005","08","27","Saturday",0,"SB",19,0,"P",1.04,311,288.87,12,1,3,0,39.2733333333333,0,0,60.21875,1.06,3,"3",0,1,0.166666666666667,3288,"dm.plus","0"
"2302","2005","08","27","Saturday",21,"SB",19,0,"P",1,625,246.25,3,1,5,0,0,24,1,73.765625,2,1,"3",0,1,0.0666666666666667,3267,"dm.plus","0"
"2303","2005","08","27","Saturday",0,"SO",18,0,"P",1.02,303,201.43,17.52,1.13,11,0,28.14,10,0,64.5,1,0,"5",14.0299999999999,0,0.233333333333333,3247,"dm.plus","0"
"2304","2005","08","27","Saturday",1,"SM",19,0,"P",1.07,442,343.95,17,1,5,0.372206525,35,3,1,70.140625,1.05,3,"3",0,1,0.133333333333333,3208,"dm.plus","0"
