"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","GOOD","id","app_id"
"2313","2005","08","27","Saturday",0,"SE",19,0,"P",1.05,306.5,307.31,26,1,21,0.353924403,35.73,9,0,46.7890625,1.04,2.64,"3",0,1,0.2,"0","dm.plus",3398
"2314","2005","08","27","Saturday",0,"SB",18,0,"P",1.04,231.5,258.59,19.7,1.01,26,0.215331054,38.63,2,0,68.640625,1.02,2.33,"5",3.6799999999994,0,0.3,"0","dm.plus",3385
"2315","2005","08","27","Saturday",1,"SB",27,0,"P",1.48,927,831.09,22.96,1.62,9.18,0.104499284,68.51,7.72,2.38,40.1328125,2,0,"5",76.63,0,0.333333333333333,"0","dm.plus",3213
"2316","2005","08","27","Saturday",580,"SO",21,0,"P",1.58,1750,1798,21,2,25,0,0,4,1,93.546875,1,1.15,"3",0,1,0.0666666666666667,"0","dm.plus",3304
"2318","2005","08","31","Wednesday",0,"SM",18,0,"P",1.15,690,170.71,18.1,1.18,105,0.136994079,31.61,14,1,69.859375,1.05,1.94,"5",26.6999999999995,0,0.3,"1","dm.plus",3690
"2319","2005","08","31","Wednesday",0,"SO",18,0,"P",1.16,555,171.74,13,2,73,0.086807383,7.89714285714286,6,0,70.6875,1,0.64,"3",0,1,0.166666666666667,"1","dm.plus",3601
"2326","2005","08","31","Wednesday",1,"SM",18,0,"P",1.12,597.5,261.35,12,1,40,0.227574145,28.5,15,0,60.703125,2,0,"3",0,1,0.133333333333333,"1","dm.plus",3546
"2327","2005","08","31","Wednesday",0,"SB",18,0,"P",1,719,220.42,2,1,40,0.191158554,0,26,0,51.6484375,2,0,"3",0,1,0.0666666666666667,"1","dm.plus",3563
"2331","2005","08","31","Wednesday",1,"SO",18,0,"P",1,650,210.16,2,1,37,0,17.64,20,0,84.359375,2,0,"3",0,1,0.0666666666666667,"1","dm.plus",3430
"2333","2005","08","31","Wednesday",1,"SO",21,1,"P",1.29,3300,311,13,3,37,0.038350499,37.07,20,4,53.1953125,1,0.95,"3",753,2,0.1,"1","dm.plus",3803
"2335","2005","08","31","Wednesday",0,"SO",19,0,"P",1.13,50,143.31,20,1,34,0.079192911,23.81,26,2,74.578125,1,0,"3",0,1,0.1,"1","dm.plus",3791
"2336","2005","08","31","Wednesday",1,"SO",18,0,"P",1.06,246.5,194.05,16.99,1,33,0.019296434,39.83,8,0,80.265625,1.03,2.07,"5",0.469999999999423,0,0.3,"1","dm.plus",3816
"2338","2005","08","31","Wednesday",0,"SO",19,0,"P",1.01,513.5,185.6,15,1.16,30,0.263145304,1,8,2,61.984375,1.02,2.26,"5",7.0199999999994,0,0.233333333333333,"1","dm.plus",3653
"2339","2005","08","31","Wednesday",0,"SA",19,0,"P",1.09,570,221.64,7,1,29,0.065945097,0,4,1,86.765625,1.09,3,"2",0,1,0.133333333333333,"1","dm.plus",3802
"2340","2005","08","31","Wednesday",0,"SO",17,0,"P",1.24,280,240.77,18.06,1.26,28,0,39.08,2,0.209999999999999,90.75,1,0,"5",5.90999999999988,0,0.266666666666667,"1","dm.plus",3538
"2341","2005","08","31","Wednesday",0,"SC",19,0,"P",1.08,100,129.87,20,1,26,0.233753901,28.77,11,1,52.7578125,1,0,"3",0,1,0.1,"1","dm.plus",3519
"2343","2005","08","31","Wednesday",120,"SA",18,0.0499999999999972,"P",1.13,658,564.61,27.065,1.06,24,0.04252011,58.92,17,0,82.328125,1.03,2.06,"5",16.9099999999996,0,0.333333333333333,"1","dm.plus",3737
"2344","2005","08","31","Wednesday",2,"SH",19,0,"P",1,516.75,139.29,7,1,23,0.011534125,0,18,0,57.9609375,1.04,2.4,"3",0,1,0.166666666666667,"1","dm.plus",3772
"2346","2005","08","31","Wednesday",0,"SN",20,0,"P",1.25,613.5,364.1,23,1.32,24,0.015743625,74,13,1,68.078125,1,1,"5",98.07,0,0.166666666666667,"1","dm.plus",3782
"2351","2005","08","31","Wednesday",0,"SE",19,0,"P",1.15,410.5,340.76,17,2,24,0,31.35,4,0.89,11.50976563,1,0.83,"3",0,1,0.2,"1","dm.plus",3799
"2352","2005","08","31","Wednesday",0,"SC",18,0,"P",1.03,254,189.8,29,1,23,0,32.09,10,0,78.8125,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3486
"2353","2005","08","31","Wednesday",0,"SK",18,0,"P",1.1,961,585.24,23.58,1.13,24,0,36.39,12,0.339999999999999,78.328125,1.02,1.74,"5",4.95999999999967,0,0.333333333333333,"1","dm.plus",3698
"2355","2005","08","31","Wednesday",1,"SO",16,0.0299999999999973,"P",1.1,629,533.93,28.325,1.05,22,0.086361344,33.22,21,0.0799999999999989,46.03125,1.03,2.3,"5",6.1699999999996,0,0.366666666666667,"1","dm.plus",3584
"2356","2005","08","31","Wednesday",0,"SK",18,0,"P",1.05,233.25,232.31,29,1,21,0,35.15,5,0,70.171875,1.02,2.11,"3",0,1,0.2,"1","dm.plus",3660
"2357","2005","08","31","Wednesday",0,"SH",18,0,"P",2,850,201.73,3,1,33,0.063124803,35.78,11,0,81.15625,1,1,"3",0,1,0.0666666666666667,"1","dm.plus",3646
"2358","2005","08","31","Wednesday",100,"SO",18,0,"P",1.08,264.5,224.07,17.26,1.16,20,0.029661098,36.33,6,0,54.4453125,1,1.04,"5",4.64999999999983,0,0.3,"1","dm.plus",3813
"2359","2005","08","31","Wednesday",200,"SH",18,0,"P",1.21,582,258.02,10,2,21,0,18.21,1,1,62.9765625,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3424
"2361","2005","08","31","Wednesday",0,"SA",18,0,"P",1.09,314.5,171.57,17.76,1.15,36,0.072740576,31.56,13,0,80.734375,1,0,"5",3.84999999999986,0,0.233333333333333,"1","dm.plus",3448
"2362","2005","08","31","Wednesday",0,"SO",19,0,"P",1.37,3522.5,1158.52,10,1,20,0.007549575,0,22,13,77.125,1,0,"3",0,1,0.1,"1","dm.plus",3465
"2364","2005","08","31","Wednesday",0,"SD",18,0,"P",1.16,430,322.44,24,1,18,0.89283222,34.59,6,0,68.296875,1,2,"3",0,1,0.133333333333333,"1","dm.plus",3668
"2366","2005","08","31","Wednesday",1,"SH",19,0,"P",2,750,320.17,5,1,19,0.114900668,68.69,3,0,55.7734375,1,2,"3",0,1,0.0666666666666667,"1","dm.plus",3691
"2368","2005","08","31","Wednesday",0,"SD",18,0,"P",1.1,398.5,243.72,16.7,1.29,18,0.038294221,37.26,4,0,57.546875,1,0,"5",1.05999999999982,0,0.233333333333333,"1","dm.plus",3470
"2369","2005","08","31","Wednesday",0,"SA",18,0,"P",1.07,238,221.91,16.51,1.05,18,0.062197233,62.7,4,0,54.8125,1,1.02,"5",0.389999999999401,0,0.3,"1","dm.plus",3639
"2370","2005","08","31","Wednesday",0,"SM",19,0,"P",1,757,243.04,5,1,17,0.023411908,0,15,1,60.5390625,2,0,"3",0,1,0.0666666666666667,"1","dm.plus",3509
"2371","2005","08","31","Wednesday",0,"SO",18,0,"P",1.11,989,518.12,19.77,1.02,16,0.175591743,24.4,12.254,0.199999999999999,79.5,1.03,2.15,"5",1.98999999999956,0,0.366666666666667,"1","dm.plus",3686
"2374","2005","08","31","Wednesday",0,"SC",19,0,"P",1.09,393.5,333.12,44,1,58,0.237135699,39.08,21,1,78.421875,1,0,"3",21.82,0,0.166666666666667,"1","dm.plus",3821
"2376","2005","08","31","Wednesday",0,"SK",19,0,"P",1.04,573,154.86,16.87,1.11,16,0.003304555,22.25,7,2,71.328125,1.02,2.29,"5",7.0199999999994,0,0.3,"1","dm.plus",3633
"2378","2005","08","31","Wednesday",0,"SO",18,0,"P",1.12,227,152.6,24,1,15,0.034597379,29.98,25,0,85.859375,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3438
"2379","2005","08","31","Wednesday",1,"SC",18,0,"P",1.02,283.5,142.8,22,1,16,0,26.69,17,0,75.5,1,0.64,"3",0,1,0.2,"1","dm.plus",3789
"2380","2005","08","31","Wednesday",0,"SC",18,0,"P",1.05,632.5,114.77,16,1,16,0.001552249,11.5,15,2,93.0625,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3555
"2382","2005","08","31","Wednesday",0,"SO",18,0,"P",1,485,94.38,2,1,16,0.022702924,5.55,15,0.249999999999999,76.890625,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3572
"2386","2005","08","31","Wednesday",0,"SH",18,0,"P",1.06,586.5,201.91,13.97,1.33,13,0.103757957,12.51,5,0,72.484375,1,0,"5",1.75999999999986,0,0.233333333333333,"1","dm.plus",3449
"2387","2005","08","31","Wednesday",0,"SK",18,0,"P",1.05,310,192.97,19.19,1.01,14,0,29.74,10,0,64.734375,1.02,2.19,"5",4.08999999999943,0,0.3,"1","dm.plus",3614
"2388","2005","08","31","Wednesday",0,"SO",18,0,"P",1,236.5,211.95,5,2,13,0.219755171,36.8,3,0.42,28.74609375,1,1.01,"3",0,1,0.166666666666667,"1","dm.plus",3676
"2389","2005","08","31","Wednesday",0,"SL",18,0,"P",1.01,259,180.3,18,1,14,0.206752358,31.19,9,0,89.3125,1.02,2.04,"3",0,1,0.2,"1","dm.plus",3608
"2390","2005","08","31","Wednesday",0,"SO",19,0,"P",1.03,287,93.13,15,1,12,0,24.5,15,0,68.53125,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3498
"2395","2005","08","31","Wednesday",0,"SA",21,0,"P",1.12,583.5,370.91,31,1,12,0.616914082,0,4,2,39.234375,1,2,"3",0,1,0.1,"1","dm.plus",3852
"2396","2005","08","31","Wednesday",0,"SL",19,0,"P",1.04,586,152.04,10,1,12,0.010529607,6.6,17,2,71.328125,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3587
"2402","2005","08","31","Wednesday",0,"SN",19,0,"P",1.08,688,257.46,9,1.39,11,0,20.58,26,0,83.96875,1,0,"5",22.4699999999999,0,0.2,"1","dm.plus",3522
"2403","2005","08","31","Wednesday",1,"SF",18,0,"P",1.11,344,281.66,18.27,1.31,11,0,38.8433333333333,2,0,83.0625,1,0.96,"5",4.10999999999988,0,0.3,"1","dm.plus",3734
"2405","2005","08","31","Wednesday",0,"SB",19,0,"P",1.14,488.5,205.933333333333,11,2,84,0.249600305,30.48,5,0,70.984375,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3464
"2407","2005","08","31","Wednesday",0,"SM",18,0,"P",1.02,504.5,142.31,18.25,1.03,11,0,26.54,15,1,84.3125,1.02,2.31,"5",1.95999999999941,0,0.3,"1","dm.plus",3655
"2408","2005","08","31","Wednesday",0,"SC",21,3,"P",1,1250,0,2,1,9,0.55148609,0,9,2,65.65625,1.18,1.94,"3",0,1,0.0666666666666667,"1","dm.plus",3795
"2409","2005","08","31","Wednesday",0,"SA",18,0,"P",1.01,252,227.42,44,1,8,0,30.23,12,0,70.6875,1.02,2.01,"3",0,1,0.2,"1","dm.plus",3728
"2410","2005","08","31","Wednesday",1,"SH",19,0,"P",1.07,613,192.62,8,1.415,8,0.249497175,14.29,11,2,46.265625,1,0,"5",18.6699999999999,0,0.2,"1","dm.plus",3718
"2412","2005","08","31","Wednesday",1,"SA",19,0,"P",1.02,558.833333333333,201.16,35,1,9,0.022496858,9.49,13,2,53.1640625,1.03,2.2,"3",0,1,0.2,"1","dm.plus",3822
"2413","2005","08","31","Wednesday",0,"SM",19,0,"P",1.05,885,316.68,22.29,1.165,11,0.091152443,27.8366666666667,4,3,84.46875,1.02,2.45,"5",21.0199999999996,0,0.3,"1","dm.plus",3615
"2414","2005","08","31","Wednesday",0,"SE",18,0,"P",1.08,611.5,282.12,16.67,1.3025,7,0.081625153,16.82,25,0,74.875,1,0,"5",3.87999999999987,0,0.233333333333333,"1","dm.plus",3757
"2416","2005","08","31","Wednesday",0,"SO",18,0,"P",1.06,271.5,135.34,16.81,1.08,7,0.323626071,34.36,12,0,56.8671875,1,0,"5",2.49999999999984,0,0.233333333333333,"1","dm.plus",3426
"2417","2005","08","31","Wednesday",0,"SB",18,0,"P",1.02,528.5,182.193333333333,12,2,7,0.256246461,0,7,0,59.7578125,1,0,"3",0,1,0.1,"1","dm.plus",3422
"2418","2005","08","31","Wednesday",0,"SO",19,0,"P",1.06,225,216.6,30,1,7,0.217062573,36.25,2,1,34.265625,1,2,"3",0,1,0.166666666666667,"1","dm.plus",3850
"2419","2005","08","31","Wednesday",0,"SE",18,0,"P",1.02,220,258.41,10,1,7,0.020780461,35.13,6,0,62.234375,1.05,2.17,"3",0,1,0.2,"1","dm.plus",3588
"2420","2005","08","31","Wednesday",0,"SK",18,0,"P",1.08,295,188.63,22,1,7,0.061080215,28.48,15,0,67.40625,1.01,1.65,"3",0,1,0.2,"1","dm.plus",3685
"2424","2005","08","31","Wednesday",1,"SO",20,0,"P",1,100,245.6,2,2,6,0,60,1,1,66.828125,1,1,"3",115,2,0.0333333333333333,"1","dm.plus",3673
"2425","2005","08","31","Wednesday",1,"SO",20,0,"P",1.06,350,196.64,22,1,6,0,0,12.79,1.52,68.0625,1,0.82,"3",13,1,0.166666666666667,"1","dm.plus",3612
"2427","2005","08","31","Wednesday",0,"SA",22,3,"P",1.15,705.5,384.19,26,1.44,10,0.555266595,26.46,27,2,48.390625,1,1,"5",220.9,0,0.2,"1","dm.plus",3751
"2428","2005","08","31","Wednesday",1,"SB",19,0,"P",1,2100,0,2,1.50666666666667,5,0.109662484,0,1,1,56.1328125,1,0,"5",206.09,0,0.0666666666666667,"1","dm.plus",3744
"2431","2005","08","31","Wednesday",0,"SF",18,0,"P",2,350,828.34,2,2,4,0.110816429,60.71,28,0,55.59375,1,0,"3",0,1,0.0666666666666667,"1","dm.plus",3743
"2435","2005","08","31","Wednesday",0,"SK",19,0,"P",1.07,739.5,276.23,66,1,3,0,21.22,21,2,81.828125,1.05,2.05,"3",0,1,0.2,"1","dm.plus",3712
"2436","2005","08","31","Wednesday",0,"SO",19,0,"P",1.01,248,155.89,18.16,1.06,4,0.212875913,31.25,14,1,50.2265625,1.01,1.89,"5",1.96999999999942,0,0.3,"1","dm.plus",3589
"2440","2005","08","31","Wednesday",0,"SB",20,0,"P",1,501.5,201.92,5,1,3,0.025491017,0,4,1.62,64.515625,1,1,"3",0,1,0.1,"1","dm.plus",3594
"2441","2005","08","31","Wednesday",0,"SC",17,0,"P",1.31,753.5,541.87,23.46,1.13,4,0.062845108,83.5,12.26,0.389999999999999,40.84375,1.01,1.49,"5",45.6399999999997,0,0.366666666666667,"1","dm.plus",3760
"2442","2005","08","31","Wednesday",0,"SO",19,0,"P",1.01,274,151.76,15.33,1.2,3,0.201115161,33.9316666666667,6,1,52.1171875,1,0,"5",3.44999999999987,0,0.233333333333333,"1","dm.plus",3428
"2445","2005","08","31","Wednesday",0,"SA",18,0,"P",1,221,192.43,18,1,11,0,33.9,9,0,66.25,1.01,1.77,"3",0,1,0.2,"1","dm.plus",3768
"2447","2005","08","31","Wednesday",0,"SO",18,0,"P",1.01,208,210.67,45,1,4,0,30.27,20,0,65.984375,1.01,1.73,"3",0,1,0.2,"1","dm.plus",3730
"2449","2005","08","31","Wednesday",0,"SF",18,0,"P",1.12,879,583.46,21.73,1.09,2,0.249024398,41.23,10.56,0.369999999999999,77.15625,1.04,1.92,"5",22.1999999999996,0,0.366666666666667,"1","dm.plus",3709
"2450","2005","08","31","Wednesday",0,"SO",18,0,"P",1.01,181,92.29,13,1,11,0,30.45,11,0,67.8125,1.02,2.14,"3",0,1,0.2,"1","dm.plus",3597
"2451","2005","08","31","Wednesday",0,"SA",18,0,"P",1.08,578.5,495.51,24.83,1.06,5,0.016521428,22.7,13.36,0,76.78125,1.04,2.28,"5",15.8299999999995,0,0.333333333333333,"1","dm.plus",3732
"2452","2005","08","31","Wednesday",0,"SA",18,0,"P",1.09,558.5,502.91,27.765,1.04,12,0,24.26,21,0.0599999999999987,78.625,1.06,2.25,"5",15.0299999999995,0,0.333333333333333,"1","dm.plus",3785
"2453","2005","08","31","Wednesday",0,"SM",18,0,"P",1.05,744.5,185.49,15.88,1.31,11,0,9.91,19,0,69.03125,1,0,"5",1.86999999999983,0,0.233333333333333,"1","dm.plus",3562
"2454","2005","08","31","Wednesday",0,"SC",19,0,"P",1.05,2550,155,15,1,5,0,10.67,13,4.96,78.09375,1.03,1.96,"3",0,1,0.166666666666667,"1","dm.plus",3731
"2455","2005","08","31","Wednesday",0,"SL",18,0,"P",1.04,383.5,214.17,15.11,1.06,2,0,27.28,13,1,66.28125,1.01,3,"5",1.95999999999946,0,0.266666666666667,"1","dm.plus",3664
"2456","2005","08","31","Wednesday",0,"SO",19,0,"P",1.06,500,94,12,2,2,0,9.16,14,1.21,51.296875,1,4,"3",0,1,0.1,"1","dm.plus",3729
"2457","2005","08","31","Wednesday",1,"SD",18,0,"P",1.45,563,444.32,26,1,1,0.014109549,81.65,0,0,73.546875,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3506
"2458","2005","08","31","Wednesday",1,"SN",19,0,"P",1.02,508.5,388.15,19.36,1.06,3,0.037453396,28.8533333333333,2,0,59.3359375,1.05,2.53,"5",34.3199999999995,0,0.3,"1","dm.plus",3863
"2461","2005","08","31","Wednesday",2,"SF",18,0,"P",1.14,3302,1164.51,34,1,9,0,22.31,12.63,16,71.03125,1.05,2.02,"3",0,1,0.233333333333333,"1","dm.plus",3776
"2464","2005","08","31","Wednesday",0,"SO",18,0,"P",1,532.5,218.16,17.48,1.13,9,0.268207518,18.7171428571429,6,2,55.15625,1.02,2.33,"5",1.56999999999941,0,0.3,"1","dm.plus",3618
"2465","2005","08","31","Wednesday",0,"SF",18,0,"P",1.09,455,296.06,59,1,3,0.294584758,16.91,12.06,0,36.8984375,1,0,"3",0,1,0.166666666666667,"1","dm.plus",3536
"2466","2005","08","31","Wednesday",0,"SO",21,4,"P",1.17,300,185,22,1,2,0,29.95,8,2,55.4666796875,1,0.9,"3",1434,1,0.133333333333333,"1","dm.plus",3647
"2469","2005","08","31","Wednesday",1,"SA",18,0,"P",1.17,824,583.52,20.97,1.15,1,0.352013051,33.1971428571429,9.49,0.42,38.734375,1.02,1.89,"5",27.8499999999996,0,0.366666666666667,"1","dm.plus",3770
"2470","2005","08","31","Wednesday",0,"SE",18,0,"P",1.03,248.5,219.75,9,1,11,0.046571976,34.15,25,0,59.859375,1.06,2.25,"3",0,1,0.2,"1","dm.plus",3634
"2471","2005","08","31","Wednesday",0,"SD",18,0,"P",1.04,406.5,268,14.9,1.05,2,0.043732745,26.2,5,1,73.375,1.03,2.36,"5",2.99999999999943,0,0.3,"1","dm.plus",3645
"2473","2005","08","31","Wednesday",0,"SO",18,0,"P",1,252.5,223.48,18.3,1,8,0,36.73,7,0,38.078125,1.01,1.94,"5",0.389999999999405,0,0.3,"1","dm.plus",3868
"2475","2005","08","31","Wednesday",0,"SO",19,0,"P",1,299.5,155.77,5,1.33,1,0.063717637,35,9.18,1.08,45.2109375,1,0,"5",8.91999999999989,0,0.2,"1","dm.plus",3444
"2477","2005","08","31","Wednesday",0,"SB",19,0,"P",1,584,211.24,3,1,2,0,0,11.1466666666667,1.26,74.203125,2,0,"3",0,1,0.133333333333333,"1","dm.plus",3474
"2478","2005","08","31","Wednesday",0,"SH",18,0,"P",1.43,537.5,466.61,21.13,1.46,33.46,0.480008378,201.5,20,0.6,85.171875,1,0,"5",57.58,0,0.3,"1","dm.plus",3469
"2479","2005","08","31","Wednesday",0,"SO",21,0.34,"R",1.09,1070,591.24,21.84,1.09,13.62,0,21.45,10.9,1.58,68.796875,1.03,2.43,"5",26.7799999999996,0,0.433333333333333,"1","dm.plus",3610
"2482","2005","08","31","Wednesday",0,"SD",19,0,"P",2,250,154,5,2,33.21,0,39,12.29,2,71.859375,1,0.95,"3",123,2,0.1,"1","dm.plus",3621
"2486","2005","08","31","Wednesday",1000,"SB",21,2,"R",1.42,715,624.36,62,1,12.68,0.092794217,70.66,9.53,1.76,29.31640625,1,0,"3",297,1,0.233333333333333,"1","dm.plus",3473
"2510","2005","08","31","Wednesday",0,"SO",18,0.0399999999999971,"P",1.11,753,536.29,22.29,1.07,19.32,0,32.09,11.63,0.239999999999999,70.5533007813,1.1,2.1,"4",12.2599999999995,0,0.466666666666667,"1","dm.plus",3741
"2511","2005","08","31","Wednesday",0,"SG",21,1.46,"P",1.3,1900,836,12,2,13,0.073581661,0,3,3,50.6796875,1,0,"3",1648,2,0.0666666666666667,"1","dm.plus",3545
"2512","2005","08","31","Wednesday",0,"SH",18,0,"P",1.03,585.5,226.61,16.18,1.07,2,0.083535875,14.37,15,0,54.0390625,0.999999999999999,1.18,"5",7.36999999999945,0,0.3,"1","dm.plus",3574
"2515","2005","08","31","Wednesday",120,"SO",17,0.0899999999999981,"P",1.42,887,550.92,23.675,1.16,12.86,0.059787054,98.73,13.04,0.63,15.98828125,1.02,1.64,"5",13.8799999999997,0,0.433333333333333,"1","dm.plus",3726
"2516","2005","08","31","Wednesday",0,"SC",18,0,"P",1.12,291,153.96,19.5,1.02,14,0,57,18,0,83.125,1.01,1.95,"5",2.03999999999942,0,0.3,"1","dm.plus",3677
"2517","2005","08","31","Wednesday",0,"SB",18,0,"P",1.02,426.5,230.43,18.32,1.3,28,0.121921879,26.1,26,0,63.65625,1,0,"5",1.12999999999983,0,0.233333333333333,"1","dm.plus",3814
"2518","2005","08","31","Wednesday",1,"SO",19,0.0399999999999976,"P",1.11,618.5,596.16,24.37,1.07,16.49,0,39.24,11.81,1.01,57.937421875,1.13,2.43,"4",11.9999999999995,0,0.466666666666667,"1","dm.plus",3706
"2519","2005","08","31","Wednesday",0,"SL",18,0,"P",1.1,399.25,334.85,40,1,74,0.235649224,41.41,17,1,61.2890625,1.09,2.135,"3",0,1,0.2,"1","dm.plus",3779
"2520","2005","08","31","Wednesday",0,"SO",20,0,"P",1.06,525,218.43,40,1,1,0.115139323,18.9,24,1,69.84375,1.07,2.26,"3",0,1,0.2,"1","dm.plus",3765
"2521","2005","08","31","Wednesday",0,"SC",18,0,"P",1.06,484,486.23,26.32,1.06,18.82,0,53.57,13.41,0.249999999999999,80.578125,1.01,1.86,"5",17.0599999999996,0,0.4,"1","dm.plus",3669
"2522","2005","08","31","Wednesday",0,"SL",18,0,"P",1.12,1016,512.81,21.57,1.14,13.9,0,27.96,10.6,0.389999999999999,69.3293359375,1.08,2.05,"4",31.9799999999996,0,0.433333333333333,"1","dm.plus",3629
"2523","2005","08","31","Wednesday",1,"SO",18,0,"P",1.21,629.5,261.68,7,2,72,0,24,16,1,67.703125,2,0,"3",0,1,0.1,"1","dm.plus",3466
"2525","2005","08","31","Wednesday",0,"SF",18,0,"P",1.06,339,212.53,19.35,1.21,15,0,39.4033333333333,8,0,80.328125,1,0.95,"5",8.01999999999989,0,0.3,"1","dm.plus",3613
"2527","2005","08","31","Wednesday",0,"SB",18,0,"P",1.06,378,155.07,16.63,1.25,42,0.077670938,32.03,22,0,70.625,1,0,"5",3.70999999999985,0,0.233333333333333,"1","dm.plus",3815
"2528","2005","08","31","Wednesday",0,"SA",18,0,"P",1.03,211.5,227.75,24,1,17,0.136332744,34.99,4,0,81.015625,1.01,1.67,"3",0,1,0.2,"1","dm.plus",3656
"2529","2005","08","31","Wednesday",1,"SG",18,0,"P",1.1,397.5,274.82,43,1,41,0,33.55,13,0,65.609375,1.05,1.965,"3",0,1,0.2,"1","dm.plus",3775
"2530","2005","08","31","Wednesday",1,"SD",18,0,"P",1,380,238.88,5,1.08,41,0.03459988,64,10,0,75.984375,1.11,1.93,"5",5.10999999999944,0,0.2,"1","dm.plus",3748
"2532","2005","08","31","Wednesday",2000,"SB",38,2.49,"H",1.76,8805.5,4471.82,26.8,2.27,13.82,0,156.12,11.25,6.27,56.578125,1.16,1.86,"5",1042.58,0,0.433333333333333,"1","dm.plus",3583
"2536","2005","08","31","Wednesday",0,"SH",18,0,"P",1.05,552.5,162.88,15,1,17,0.119359562,4.65,13,0,56.0390625,1,0,"3",0,1,0.133333333333333,"1","dm.plus",3528
"2537","2005","08","31","Wednesday",0,"SC",18,0,"P",1.03,351.5,138.36,19,1.09,3,0.024343317,31.91,14,0.0799999999999986,67.78125,1,0,"5",3.71999999999985,0,0.233333333333333,"1","dm.plus",3596
"2539","2005","08","31","Wednesday",1,"SO",19,0,"P",1.11,530.5,231.86,15,3,3,0.32694723,24.03,15,1.68,64.203125,1,0.97,"3",0,1,0.2,"1","dm.plus",3576
"2540","2005","08","31","Wednesday",0,"SC",20,0,"P",1.16,742.5,233.84,12,2,67,0,21,18,2,58.8125,1,4,"3",309,2,0.1,"0","dm.plus",3636
"2541","2005","08","31","Wednesday",0,"SO",18,0,"P",1.34,404,268.57,6,1.21,38,0.247760353,109,12,0,63.25,1.16,1.91,"5",17.0099999999997,0,0.233333333333333,"1","dm.plus",3778
"2543","2005","08","31","Wednesday",0,"SC",18,0,"P",1.08,309.5,209.48,20.78,1.09,19,0,53.64,3,0,85.953125,1,0.92,"5",1.45999999999957,0,0.3,"1","dm.plus",3847
"2545","2005","08","31","Wednesday",0,"SL",18,0,"P",1.03,570,239.49,18.97,1.15,35,0,19.8233333333333,5,0,89,1.02,2.05,"5",0.91999999999947,0,0.3,"1","dm.plus",3723
"2547","2005","08","31","Wednesday",1,"SO",18,0,"P",1.08,260,185.82,18.6,1.15,31,0,39.25,4,0.0499999999999987,67.65625,1,0,"5",1.65999999999985,0,0.266666666666667,"1","dm.plus",3694
"2550","2005","08","31","Wednesday",0,"SB",18,0,"P",1.12,614.5,540.98,19.61,1.15,66,0.002105083,39.62,13,0.189999999999999,71.484375,1.06,2.34,"5",7.99999999999953,0,0.333333333333333,"0","dm.plus",3704
"2551","2005","08","31","Wednesday",1,"SC",22,2,"P",1,2650,930,4,2,2,0,20,4,3,58.28125,1,0,"3",601,1,0,"1","dm.plus",3459
"2552","2005","08","31","Wednesday",0,"SO",18,0,"P",1.04,247.5,218.24,17.875,1.01,52,0.088914725,47.91,12,0,55.109375,1.02,2.14,"5",0.389999999999411,0,0.3,"0","dm.plus",3654
"2553","2005","08","31","Wednesday",1,"SC",18,0,"P",1.09,250,173.22,19,1,45,0,36.45,18,0.159999999999999,45.8671875,1.02,2.07,"3",0,1,0.233333333333333,"0","dm.plus",3781
"2554","2005","08","31","Wednesday",0,"SK",19,0,"P",1,2850,2884,6,3,44,0.080394946,111,16,0,77.3125,1,0,"3",686,3,0,"0","dm.plus",3425
"2555","2005","08","31","Wednesday",0,"SD",18,0,"P",1.09,630,216.75,14.88,1.41,23,0,15.73,16,0,73.53125,1,0,"5",0.439999999999835,0,0.233333333333333,"1","dm.plus",3446
"2556","2005","08","31","Wednesday",0,"SO",19,0,"P",1.05,366,163.97,41,1,42,0.118696068,25.4,15,1,71.046875,1.07,2.16,"3",0,1,0.2,"0","dm.plus",3672
"2557","2005","08","31","Wednesday",0,"SC",19,0,"P",1.06,150,121.49,8,1,39,0.068335068,40.69,19,0,87.890625,1.03,3,"5",6.63999999999948,0,0.166666666666667,"0","dm.plus",3592
"2558","2005","08","31","Wednesday",1,"SH",19,0,"P",1.21,726.5,228.07,10,2,34,0,1,4,1,84.765625,1,0,"3",0,1,0.1,"0","dm.plus",3569
"2560","2005","08","31","Wednesday",0,"SH",18,0,"P",1,673.5,140.88,2,1,25,0.023847058,17.43,9,0,85.078125,1,1,"3",0,1,0.1,"0","dm.plus",3640
"2561","2005","08","31","Wednesday",1,"SC",18,0,"P",1,377,149.63,2,2,33,0,30,9,0,78.625,1,1,"3",0,1,0.0666666666666667,"0","dm.plus",3626
