"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id","GOOD"
"6814","2005","10","18","Tuesday",0,"SO",24,1,"R",1,750,0,5,1,6,0.025934141,1,4,0,41.0078125,2,0,"5",1851,0,"1",10206,"1"
"6815","2005","10","18","Tuesday",2,"SO",27,4,"H",1,2050,32,10,1,9,0.239238724,30,7,0,73.921875,2,0,"5",383,0,"1",10195,"1"
"6816","2005","10","18","Tuesday",1,"SO",22,1,"R",3,600,1210,6,1,4,0.080913599,121,0,0,47.2890625,3,0,"5",0,0,"1",10188,"1"
"6846","2005","10","19","Wednesday",200,"SE",22,2,"P",1,300,1767,20,2,32,0,1,12,4,86.140625,2,0,"2",0,0,"1",10245,"1"
"6848","2005","10","19","Wednesday",0,"FT",15,1,"P",1,350,249,19,1,29,0.092380416,41,1,0,41.5078125,1,3,"5",0,0,"1",10259,"1"
"6849","2005","10","19","Wednesday",0,"SO",18,4,"P",1,50,372,2,1,20,0.016300133,0,16,0,30.72265625,1,1,"5",33,0,"1",10283,"1"
"6851","2005","10","19","Wednesday",1,"SB",22,1,"P",1,600,0,26,2,12,0.012507173,1,24,3,47.5078125,1,4,"3",0,2,"1",10250,"1"
"6857","2005","10","19","Wednesday",1,"SO",22,1,"P",1,150,0,4,1,16,0.114375023,0,0,0,83.390625,1,1,"5",1692,0,"1",10255,"1"
"6859","2005","10","19","Wednesday",1,"SO",24,1,"P",1,50,1054,26,1,31,0.090649613,0,9,0,53.34375,1,0,"5",1150,0,"1",10278,"1"
"6863","2005","10","19","Wednesday",1,"SH",24,2,"P",1,2600,216,18,1,9,0.057650825,30,23,6,69.421875,1,1,"3",2567,1,"1",10277,"1"
"6865","2005","10","19","Wednesday",1,"SO",19,1,"R",1,300,0,17,1,2,0,26,0,0,79.265625,1,1,"5",0,0,"1",10286,"1"
"6866","2005","10","19","Wednesday",1,"SO",19,1,"R",1,350,32,12,1,2,0,0,2,0,15.30273438,1,0,"5",793,0,"1",10284,"1"
"6867","2005","10","19","Wednesday",0,"SL",18,1,"R",1,950,1,14,3,4,0,1,0,0,70.59375,1,4,"4",305,0,"1",10261,"1"
"6868","2005","10","19","Wednesday",1,"SC",18,1,"P",1,300,125,5,1,25,0,24,5,0,77.40625,1,2,"5",0,0,"1",10266,"1"
"6869","2005","10","19","Wednesday",0,"SO",24,0,"R",1,100,403,4,1,3,0.034083479,1,3,0,33.7578125,2,1,"5",0,0,"1",10260,"1"
"6871","2005","10","19","Wednesday",0,"SO",22,1,"R",1,250,992,2,1,2,0.150222792,1,3,1,38.484375,1,2,"5",0,0,"1",10247,"1"
"6872","2005","10","19","Wednesday",0,"SC",21,3,"R",1,200,62,3,1,3,0.037079692,0,0,0,50.9609375,1,0,"5",1003,0,"1",10239,"1"
"6873","2005","10","19","Wednesday",1,"FT",26,0,"R",1,750,1,72,1,9,0.175850486,20,0,1,28.71484375,1,0,"5",193,0,"1",10236,"1"
"6884","2005","10","20","Thursday",0,"SM",23,2,"P",1,2500,309,14,3,41,0.137929104,1,15,4,89.265625,1,1,"3",977,3,"1",10328,"1"
"6885","2005","10","20","Thursday",300,"SO",21,1,"P",1,350,62,2,1,39,0.01343514,0,16,0,71.671875,1,0,"5",300,0,"1",10337,"1"
"6891","2005","10","20","Thursday",0,"SA",20,1,"P",1,250,1,2,1,7,0.017301348,0,19,3,50.1484375,1,1,"5",977,0,"1",10306,"1"
"6892","2005","10","20","Thursday",0,"SO",19,1,"P",1,800,0,4,1,3,0,0,4,0,89.21875,1,1,"5",977,0,"1",10296,"1"
"6895","2005","10","20","Thursday",1,"SG",19,1,"R",1,100,0,17,1,6,0,0,20,1,81.40625,1,1,"3",0,1,"1",10329,"1"
"6898","2005","10","20","Thursday",120,"SO",18,1,"P",1,250,185,2,1,13,0.037225444,0,21,0,37.5078125,1,1,"3",0,1,"1",10325,"1"
"6903","2005","10","20","Thursday",0,"SH",21,1,"R",2,50,31,8,1,2,0.075171305,0,4,0,26.8515625,1,0,"5",769,0,"1",10333,"1"
"6904","2005","10","20","Thursday",1,"SO",24,1,"R",1,350,0,1,3,4,0,1,0,0,59.921875,2,1,"4",0,0,"1",10326,"1"
"6905","2005","10","20","Thursday",960,"SB",30,1,"R",1,1550,0,1,1,47,0,0,22,3,34.4375,2,0,"5",978,0,"1",10323,"1"
"6907","2005","10","20","Thursday",1,"SN",24,1,"R",1,950,0,19,1,3,0.369587896,95,3,0,23.9296875,1,2,"5",99,0,"1",10303,"1"
"6908","2005","10","20","Thursday",0,"FT",18,1,"P",1,500,1768,54,1,22,0,0,7,0,56.9140625,2,0,"4",0,0,"1",10293,"1"
"6918","2005","10","21","Friday",1,"SE",18,1,"R",1,950,1,43,1,47,0,45,20,0,95.71875,2,0,"3",0,1,"1",10347,"1"
"6919","2005","10","21","Friday",0,"SK",19,1,"P",1,1750,930,4,1,18,0.046450545,0,5,2,72.890625,1,0,"5",0,0,"1",10353,"1"
"6921","2005","10","21","Friday",300,"SO",20,2,"P",1,950,31,43,1,14,0,25,11,2,63.9453125,1,1,"3",0,1,"1",10362,"1"
"6923","2005","10","21","Friday",0,"SO",18,1,"P",1,200,0,2,1,9,0.176695664,41,17,0,27.16015625,1,1,"3",0,1,"1",10375,"1"
"6925","2005","10","21","Friday",0,"SC",19,1,"P",1,250,1,5,2,6,0,0,11,1,74.3125,1,1,"5",0,0,"1",10385,"1"
"6930","2005","10","21","Friday",0,"SA",19,1,"P",1,1200,124,26,1,3,0.638045527,65,2,2,17.2265625,1,1,"5",738,0,"1",10361,"1"
"6935","2005","10","21","Friday",200,"SA",27,2,"R",1,350,30,11,1,1,0.16884093,0,0,1,37.7109375,1,1,"5",1306,0,"1",10392,"1"
"6936","2005","10","21","Friday",560,"SO",24,0,"R",1,400,526,3,1,14,0.189570718,51,0,0,62.515625,2,1,"5",0,0,"1",10368,"1"
"6937","2005","10","21","Friday",0,"FT",19,1,"R",1,2100,1054,10,3,17,0,0,0,0,43.7421875,2,2,"4",0,0,"1",10390,"1"
"6938","2005","10","21","Friday",0,"SO",23,1,"R",1,250,1,5,1,1,0,35,4,0,38.921875,1,0,"5",2519,0,"1",10388,"1"
"6939","2005","10","21","Friday",0,"SO",18,1,"P",1,1500,528,4,1,11,0,41,10,0,69.609375,1,2,"4",0,0,"1",10384,"1"
"6941","2005","10","21","Friday",10,"SO",20,0,"R",1,1250,32,3,1,2,0.593978122,25,10,0,55.09375,1,0,"5",0,0,"1",10377,"1"
"6942","2005","10","21","Friday",2,"SO",22,4,"R",1,350,0,42,1,37,0.030782484,95,10,3,51.4140625,1,0,"3",0,1,"1",10367,"1"
"6943","2005","10","21","Friday",0,"FT",22,2,"R",1,1600,1828,3,3,5,0,0,5,0,51.953125,2,1,"4",0,0,"1",10374,"1"
"6944","2005","10","21","Friday",1,"SO",23,1,"R",1,4050,1827,7,2,9,0,0,2,0,41.4296875,1,2,"4",21,0,"1",10366,"1"
"6945","2005","10","21","Friday",0,"SO",18,0,"R",1,350,465,2,1,32,0,0,0,0,88.15625,1,3,"4",0,0,"1",10358,"1"
"6947","2005","10","21","Friday",0,"SO",20,1,"R",1,1600,1767,2,1,6,0,0,0,0,36.5,1,4,"4",0,0,"1",10348,"1"
"6956","2005","10","22","Saturday",0,"SO",18,0,"P",1,4700,186,17,1,15,0,0,0,0,29.203125,1,0,"5",1937,0,"1",10434,"1"
"6960","2005","10","22","Saturday",800,"SO",22,4,"P",1,1750,528,1,3,5,0.033275958,51,6,22,58.671875,1,1,"3",1768,3,"1",10419,"1"
"6965","2005","10","22","Saturday",0,"SD",41,1,"R",2,2250,34,12,3,3,0.215445575,0,5,2,58.453125,1,4,"3",0,3,"1",10397,"1"
"6967","2005","10","22","Saturday",0,"SE",20,1,"R",1,650,0,7,1,4,0.12865192,26,5,0,71.171875,1,0,"5",2141,0,"1",10438,"1"
"6968","2005","10","22","Saturday",0,"SM",26,1,"R",1,3550,1,6,1,3,0.591494212,35,0,3,63.921875,1,0,"5",1763,0,"1",10435,"1"
"6969","2005","10","22","Saturday",1,"SB",26,1,"R",3,50,0,6,1,4,0,30,0,0,65.859375,3,0,"5",3416,0,"1",10424,"1"
"6970","2005","10","22","Saturday",1,"SO",23,2,"R",1,100,0,2,1,1,0.470082934,48,28,0,45.09375,1,4,"5",2189,0,"1",10414,"1"
"6971","2005","10","22","Saturday",0,"SO",22,1,"P",1,250,34,11,1,7,0,0,4,3,73.53125,1,0,"5",1030,0,"1",10404,"1"
"6972","2005","10","22","Saturday",300,"SO",25,6,"P",1,1200,993,34,2,92,0.071143636,0,26,17,65.953125,1,1,"5",1088,0,"1",10431,"1"
"6973","2005","10","22","Saturday",1,"SO",25,0,"R",1,750,0,6,1,2,0.280317397,44,0,2,80.03125,1,0,"5",0,0,"1",10400,"1"
"6985","2005","10","25","Tuesday",160,"SO",21,1,"P",1,1450,1393,5,1,31,0.024615309,0,9,4,71.90625,1,0,"5",0,0,"1",10500,"1"
"6986","2005","10","25","Tuesday",0,"SB",18,1,"P",1,250,0,3,2,31,0.127281758,19,13,0,78.765625,2,0,"3",0,2,"1",10456,"1"
"6987","2005","10","25","Tuesday",0,"SC",18,1,"P",1,500,0,31,1,27,0,45,13,0,52.1171875,2,0,"3",0,1,"1",10446,"1"
"6990","2005","10","25","Tuesday",0,"SO",18,1,"P",1,1500,0,23,1,20,0.144724681,75,23,0,84.90625,1,1,"3",0,1,"1",10474,"1"
"6998","2005","10","25","Tuesday",0,"SO",16,1,"P",1,200,310,4,3,6,0.000804429,0,14,0,79.203125,1,0,"5",0,0,"1",10490,"1"
"7004","2005","10","25","Tuesday",0,"SG",27,1,"H",1,3550,1674,12,3,2,0.019296351,29,9,2,65.25,1,0,"3",0,1,"1",10508,"1"
"7007","2005","10","25","Tuesday",120,"SO",16,0,"P",1,100,0,13,1,4,0.641693354,1,5,0,66.421875,1,0,"5",0,0,"1",10454,"1"
"7011","2005","10","25","Tuesday",0,"SM",18,1,"P",2,250,0,4,1,14,0.103554907,31,2,0,52.8984375,1,1,"3",0,1,"1",10512,"1"
"7015","2005","10","25","Tuesday",0,"SE",26,6,"H",1,7750,5921,22,1,23,0.168002467,280,1,1,61.578125,1,0,"3",0,1,"1",10450,"1"
"7017","2005","10","25","Tuesday",1,"SO",23,1,"R",1,500,1,23,1,14,0.031709098,54,9,0,81.59375,1,1,"5",0,0,"1",10499,"1"
"7021","2005","10","25","Tuesday",1,"SA",18,1,"P",1,450,1768,7,1,18,0,0,15,0,74.75,2,3,"4",0,0,"1",10509,"1"
"7022","2005","10","25","Tuesday",0,"SB",21,1,"R",1,700,217,7,3,8,0,0,3,2,32,4,0,"4",476,0,"1",10505,"1"
"7023","2005","10","25","Tuesday",1200,"SB",25,1,"P",2,1550,466,6,3,45,0.0776367,35,6,4,58.1015625,3,0,"3",0,3,"1",10462,"1"
"7024","2005","10","25","Tuesday",0,"SC",27,1,"R",1,950,31,13,1,3,0.143344168,45,0,0,49.328125,1,0,"5",0,0,"1",10502,"1"
"7026","2005","10","25","Tuesday",0,"SA",19,1,"R",1,1200,0,10,1,2,0,75,0,0,37.2734375,1,0,"5",513,0,"1",10493,"1"
"7027","2005","10","25","Tuesday",0,"SO",24,1,"R",1,500,1,3,1,12,0.393285001,0,19,0,56.8359375,1,0,"5",561,0,"1",10486,"1"
"7029","2005","10","25","Tuesday",0,"SG",24,2,"R",1,100,1,4,1,9,0.066204283,0,11,0,42.109375,1,1,"5",0,0,"1",10479,"1"
"7030","2005","10","25","Tuesday",0,"SO",25,1,"R",1,500,0,3,1,5,0,1,10,0,18.7109375,2,3,"4",0,0,"1",10471,"1"
"7041","2005","10","26","Wednesday",0,"SE",20,1,"P",1,350,124,44,1,4,0.009793304,0,24,3,53.0703125,1,0,"3",0,1,"1",10521,"1"
"7042","2005","10","26","Wednesday",0,"SE",18,1,"P",1,150,216,9,1,5,0.032055161,31,11,1,44.2578125,1,3,"5",1937,0,"1",10535,"1"
"7051","2005","10","26","Wednesday",0,"SC",25,2,"R",1,1750,1798,51,1,2,0,249,0,2,31.93359375,1,1,"5",1030,0,"1",10562,"1"
"7053","2005","10","26","Wednesday",1,"SD",39,3,"R",1,5650,3441,10,1,25,0.041811871,95,16,4,49.3203125,1,1,"3",345,1,"1",10523,"1"
"7054","2005","10","26","Wednesday",460,"SB",19,1,"R",1,1550,9795,4,2,12,0.257396757,613,0,1,45.640625,1,0,"5",0,0,"1",10555,"1"
"7055","2005","10","26","Wednesday",0,"SA",23,1,"R",1,250,30,9,1,21,0.111633638,0,1,0,58.1796875,1,0,"5",0,0,"1",10547,"1"
"7056","2005","10","26","Wednesday",1,"SD",19,1,"P",1,1900,1117,52,1,36,0,0,15,0,60.40625,1,2,"4",298,0,"1",10539,"1"
"7057","2005","10","26","Wednesday",1,"SF",20,1,"R",1,150,63,10,1,16,0,0,21,2,57.75,1,1,"3",0,1,"1",10534,"1"
"7070","2005","10","27","Thursday",1,"SA",18,1,"P",1,150,29,2,1,27,0.529550552,0,23,0,40.3125,1,2,"3",0,1,"1",10610,"1"
"7071","2005","10","27","Thursday",1,"SO",22,1,"P",1,300,124,2,2,17,0.065757457,51,26,2,52.8671875,1,1,"3",1236,2,"1",10572,"1"
"7073","2005","10","27","Thursday",300,"SO",16,1,"P",1,500,868,10,1,8,0,25,15,0,71.1875,1,1,"5",1851,0,"1",10577,"1"
"7076","2005","10","27","Thursday",440,"SE",18,0,"P",1,50,247,31,1,1,0,0,3,0,20.87109375,1,1,"5",202,0,"1",10590,"1"
"7086","2005","10","27","Thursday",0,"SO",23,1,"R",1,1200,1239,13,1,9,0.34111634,0,17,6,55.6171875,1,0,"5",0,0,"1",10612,"1"
"7089","2005","10","27","Thursday",1,"SO",18,3,"R",1,500,124,20,1,1,0,0,2,0,31.6796875,1,0,"5",0,0,"1",10602,"1"
"7090","2005","10","27","Thursday",1,"SE",22,1,"R",1,150,1301,19,1,45,0,1,23,0,44.765625,2,1,"4",480,0,"1",10597,"1"
"7091","2005","10","27","Thursday",1,"SE",31,1,"R",1,14850,4434,8,1,2,0,0,16,2,46.1328125,1,2,"4",0,0,"1",10583,"1"
"7092","2005","10","27","Thursday",1,"FT",18,1,"R",1,950,1084,12,1,9,0.412199622,45,0,0,53.609375,1,0,"5",0,0,"1",10582,"1"
"7094","2005","10","27","Thursday",1,"SA",18,1,"P",1,400,403,35,1,12,0.038874934,19,21,0,79.640625,1,0,"5",0,0,"1",10578,"1"
"7095","2005","10","27","Thursday",0,"SO",24,0,"R",1,650,993,34,3,4,0.083119784,33,0,0,8.44140625,1,1,"5",920,0,"1",10575,"1"
"7105","2005","10","28","Friday",0,"SC",19,1,"P",1,2850,1,35,1,20,0.172872799,26,15,0,55.765625,1,0,"5",1937,0,"1",10628,"1"
"7106","2005","10","28","Friday",0,"SO",18,1,"P",1,500,0,2,2,17,0.269075241,0,16,0,64.828125,1,1,"3",0,2,"1",10645,"1"
"7109","2005","10","28","Friday",200,"SE",19,2,"P",1,900,217,72,2,12,0.169721361,1,14,2,54.921875,1,0,"3",130,1,"1",10634,"1"
"7112","2005","10","28","Friday",1,"SO",20,1,"P",1,600,123,35,1,2,0,1,17,2,68.671875,1,0,"5",725,0,"1",10648,"1"
"7113","2005","10","28","Friday",1,"SO",18,1,"R",1,650,34,4,1,1,0,30,27,0,30.546875,1,0,"5",1246,0,"1",10652,"1"
"7116","2005","10","28","Friday",1600,"SC",41,0,"R",3,450,0,4,1,44,0,1,5,5,60.765625,4,0,"3",157,1,"1",10657,"1"
"7117","2005","10","28","Friday",0,"SO",27,1,"R",1,2100,31,3,1,4,0.073904666,0,24,3,23.84375,1,1,"3",0,1,"1",10639,"1"
"7118","2005","10","28","Friday",0,"SO",36,2,"H",1,4050,63,11,2,35,0.010247834,0,12,2,45.0546875,1,0,"5",298,0,"1",10635,"1"
"7120","2005","10","28","Friday",2,"SO",24,3,"P",2,1200,32,23,1,22,0.119511745,0,20,6,80.3125,2,0,"5",3761,0,"1",10646,"1"
"7121","2005","10","28","Friday",1,"SO",20,1,"R",2,100,0,10,1,8,0,1,13,2,42.859375,2,0,"5",1851,0,"1",10660,"1"
"7122","2005","10","28","Friday",0,"SO",18,1,"R",1,250,123,4,1,9,0,0,5,0,60.2734375,1,4,"4",0,0,"1",10656,"1"
"7123","2005","10","28","Friday",1,"FT",22,1,"R",1,2050,1,5,1,23,0.391824889,0,15,0,76.140625,1,0,"5",521,0,"1",10636,"1"
"7124","2005","10","28","Friday",0,"SB",22,1,"R",2,350,0,13,1,10,0.49130393,0,6,0,47.078125,2,0,"5",0,0,"1",10632,"1"
"7125","2005","10","28","Friday",0,"SB",20,3,"R",1,350,0,35,1,8,0.014871309,26,26,2,67.421875,1,0,"5",2119,0,"1",10626,"1"
"7134","2005","10","29","Saturday",0,"SA",28,1,"P",1,5250,5704,15,2,27,0.02678416,0,0,0,73.015625,1,1,"5",298,0,"1",10700,"1"
"7135","2005","10","29","Saturday",1,"SO",18,1,"P",1,750,0,42,2,22,0.314696978,45,19,0,72.25,1,0,"5",0,0,"1",10667,"1"
"7137","2005","10","29","Saturday",0,"SM",19,2,"P",1,850,558,12,1,16,0.090288364,0,19,0,54.765625,1,2,"3",0,1,"1",10676,"1"
"7138","2005","10","29","Saturday",0,"SH",20,1,"P",1,100,0,2,1,12,0.007536911,41,12,2,88.03125,1,3,"3",136,1,"1",10710,"1"
"7139","2005","10","29","Saturday",0,"SO",18,1,"P",1,450,1458,7,1,6,0,1,19,0,57.015625,1,1,"5",298,0,"1",10697,"1"
"7140","2005","10","29","Saturday",0,"SB",16,1,"P",1,350,63,2,1,4,0.049237034,0,8,0,63.1640625,1,1,"5",0,0,"1",10699,"1"
"7142","2005","10","29","Saturday",0,"SF",18,1,"P",1,800,0,8,1,1,0.020818454,0,1,2,69.234375,2,1,"5",3631,0,"1",10685,"1"
"7147","2005","10","29","Saturday",340,"SN",31,1,"R",1,500,0,12,1,4,0.207411661,14,0,0,58.453125,2,1,"3",0,1,"1",10704,"1"
"7148","2005","10","29","Saturday",0,"SL",20,2,"R",1,500,527,15,1,2,0.491066968,1,5,0,35.03125,1,1,"3",0,1,"1",10666,"1"
"7152","2005","10","29","Saturday",0,"SO",19,0,"P",1,100,402,12,2,16,0.129370438,21,1,0,63.5546875,2,0,"5",2141,0,"1",10678,"1"
"7154","2005","10","29","Saturday",1,"SC",24,0,"R",1,200,31,7,2,42,0.359432146,54,0,0,71.5,2,0,"5",74,0,"1",10706,"1"
"7156","2005","10","29","Saturday",1,"SM",18,1,"R",1,1900,650,4,2,1,0,85,5,0,14.734375,2,4,"4",300,0,"1",10689,"1"
"7158","2005","10","29","Saturday",1,"SO",24,3,"R",1,300,125,3,1,2,0,0,0,0,67.140625,2,4,"4",1040,0,"1",10686,"1"
"7159","2005","10","29","Saturday",0,"SO",14,1,"P",1,14850,2139,7,3,1,0,1,28,27,17.83203125,1,4,"5",3631,0,"1",10673,"1"
"7170","2005","11","01","Tuesday",1,"SF",18,1,"P",1,350,31,29,1,47,0,0,7,0,65.90625,1,0,"5",0,0,"1",10755,"1"
"7171","2005","11","01","Tuesday",1,"SC",18,1,"P",1,1550,123,17,1,35,0.272698059,0,13,0,73.171875,1,1,"5",186,0,"1",10767,"1"
"7177","2005","11","01","Tuesday",300,"SO",19,1,"R",1,500,216,45,1,9,0.013642603,90,14,0,59.75,1,0,"3",0,1,"1",10733,"1"
"7182","2005","11","01","Tuesday",0,"SE",22,1,"P",1,1400,30,18,1,3,0.075504675,115,21,3,46.6796875,2,0,"3",0,1,"1",10735,"1"
"7184","2005","11","01","Tuesday",0,"SL",18,1,"P",1,300,0,49,1,13,0,30,26,1,82.59375,1,2,"3",0,1,"1",10739,"1"
"7190","2005","11","01","Tuesday",0,"SC",19,1,"P",2,2350,0,17,1,16,0,1,21,1,68.21875,2,0,"3",0,1,"1",10723,"1"
"7192","2005","11","01","Tuesday",1000,"SD",23,3,"H",1,6800,1241,17,1,23,0,0,13,1,60.0625,1,0,"5",328,0,"1",10712,"1"
"7194","2005","11","01","Tuesday",0,"SG",22,4,"R",1,500,34,20,1,16,0.093214307,0,24,1,66.109375,1,1,"5",769,0,"1",10763,"1"
"7196","2005","11","01","Tuesday",1,"SB",38,6,"R",1,3750,403,47,1,12,0.103426934,20,11,6,77.578125,1,0,"5",1441,0,"1",10716,"1"
"7197","2005","11","01","Tuesday",1200,"SB",26,1,"R",1,600,0,8,1,3,0.242035278,8,0,1,31.625,1,0,"5",0,0,"1",10762,"1"
"7198","2005","11","01","Tuesday",1,"SE",21,1,"R",1,2650,1768,14,1,4,0,424,4,0,11.03710938,4,0,"5",1052,0,"1",10745,"1"
"7199","2005","11","01","Tuesday",0,"SC",20,1,"R",1,1200,962,4,1,12,0,280,7,0,58.671875,1,0,"5",0,0,"1",10741,"1"
"7200","2005","11","01","Tuesday",0,"SC",25,6,"R",2,850,1,10,1,5,0.203816203,41,1,0,51.109375,1,0,"5",684,0,"1",10730,"1"
"7201","2005","11","01","Tuesday",0,"SC",20,1,"R",1,1250,34,2,1,5,0.141475603,90,10,0,67.875,2,1,"5",0,0,"1",10729,"1"
"7209","2005","11","02","Wednesday",260,"SO",18,1,"P",3,450,0,2,2,5,0.013356336,1,18,0,22.70703125,1,1,"3",0,2,"1",10783,"1"
"7211","2005","11","02","Wednesday",460,"SO",53,3,"R",1,14850,5672,39,2,1,0,90,3,13,35.390625,1,2,"5",684,0,"1",10776,"1"
"7220","2005","11","02","Wednesday",0,"SO",18,0,"R",1,100,0,8,1,3,0.365662342,33,19,0,95.359375,1,0,"5",0,0,"1",10770,"1"
"7228","2005","11","03","Thursday",0,"SF",20,3,"P",1,350,123,23,1,16,0,45,15,0,34.5625,1,3,"3",0,1,"1",10821,"1"
"7231","2005","11","03","Thursday",1,"SM",23,4,"R",2,250,0,29,1,4,0.012924581,31,0,1,75.03125,1,1,"3",0,1,"1",10823,"1"
"7240","2005","11","03","Thursday",540,"SN",34,1,"H",3,6350,1828,7,3,16,0,85,16,0,32.4140625,1,3,"3",0,3,"1",10807,"1"
"7243","2005","11","03","Thursday",1,"SB",18,1,"P",1,50,32,11,1,12,0.250049188,0,22,0,70.4375,2,0,"5",540,0,"1",10811,"1"
"7245","2005","11","03","Thursday",1,"SO",21,4,"R",1,1250,34,2,3,9,0.064701562,26,17,0,62.71875,1,1,"5",3416,0,"1",10829,"1"
"7246","2005","11","03","Thursday",2,"SB",21,1,"R",1,500,0,13,1,4,0.244955607,26,4,0,74,1,0,"5",0,0,"1",10820,"1"
"7247","2005","11","03","Thursday",200,"SO",30,3,"R",1,9200,1521,2,1,1,0,17,16,2,56.2109375,1,4,"4",3416,0,"1",10810,"1"
"7254","2005","11","04","Friday",0,"SB",18,1,"P",1,350,0,2,1,105,0,0,13,0,91.46875,2,1,"5",0,0,"1",10877,"1"
"7261","2005","11","04","Friday",600,"SB",21,4,"P",1,850,31,2,2,10,0.160086597,0,0,3,64.65625,1,2,"3",0,1,"1",10867,"1"
"7262","2005","11","04","Friday",100,"SO",20,2,"P",2,500,247,5,1,8,0.101946151,1,4,3,81.640625,2,2,"3",951,1,"1",10882,"1"
"7264","2005","11","04","Friday",0,"SO",18,2,"P",2,950,32,31,1,10,0,1,18,0,35.4296875,1,3,"3",0,1,"1",10883,"1"
"7265","2005","11","04","Friday",400,"SN",21,1,"R",1,350,1210,33,1,6,0.251922453,1,15,0,52.375,1,0,"3",97,1,"1",10848,"1"
"7268","2005","11","04","Friday",2,"SA",20,1,"P",1,2800,0,5,5,4,0.12099226,0,21,12,58.09375,1,2,"3",0,2,"1",10865,"1"
"7273","2005","11","04","Friday",2,"SL",22,4,"R",1,600,807,9,1,5,0.188109906,60,2,0,63.296875,1,0,"5",81,0,"1",10875,"1"
"7274","2005","11","04","Friday",0,"SK",24,1,"R",1,4300,1301,2,1,5,0.175455545,1,0,0,66.421875,1,0,"5",0,0,"1",10878,"1"
"7275","2005","11","04","Friday",0,"SL",32,1,"R",1,1250,0,13,1,5,0.091061221,0,5,4,13.70703125,1,2,"5",1648,0,"1",10857,"1"
"7276","2005","11","04","Friday",0,"SO",28,4,"R",2,500,1085,14,1,1,0.239584096,0,0,2,62.1796875,1,2,"5",0,0,"1",10849,"1"
"7286","2005","11","05","Saturday",0,"SA",19,2,"P",2,250,0,16,1,15,0,1,8,2,41.2109375,2,1,"3",0,1,"1",10910,"1"
"7290","2005","11","05","Saturday",0,"SO",17,2,"P",1,250,0,10,1,2,0.028121084,0,4,1,40.1875,1,2,"5",0,0,"1",10911,"1"
"7292","2005","11","05","Saturday",980,"SO",33,2,"H",2,800,806,12,2,2,0,0,23,0,66.609375,1,4,"3",502,2,"1",10908,"1"
"7297","2005","11","05","Saturday",500,"SO",21,5,"R",1,1800,2789,5,1,2,0,1,0,0,38.78125,2,4,"4",898,0,"1",10912,"1"
"7311","2005","11","08","Tuesday",1,"SA",22,2,"P",1,100,0,53,1,14,0,120,16,4,67.265625,1,2,"5",2282,0,"1",10966,"1"
"7312","2005","11","08","Tuesday",0,"SO",23,1,"P",1,500,0,25,1,11,0,0,20,3,35.359375,1,0,"3",0,1,"1",10971,"1"
"7314","2005","11","08","Tuesday",1,"SA",21,3,"P",1,50,0,16,2,9,0,0,9,4,46.78125,1,1,"3",76,2,"1",10972,"1"
"7325","2005","11","08","Tuesday",100,"SH",23,5,"P",1,600,0,19,1,22,0.464338949,18,23,5,46.203125,1,0,"3",0,1,"1",10951,"1"
"7336","2005","11","08","Tuesday",1,"SO",23,1,"R",2,150,0,3,1,5,0.104576106,0,11,0,39.1171875,3,2,"5",0,0,"1",10959,"1"
"7337","2005","11","08","Tuesday",0,"SF",22,1,"R",1,750,34,33,1,10,0,105,7,0,64.15625,1,0,"5",561,0,"1",10954,"1"
"7344","2005","11","09","Wednesday",1,"SH",20,3,"P",1,500,0,10,2,25,0.035220992,0,10,0,57.765625,1,1,"3",1098,2,"1",10988,"1"
"7348","2005","11","09","Wednesday",260,"SO",18,5,"P",1,350,0,2,2,11,0,0,15,0,56.8125,1,3,"5",59,0,"1",11000,"1"
"7351","2005","11","09","Wednesday",900,"SC",21,4,"P",1,500,0,20,2,4,0.028480272,0,7,2,75.609375,1,0,"3",0,2,"1",11004,"1"
"7354","2005","11","09","Wednesday",1,"SO",19,1,"P",2,200,124,3,1,3,0.515828706,0,1,1,56.9140625,1,1,"3",0,1,"1",11005,"1"
"7359","2005","11","09","Wednesday",0,"SO",27,1,"R",1,2800,558,2,1,4,0.311991819,0,5,0,65.515625,1,3,"3",0,1,"1",10991,"1"
"7361","2005","11","09","Wednesday",1,"SC",20,1,"R",1,250,0,2,1,3,0.105853551,1,0,0,41.796875,2,0,"5",74,0,"1",10998,"1"
"7362","2005","11","09","Wednesday",0,"SL",26,1,"R",2,900,1,12,1,2,0,0,2,2,28.125,1,0,"5",0,0,"1",11007,"1"
"7365","2005","11","09","Wednesday",0,"SF",19,1,"R",1,100,0,8,1,1,0.228786383,25,0,0,28.76171875,1,3,"5",0,0,"1",11011,"1"
"7368","2005","11","09","Wednesday",0,"SA",25,1,"R",1,600,62,3,1,2,0,1,0,0,45.75,2,1,"4",2329,0,"1",10982,"1"
"7375","2005","11","10","Thursday",0,"SO",19,1,"P",1,250,31,12,1,12,0.101651896,1,23,2,78.765625,1,1,"5",0,0,"1",11023,"1"
"7376","2005","11","10","Thursday",1,"SO",19,1,"P",1,3100,1,31,1,7,0.022857958,35,9,1,78.8125,1,1,"3",0,1,"1",11046,"1"
