"GOOD","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"0",0,"SE",18,1,"P",1.08,303.125,24.11,1.03,46.29,2,0.149999999999999,41,325.23,0.2254494471,59.53125,1.05,0,2.4999999999994,"5",2.09333333333333
"1",120,"SO",18,0.55,"P",1.08,319,46,1,30.3666666666667,18,0,24,188.85,0.019313099,64.25,1.02,1,0,"3",1.97888888888889
"0",0,"SH",19,0,"P",1.06,448.5,20.09,1.1,46.86,20,1,40,261.21,0.0779881959,57.1015625,1.07,0,3.13999999999928,"5",2.65
"1",0,"FT",23,1.27,"R",1.05,1092,35.67,1.19,27.22,10.83,2.09,18.13,492.295,0.0655089489,75.640625,1.05,0,36.9899999999995,"5",2.33
"0",0,"SO",18,1,"P",1.14,187.642857142857,13.1558333333333,1.08,51.36,7,0.0799999999999988,36,149.753333333333,0.0689726912,61.8828125,1,0,15.84,"5",1
"0",0,"SO",20,1,"P",2,150,5,2,1,11,10,25,60,0.0075319191,45.5,1,2,0,"2",2
"1",1,"SO",26,1.72,"R",1.08,1176.5,27.37,1.42,19.6,4.09,3.52,4.53,682.28,0,23.4140625,1.02,0,84.3199999999997,"5",2.3
"0",0,"SD",19,1,"P",1.06,338,38,1,51.306,18,1,20,213.09,0.0804648576,77.75,1,1,7,"3",0.87
"0",1,"SO",19,1,"P",1.07,434.9,48,1,44.65,16,0,18,264.77,0.0426016947,59.6328125,1.04,1,0,"3",2.3525
"0",0,"SO",18,1,"P",1.07,254,27,1,25.2533333333333,12,0.0899999999999986,18,156.65,0.0645524706,48.7421875,1.04,1,0,"3",2.3125
"0",0,"SO",20,1,"P",1.05,242,14,1,43.29,9.83,1.58111111111111,17,163.793333333333,0,54.5546875,1,1,0,"3",1
"0",1,"SB",19,1,"P",1.27333333333333,350,15,1,65.355,6,2,16,218,0,88.15625,1,1,0,"3",0
"0",0,"SO",18,1,"P",1,151.5,5,1,40,5,0,17,159.915,0.1921411036,63.609375,1.08,1,0,"3",2.31818181818182
"1",1,"SO",19,1,"P",1,513.85,9.57,1.11,10.3,5,2,13.43,74.735,0,36.0859375,1.02,0,8.94999999999931,"5",3.38
"0",0,"SF",18,1,"P",1.09,266,8,1,54.36,13,0,11,159.76,0.2731519397,61.5546875,1.04,1,0,"3",2.7
"0",0,"SC",18,1,"P",2,500,3,1,0,4,0,12,526,0.1891268934,39.2109375,2,1,0,"3",1
"0",0,"SH",23,1,"P",1.20333333333333,1050,29,1,50.9066666666667,16,5,10,278,0.0339006104,70.5,1,1,586,"3",0.78
"0",0,"SM",22,1,"P",1,975,2,2,56,8,5,58,543.86,0.0961674843,92.65625,1,1,0,"3",1
"0",0,"SD",18,1,"P",1.06,234,32,1,50.05,5,0.209999999999999,7,306.65,0.1250498667,55.3046875,1.04,1,0,"3",2.43
"1",2,"SO",23,1.54,"R",1.09,542,29.6033333333333,1.12,21.25,7.04,1.31,7.8,415.5,0,45.3019921875,1.01,0,13.3799999999994,"4",2.32
"1",0,"SE",18,1,"P",1.09,531.25,26.715,1.06,33.35,13.205,0.0599999999999987,18.8,285.562,0.0321835739,80.515625,1,0,29.4099999999999,"5",0
"0",0,"SO",18,1,"P",1.33,803.166666666667,27,1,64.62,10,0,8,1278.82,0,98.578125,1.16,1,0,"3",1.2225
"0",1,"SL",20,1,"P",1.13,532,8,2,36.3,2,2,9,331.05,0,60.290859375,1,2,0,"3",3
"0",1,"SL",19,1,"P",1.11,291,14,1,125,0,1,8,213.6,0.1220102066,51.9765625,1.06,1,0,"3",3
"0",1,"SO",19,1,"P",1,246.125,5,1,0,6.09,0.83,6,159.265,0.0723176382,56.0234375,1,1,0,"3",2
"0",0,"SH",19,1,"P",1.07,280.5,18,1.05,66.495,3,1,6,219.08,0.3036505701,30.44140625,1.03,0,18.4728571428565,"5",2.35
"0",0,"SF",19,1,"P",2.7,771.5,7.62,1.58,195.97,11.58,1.32,5,358.22,0.6487265546,30.40234375,4,0,239.2225,"5",1
"0",1,"SO",19,2,"P",1.77,1900,8,2,195.01,1,2,3,496,0.2245131037,39.7265625,2,2,2860,"3",1
"0",0,"SA",22,1,"P",1.06,551,20,2,63.39,9.5425,3,3,351.15,0.1015350861,38.65625,1.05,1,0,"2",2.42
"0",400,"SO",22,4,"P",1.2,1355,21,2,34.05,10.205,4.58,1,562.24,0.0373837985,56.52576171875,1,1,1326,"3",2.2
"1",0,"SO",18,1,"P",1.11,269.375,10,1,29.65,19,0,50,92.2371428571429,0.1930622519,56.0234375,1.02,1,0,"3",4
"1",0,"SE",18,1,"P",1.33,1160.5,66,1,88.8,20,0,69,593.412,0,90.28125,1.2,1,0,"3",1.46333333333333
"0",0,"SA",18,1,"P",1.26,200,11,1,79.87,7.93,0,1,91,0.112072265,41.65625,2,1,0,"3",0
"0",0,"SC",21,1,"P",1,350,4,2,86,4,3,15.11,373,0.2116837008,20.27734375,1,1,126,"3",2
"0",1640,"SH",26,1,"R",1,2475,5,1.94,0,11.17,3.76,20.835,848.45,0,63.690170898438,1,0,646.64,"5",2
"0",0,"SF",18,1,"P",1.09,269.125,20.3978571428571,1.03,42.29,7,0.124999999999999,12.796,207.83,0.1266661636,55.8046875,1.04,0,-7.386802280962e-13,"5",2.29
"0",0,"SA",19,1,"P",1,543.625,5,1,1,12.48,2,19.3895833333333,170.71,0.1086325499,69,1,1,0,"3",2
"0",0,"SL",19,1,"P",1,1100,5,1,52.8366666666667,11.5308333333333,1.56,21.09,397.06,0.12504825,74.3125,1,1,873,"3",1.47333333333333
"0",0,"SO",22,1,"R",1.595,1700,21,1.87,288.9575,10.14,5.65,11.43,1924,0.0837695342,22.765625,1.33,0,92.4999999999999,"5",2.17
"0",0,"SB",19,1,"P",1.03,271,9,1.22,110,10.14,1,31.31,136.83,0.2342651426,77.015625,1.05,0,0.729999999999419,"5",2.82333333333333
"0",1,"SL",19,1,"P",1.05,337,20.55,1.02,51.585,6.17,0.64,11.21,199.23,0.1241443732,49.7265625,1.08,0,6.80999999999931,"5",2.44
"0",0,"SD",26,1,"R",1.4,683,20.13,1.6,66.0266666666667,2.93,1.12,8.11,724.45,0.0215503052,31.80078125,1,0,74.79,"5",0
"1",0,"SB",20,3,"P",1.49,1064.25,22,2,132.945,19,2,105,426.716666666667,0.0485335605,82.859375,1,2,524,"3",0.63
"1",0,"SO",22,0,"P",1.23,2800,11,1,37,23,4,77,436,0.1231346135,75.296875,1.13,1,0,"3",2.87
"1",0,"SO",20,1,"P",1.22,650,32,1.16,23.66,16,0,75,332.8,0.1205160753,81.53125,1.06,0,14.6799999999993,"5",1.74
"1",11,"SO",20,1,"P",1.41,1750,17,3,19.2,5,2,51,94,0,79.125,1,2,0,"3",0.83
"1",20,"SD",19,0,"P",1.21,542.666666666667,16,1,0,4,1.25,50,232.58,0,89.21875,1.03,1,0,"3",1.805
"1",0,"SC",18,1,"P",1.285,817.5,41.5466666666667,1.07,61.07,22,0,43,701.97,0,95.71875,1.11,0,10.0899999999994,"5",1.52
"1",0,"SM",19,1,"R",1,837.433333333333,2,1,1,11,0,35,178.515,0.0202913659,89.890625,1,1,0,"3",1
"1",0,"SA",19,1,"P",1,434.666666666667,1,1.22,29,25,2,26,179.168,0,59.3125,1,0,19.5499999999999,"5",0
"1",0,"SD",18,0,"P",1,447.5,5,2,25,7,0,27,286.183333333333,0,42.359375,1,2,0,"3",1.0275
"1",0,"SM",18,1,"P",1.06,337.5,15.8416666666667,1.05,30.28,6,0,24,115.72,0,75.234375,1,0,1.79999999999932,"5",0.410277777777778
"1",280,"SD",18,0.57,"P",1.04,296.875,23.96,1.07,35.04,18,0,32,180.995,0.0134410503,38.609375,1.02,0,1.43999999999929,"5",2.52
"1",0,"SM",18,1,"P",1,250,1,1.05,28.83,22,0,38,31,0.0424760734,50.15625,1.03,0,3.89999999999926,"5",2.45333333333333
"1",0,"SO",19,0.845,"P",1,2150,2,1,0,6,2,23,0,0.1023293415,77.734375,1.11,1,0,"3",4
"1",1,"SO",19,1,"P",1.07,650,9,2,6.08,16,0,21,121.575,0.2147022104,73.203125,1,1,0,"3",4
"1",0,"SF",18,1,"P",1.05,519.625,39.18,1.11,35.65,21,0,19,331.112,0,89.0625,1.08,0,4.38999999999936,"5",2.09
"1",0,"SF",18,0,"P",1.07,274.625,17.535,1.05,31.5,18,0,19,131.583333333333,0.1827218411,57.4453125,1.02,0,-7.01447788742371e-13,"5",2.36
"1",1,"SO",19,0.81,"P",1.02,215.5,13.6933333333333,1.05,20.365,21,1,19,89.09,0,61.0703125,1.01,0,3.51999999999927,"5",2.33
"1",1,"SC",18,1,"P",1.06,193,20,1,27.2366666666667,1,0.139999999999999,18,196.965,0,34.6484375,1.02,1,0,"3",2.01
"1",1,"SH",19,1,"P",1.08,574.5,8,1,0,18,0,18,142.29,0.0575473636,82.046875,1.05,0,-7.56585905037355e-13,"5",2.81
"1",0,"SE",18,1,"P",1.01,483.25,28.12,1.05,18.01,19,2,16,378.53,0.2626451291,61.578125,1.05,0,11.8999999999993,"5",2.53
"1",0,"SO",18,0.27,"P",1.03,183.125,10.64,1.04,35.07,4,0,16,77.11,0.110560783,48.53125,1.04,0,-7.59996510169003e-13,"5",3.23
"1",0,"SE",18,0,"P",1.06,370.625,36.4483333333333,1.03,41.87,6,0,16,377.1,0.0090363531,89.21875,1.05,0,5.53999999999938,"5",2.04
"1",0,"SB",18,1,"P",1.1,253.3,20,1.02,35.22,8,0.109999999999999,15,149.91,0,93.40625,1.03,0,0.0399999999992386,"5",2.07
"1",0,"SA",18,1,"P",1,199.833333333333,4,1.1,20,21,0,14,74.41,0.0803329805,17.11328125,1.02,0,4.00999999999933,"5",2.63
"1",0,"SA",19,1,"P",1.03,249.5,25,1,33.9,15,0,15,171.015333333333,0.0545525027,52.671875,1.1,1,0,"3",2.33
"1",0,"SE",18,1,"P",1.15,264.642857142857,17,1,23.145,2,0,14,189.58,0.0536779736,38.765625,1,1,0,"3",0
"1",0,"SO",18,1,"P",1.04,193.684523809524,16.58,1,25.1366666666667,19,0.129999999999999,12,96.47,0.1117329458,54.8828125,1,0,3.62999999999922,"5",0.4
"1",0,"SC",19,1,"P",1,1000,5,2,10.8666666666667,10,1,12,0,0.1389122466,73.234375,1,2,0,"3",3
"1",1,"SE",18,1,"P",1.11,327.059523809524,22.8,1.06,32.31,17,0,12,216.11,0.2835736396,56.140625,1,0,25.7399999999999,"5",1
"1",1,"SO",18,1,"P",1.05,218.684523809524,16.9215151515152,1.02,24.1566666666667,18,0,11,94.72,0.0830672286,69.40625,1,0,0.329999999999215,"5",0.310277777777778
"1",1,"SC",19,1,"P",1,671.566666666667,5,2,8.37,17,0,12,69.62,0.1143554822,71.765625,1,2,0,"3",2
"1",0,"SH",18,1,"P",1,938.5,2,2,10.16,6,0,11,225.712,0.2016501585,53.03125,1,2,0,"3",0.96
"1",0,"SO",18,0,"P",1.09,250.625,14.2555151515152,1.1,29.8633333333333,1,0,11,55.19,0,82.484375,1.01,0,4.82999999999939,"5",1.86
"1",0,"SD",18,0,"P",1,155,4,1,27.23,14,0,10,91.325,0.0512708913,54.5859375,1.02,1,0,"3",2.1
"1",0,"SO",18,1,"P",1.01,169,13.945,1.04,33.42,1,0.199999999999999,9,108.55,0.1029437357,37.078125,1.03,0,3.4399999999993,"5",2.58
"1",0,"SO",20,1,"P",1.01,267,18,1.08,25,6,2,8,108.425,0,61.6015625,1.03,0,1.13999999999928,"5",2.49
"1",0,"SC",18,1,"P",2,350,1,1.21,0,4,0,8,154,0.0541587716,52.609375,1.2,0,29.1199999999996,"5",1.87
"1",0,"SB",18,0.49,"P",1.05,400.833333333333,34.43,1.03,34.31,11.9633333333333,0.259999999999999,9,373.402,0.0221465996,88.1875,1.05,0,11.8199999999994,"5",2.21
"1",0,"SC",18,1,"P",1.03,241,29.7,1.04,23.58,8,0.0799999999999986,9,177.756666666667,0.0411807286,64.265625,1.05,0,0.329999999999225,"5",2.36
"1",0,"SB",18,1,"P",1.07,428.5,24.21,1.03,23.79,11,0,8,381.54,0.5838799421,69.71875,1.12,0,0.329999999999318,"5",2.305
"1",1,"SM",18,1,"P",1.1,295.416666666667,7,1.1025,25,13,0.41,15,155.63,0.3859994635,35.0078125,1,0,19.9199999999998,"5",0
"1",0,"SH",18,1,"P",1.17,524.5,27,1,16.55,2,0.189999999999999,8,261.4,0,23.5390625,1.04,1,0,"3",1.95
"1",0,"SC",18,1,"P",1.1,366.25,28.67,1.01,46.88,22,0,7,255.93,0.1685524113,58.6484375,1.02,0,5.79999999999924,"5",2.52
"1",1,"SC",19,1,"P",1.02,481.333333333333,7,2,25,13,1,8,49.95,0.0233079409,68.375,1.04,1,0,"3",2.74
"1",0,"SA",18,1,"P",2,100,2,1.36,0,11.69,0.48,6,32,0,81.671875,2,0,51.8699999999999,"5",0
"1",0,"SC",18,1,"P",1.09,475,8,1.16,0,26,0,2,86.205,0,70.515625,1.01,0,8.51999999999925,"5",3
"1",0,"SE",18,1,"P",1.13,274.059523809524,14,1,29.0666666666667,11,0,1,150.63,0.0435190996,71.859375,1,1,0,"3",0.438846153846154
"1",0,"SC",18,0,"P",1.06,317.5,54,1,20.32,9.965,0.189999999999999,3,347.245,0,63.265625,1.04,1,0,"3",1.78
"1",0,"SA",18,1,"P",1.1,212.142857142857,27,1,30.785,9.017,0,2,260.3275,0.2714250255,72.515625,1,1,0,"3",1
"1",0,"SC",21,1,"P",1.16,1500,7,3,0,1,4,1,63,0.273632816,52.546875,1,2,0,"3",2
"1",1,"SA",18,0,"P",1,429.4375,2,1,9.245,1,0,3,101.516666666667,0.0560804623,57.9296875,1.06,1,0,"3",3
"1",0,"SB",18,1,"P",1,193,3,1.04,35,11,0.448,21.0433333333333,73.6015238095238,0.194506133,66.921875,1.02,0,3.73999999999925,"5",2.19
"1",0,"SA",19,0,"P",1.02,183,16.8753333333333,1.02,34.51,9.71,0.52,17.26,113.140333333333,0.1347061866,72.71875,1.05,0,0.129999999999247,"5",2.38
"1",0,"SA",23,4,"R",1.34,950,11,2,14.59,11.82,0,18.79,342.94,0.2394883991,61.34375,1,1,743,"3",1
"1",0,"SO",18,0,"P",1.33,1004.5,18,3,26.36,14.97,0,26.135,241.31,0.3408211702,66.015625,1,3,0,"3",0
"1",0,"SA",18,1,"P",1.09,267.5,21,1,48.8425,7.88,1,12.76,233.5,0.7900974732,39.890625,1.09,1,0,"3",2.18884615384615
"1",1,"SO",19,2,"P",1.37,500,11,1,20.37,13.03,1.34,23.21,402,0.213751785,79.421875,2,1,714,"3",1
"1",500,"SA",18,0.66875,"P",1.05,241,14,1,19.82,12.37,0.316666666666666,8,90.49,0.0168411031,42.265625,1.03,1,0,"3",2.26
"1",1,"SM",18,1,"P",1.08,281.375,34,1,30.28,22,0.663333333333333,14,199.99,0.0510114501,28.05078125,1.06,1,0,"3",2.63
"1",0,"SH",19,1,"P",1.022,551,24,1,10.2,15,0,13,162.23,0,40.8515625,1.04,1,0,"3",2.23
"1",1,"SO",19,1,"P",1.18,487.75,13,2,9.93,20,1.13,3,179.591666666667,0.281719829,48.3125,1,2,0,"3",0.72
"1",0,"SN",19,1,"P",1.02,291.375,15,1,35,10.41,1.099,11,157.243333333333,0,58.1607589285714,1.06,1,0,"3",2.61
"1",0,"SC",18,0,"P",1.14,493.541666666667,33.255,1.12,57.1666666666667,20,0,28.94,249.451666666667,0,88.984375,1,0,1.00999999999991,"5",0
"1",0,"SM",18,0,"P",1,461,1,1,16.16,7,0,2,128.41,0,64.4024162946428,1,1,0,"3",1
"1",400,"SB",48,1,"R",1,1118.5,3,1,51,4.07,3.22,6.51,1084.89,0.269483461,55.0859375,2,1,0,"3",0
"1",0,"SC",19,1,"P",1.13,631.5,21,1,33.82,22,2,43,187.01,0,51.875,1.11,1,0,"3",1.77
"1",0,"SM",28,3,"P",1.13,350,51,1.16,25.804,10,3.835,22.64,32,0.0263910576,60.1484375,1.06,0,45.1199999999996,"5",2.73
"1",0,"SO",19,1,"P",1.08,438.5,16,1.16,120,10.96,1,17.59,257.773666666667,0,52.2332177734375,1.15,0,6.17999999999939,"5",4
"1",0,"SO",18,1,"P",1.04,218.559523809524,12.92,1.02,23.95,11,0.229999999999999,6,63.1,0.3737613773,43.375,1,0,5.79599999999986,"5",1
"1",1,"SC",19,1,"P",1.04,232,15.07,1.08,19.16,11.58,0.64,7.56,65.3828571428571,0.2958246553,49.6953125,1.02,0,8.52999999999925,"5",2.31
"1",640,"SA",19,1,"R",1.14,709.25,23.53,1.34,20.05,3.08,1.32,8.56,430.17,0.2232217868,12.765625,1.06,0,95.9399999999996,"5",2.01
"1",1000,"SO",23,3.23,"P",1.19,926.5,35.54,1.46,53.14,10.55,4.06,14.44,470.6,0.0172375245,26.921875,1.03,0,262.31,"5",2.15
"0",1,"SF",19,0,"P",1.24,250,8,2,120,5,1,58,217,0.0984189238,59.25,1,2,0,"2",3
"1",0,"SA",18,1,"P",1.06,263.5,33.8,1.07,22.51,14,0.129999999999999,6,211.85,0.0788580666,85.8125,1.04,0,0.329999999999256,"5",2.34
"1",0,"SF",18,1,"P",1,50,4,1,16.3,21,0,6,69.7416666666667,0,78.90625,1.06,1,0,"3",1.97416666666667
"0",1,"SC",18,1,"P",1.3,539.5,23.79,1.18,71.6425,7,0,53,258.493333333333,0.2056900477,54.6953125,1,0,28.63,"5",0
"1",1,"SO",18,1,"P",1.06,248.5,43,1,30.68,13,0.0699999999999985,18,235.81,0.0157877767,77.453125,1.01,1,0,"3",1.80384615384615
"0",0,"SK",19,1,"P",1.25,400,28,2,50.1625,16,0.99,46,321.01,0,65.609375,1,2,50,"3",0.84
"0",1,"SB",18,1,"P",1.18,296.5,22,1,66.69,18,0.119999999999999,34,204.87,0.0185468592,85.9375,1.035,1,0,"3",1.84
"1",0,"SH",18,0,"P",1.03,570.5,13.33,1.13,8.3,24,1,2,174.14,0.0623932694,71.484375,1.08,0,0.34999999999928,"5",2.220625
"1",0,"SM",18,1,"P",1.02,332.875,10.91,1.03,31.51,9,1,7,99.2633333333333,0.022619284,77.25,1.02,0,0.329999999999246,"5",2.97
"0",2,"SD",18,1,"P",1.04,484,9,1,0,8,1,29,195.393333333333,0.002109153,73.359375,1.05,1,0,"3",3
"0",0,"SO",19,1,"P",1.03,514.4,43,1,26.35,18,3,28,352.3,0.5074800178,57.7421875,1.1,1,0,"3",2.24
"1",0,"SA",19,0,"P",1.04,261.5,10.99,1.105,25.5766666666667,7,1,19,62.4075,0.0426142483,69.390625,1,0,3.55999999999986,"5",1
"1",0,"SA",19,1,"P",1.07,1650,9,1,1,8,2,21,234.4,0.2007160289,62.2890625,1.05478260869565,1,0,"3",3
"1",0,"SH",18,1,"P",1.13,298,16.7316666666667,1.13,26.08,15,0,42,118.85,0,88.71875,1,0,43.6499999999999,"5",2
"1",0,"SB",18,1,"P",1,282,5,1.16,70,1,0,22,236.28,0.2934955265,34.6875,1,0,44.3775,"5",1
"1",0,"SL",18,1,"P",1.07,240.6,6,1,23.37,22,0,35,103.815,0,62.4609375,1.02,1,0,"3",2
"1",0,"SO",18,1,"P",1.05,183.125,14.0216666666667,1.06,25.99,15,0,27,32.83,0,83.59375,1.02,0,-6.97468749422114e-13,"5",2.35
"0",1,"SA",21,0,"P",1.1,717.5,46,1,37.495,19,4,26,441.39,0,70.296875,1.12,1,0,"3",2.51
"0",0,"SO",18,1,"P",1.03,179.625,20.88,1.01,43.51,3,0.349999999999999,17,186.22,0.2992658857,24.421875,1.04,0,2.30285714285655,"5",2.55
"0",1,"SK",20,1,"P",1.09,250,14,1,78.215,1,2,15,32,0.0729047232,30.90625,1.05,1,0,"3",2.58
"1",0,"SO",19,1,"P",1.03,224,7,1,24,14,1,29,32.1,0,69.40625,1.03,1,0,"3",2.975
"0",1,"SO",18,1,"P",1.03,163,12.7366666666667,1.02,38.0633333333333,6,1,8,141.58,0.0878038763,52.4140625,1.05,0,6.16999999999929,"5",2.38
"0",1,"SO",18,1,"P",1.05,181,14.6,1.06,38.14,5.33,0.169999999999999,8,136.04,0,54.516796875,1.05,0,9.88999999999927,"5",2.42
"0",0,"SO",18,1,"P",1.18,172.75,23,1,55.37,11,0,6,177.48,0.4891466908,46.3828125,1.01,1,0,"3",1.89
"0",0,"SB",18,1,"P",1.08,523.375,7,1,1,6,1,6,207.82,0.305644759,83.921875,1.11,1,0,"3",3
"0",1000,"SO",18,1,"R",1.34,498,49,1,83.76,5.85133333333333,0.57,4,384.33,0.0727892756,42.359375,1,1,0,"3",1
"0",0,"SC",18,0,"P",1.04,243.666666666667,13,1,30.956,3,0.466666666666667,2,181.984166666667,0.0249036984,68.625,1.03,1,0,"3",3
"0",0,"SL",18,1,"P",1.12,272,15,1,45.58,8.36,0,2,240.7,0,38.71875,1.07,1,0,"3",2
"0",0,"SD",19,1,"P",1.31,634,9,5,75,12.55,1.38,31.31,224.98,0.0722374569,59.2890625,1,3,0,"3",1.645
"0",1,"SO",22,1.07,"R",1.02,357.5,36,1,42.73,6.21,1.15,8.28,373.4,0.0880126222,55.109375,1.02,1,0,"3",2.46
"0",0,"SB",18,1,"P",1.19,303.97619047619,22,1,47.371,9.57,0,20.1685714285714,166.79,0,66.2212109375,1,1,0,"3",0
"0",0,"SO",18,1,"P",1.04,246,22.06,1.05,54.39,8.18,0.189999999999999,3,151.2675,0.1057190637,24.4765625,1.06,0,5.70285714285649,"5",2.49
"0",0,"SA",21,0,"P",1.31,544.5,19.73,1.41,68.64,4,3,3,398.046666666667,0.1264326009,57.0859375,1,0,80.77,"5",0
"0",0,"SE",23,1,"R",1.33,985.5,8,1,424,5.13,2,7.2,621.95,0.0701893824,48.390625,1,0,128.22,"5",2
"0",0,"SO",19,1,"R",1.03,100,7,1,36.38,10.89,0.763333333333333,17.0933333333333,94,0,62.891748046875,1,1,0,"3",0
"1",0,"SF",18,0,"P",1.04,186.666666666667,7,1,22.0966666666667,6,0,17.115,109.913333333333,0.013240695,78.828125,1,1,0,"3",0
"0",0,"SO",19,1,"P",1,200,6,1,229,5.93,0.74,10.515,198.13,0,52.0878459821429,2,1,15,"3",1
"0",1,"SO",18,1,"P",1,189,5,1.09,31,11.777,0,13.48,144.87,0.0660695804,33.6875,1,0,24.866,"5",2
"0",0,"SB",18,1,"P",2,500,1,1.33,56,7.70666666666667,0,15.57,244.89,0.3491993295,40.0546875,1,0,42.42,"5",0
"0",0,"SO",22,2,"P",1.02,404.5,21.77,1.23,32.49,8.49,1.94,8.75,243.71,0.0355323914,32.671875,1.03,0,32.6499999999995,"5",2.46
"0",0,"SB",18,1,"P",1.22,429.5,21.44,1.09,42.44,2,0,7,366.47,1.0107472353,33.484375,1.08,0,1.11999999999952,"5",2.1
"0",280,"SO",20,1,"P",1.01,357,23.86,1.04,36.45,10.02,1.31,13.9,260.803333333333,0,57.21484375,1.05,0,4.33999999999928,"4",2.52
"0",0,"SB",19,1,"P",1.04,220.5,12,1.1,64,7.98333333333333,0.97,10,158.13,0.089545557,49.765625,1.05,0,10.2799999999993,"5",2.89
"0",0,"SA",19,1,"P",1.01,183.5,13.708,1.05,45.7933333333333,6.04,1,11.811,141.29,0.0531667527,51.328125,1.02,0,6.1899999999993,"5",2.42
"0",0,"SL",18,1,"P",1.04,270.125,19.44,1,43.43,8.455,0.159999999999999,12.32,188.26,0.2120194752,59.8125,1.02,0,0.709999999999254,"5",2.32
"0",0,"SC",20,1,"P",1.08,501.75,23,1,45,10,2,14,315.66,0.0807975761,78.0625,1.01,1,0,"3",2.04
"0",0,"SO",18,1,"P",1.08,165,16,1,35.27,5.7975,0.0299999999999988,8,166.47,0,54.4358854166667,1.01,1,0,"3",1.91
"0",0,"SO",18,1,"P",1.07,235.833333333333,14.8575,1.09,43.46,8.77,0.0299999999999984,14,163.72,0,80.0625,1,0,9.87999999999994,"5",0.238888888888889
"0",0,"SO",18,1,"P",1.08,233.184523809524,15.5833333333333,1.03,47.28,12,0.179999999999999,16,125.78,0.4141439525,59.65625,1,0,3.13999999999992,"5",1
"0",0,"SN",18,1,"P",1.08,475.833333333333,28,1,36.74,17,0,16,275.32,0.2555518849,33.2578125,1.03,1,0,"3",4
"0",0,"SD",19,1,"P",1.04,746,12,1,0,9,3,19,262.87,0,67.03125,1.06,1,0,"3",2.88
"0",0,"SO",18,1,"P",1.1,516.916666666667,7,1,0,8,0,24,220.596666666667,0.5122743323,92.0625,1.1175,1,0,"3",3
"0",1,"SA",18,1,"P",1.1,150,9,1.26,45.31,23,2,6,0,0,77.59375,1.06,0,9.86999999999941,"5",2.87
"0",0,"SO",18,1,"P",1.07,149,8,1,32.48,2,0,4,154.87,0.2144074077,53.234375,1,1,1,"3",2
"0",0,"SF",19,1,"P",1.19,350.25,16.6266666666667,1.07,70.37,0,0,6,281.37,0.0130921311,43.8828125,1,0,75.2333333333333,"5",0
"1",0,"SK",18,1,"P",1.11,372,20,1,20.314,10,2,54,146.27,0.0749438575,24.4609375,1.07478260869565,1,0,"3",2.22
"1",0,"SO",19,1,"P",1.16,350,6,1,21.09,17,2,71,107.475,0.0637877104,64.328125,1,1,272,"3",3
"1",0,"SH",19,2,"P",1,1050,4,2,12.57,8,0,59,0,0,83.171875,1,2,0,"3",1.78
"1",0,"SO",18,1,"P",2,150,4,1.31,0,16,0,47,0,0.0652953985,94.390625,1,0,23.05,"5",2
"1",1,"SF",18,1,"P",1.12,492.059523809524,26.1666666666667,1.126,35.53,19,0,47,265.71,0.2034655754,58.6171875,1,0,15.4299999999999,"5",0
"1",1,"SA",19,1,"P",1.13,562.15,17,1,0,6,0,43,216.574,0.0653217349,46.78125,2,1,0,"3",1
"1",0,"SO",18,1,"P",1.09,287.625,28.745,1.02,29.695,9,0,42,184.095,0.0037721842,58.140625,1.07478260869565,0,-6.85815848555649e-13,"5",2.49
"1",0,"SA",20,1,"P",1.04,617.5,21,1,10.72,12,2,41,174.96,0,49.671875,1.07,1,0,"3",2.19
"1",0,"SO",18,1,"P",1.16,314.125,26.68,1.03,38.6,3,0.0399999999999983,38,285.36,0.1072927087,77.0625,1.02,0,-6.59667875879677e-13,"5",2
"1",0,"SM",18,1,"P",1.11,230,14.59,1.02,34.83,7,0.209999999999999,37,107.26,0.0416408491,87.046875,1.01,0,-6.70468125463231e-13,"5",1.95
"1",0,"SL",18,0,"P",1.1,235.5,22,1,31.62,9,0.149999999999999,32,167.43,0.1629568068,66.5625,1.01,1,0,"3",1.93384615384615
"1",0,"SA",18,1,"P",1.02,196.5,13.13,1.06,32.545,8,1,34,64.4466666666667,0.0223459934,54.546875,1.05,0,-7.60849161451915e-13,"5",2.3
"1",0,"SO",19,1,"P",1.14,547.625,13,1,9.33,17,1,28,152.56,0.3317653202,65.96875,2,1,0,"3",1
"1",0,"SE",18,1,"P",1.11,417.125,33.04,1,33.38,18,0,30,365.912,0.4608689994,57.109375,1.04,0,3.56999999999927,"5",2.55333333333333
"1",1100,"SB",20,1,"P",2,2050,4,1,1,21,0,27,993,0.2343553999,73.84375,3,1,872,"3",1
"1",0,"SN",19,1,"P",1.06,350,7,1,44,13.19,0,26,0,0.1480661933,63.9609375,1.07,1,0,"3",4
"1",0,"SD",19,0,"P",1.07,772.5,14.4777777777778,1.34,10.75,12,2,25,204.04,0.1286071772,76.09375,1.02,0,17.6099999999999,"5",2.44
"1",1,"SL",18,1,"P",1.03,309.625,31.68,1.01,26.835,16,0,24,209.12,0,79.703125,1.07,0,-6.81268375046784e-13,"5",2.31
"1",0,"SH",18,1,"P",1.2,651.366666666667,8,2,10.94,18,0,22,150.17,0.0607413137,75.90625,1,2,0,"3",1.3425
