"","Year","Month","Day","wday","GOOD","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","app_id","id"
"945","2005","08","19","Friday","0",0,"SO",21,0,"P",2,100,0,27,2,78,0,0,20,4,88.421875,1,1,"3",0,1,1475,"dm"
"946","2005","08","19","Friday","0",1,"SO",18,0,"P",3,100,31,4,1,32,0.411723035,99,12,0,49.34375,2,2,"3",0,1,1501,"dm"
"947","2005","08","19","Friday","0",0,"SO",19,0,"P",1,200,1116,16,2,50,0.149198668,70,22,0,59.6328125,1,2,"3",0,1,1461,"dm"
"948","2005","08","19","Friday","0",0,"SL",19,0,"P",1,950,497,9,1,50,0.130507911,36,20,0,46.21875,1,2,"3",525,1,1567,"dm"
"951","2005","08","19","Friday","0",0,"SA",20,0,"P",2,1150,526,26,2,19,0.238445725,419,19,2,53.4140625,1,3,"2",674,2,1507,"dm"
"952","2005","08","19","Friday","0",1040,"SO",27,0,"P",1,650,218,5,4,63,0.59722919,270,15,9,74,3,1,"3",4,1,1490,"dm"
"953","2005","08","19","Friday","0",0,"SO",21,0,"P",2,500,248,27,2,59,0.030250956,74,10,0,54.2265625,2,0,"3",0,1,1558,"dm"
"954","2005","08","19","Friday","0",0,"SA",20,0,"P",2,2200,1675,39,1,17,0,0,26,3,62.9921875,1,2,"3",0,1,1437,"dm"
"955","2005","08","19","Friday","0",0,"SA",27,0,"R",1,1850,1551,16,1,2,0.312372419,4,1,0,41.7109375,2,0,"3",0,1,1542,"dm"
"956","2005","08","19","Friday","0",600,"SO",20,0,"P",7,500,217,55,1,18,0,0,25,0,57.546875,1,0,"3",0,1,1526,"dm"
"957","2005","08","19","Friday","0",0,"SA",20,0,"P",2,150,529,15,1,1,0.265773016,41,3,0,22.828125,2,0,"5",0,0,1452,"dm"
"959","2005","08","19","Friday","0",0,"SO",18,0,"P",2,150,155,7,1,19,0.358028417,39,5,0,43.25,1,2,"3",0,1,1478,"dm"
"960","2005","08","19","Friday","0",0,"SO",19,0,"P",1,1650,0,3,2,14,0.220299226,49,10,0,65.03125,1,0,"5",0,0,1508,"dm"
"963","2005","08","19","Friday","0",0,"SA",18,0,"P",1,100,0,4,1,13,0.31231066,165,9,0,46.78125,1,1,"3",0,1,1400,"dm"
"968","2005","08","19","Friday","0",1,"SB",18,0,"P",1,1200,31,7,2,15,0.413460508,49,16,1,41.6796875,1,3,"3",0,1,1340,"dm"
"970","2005","08","19","Friday","0",0,"SA",20,0,"P",3,400,153,36,1,11,0.090835776,0,0,2,52.3828125,1,0,"3",0,1,1440,"dm"
"973","2005","08","19","Friday","0",0,"SO",19,0,"P",2,500,402,9,2,12,0.223489809,0,20,1,39.7578125,1,0,"3",0,1,1408,"dm"
"974","2005","08","19","Friday","0",0,"SE",23,1,"P",3,250,63,15,2,12,0,80,24,6,72.875,1,3,"2",295,2,1395,"dm"
"976","2005","08","19","Friday","0",0,"SC",23,0,"P",1,1300,31,19,3,11,0.282315386,0,10,0,35.875,1,1,"2",0,1,1326,"dm"
"980","2005","08","19","Friday","0",0,"SB",19,1,"P",2,700,0,12,1,10,0.141924463,60,0,6,29.47265625,1,2,"3",586,1,1409,"dm"
"982","2005","08","19","Friday","0",0,"SO",18,0,"P",1,200,61,3,1,1,0,40,3,0,48.65625,1,2,"5",183,0,1459,"dm"
"983","2005","08","19","Friday","0",0,"SF",20,1,"R",2,250,775,23,1,12,0.05764959,25,16,1,37.71875,1,0,"5",0,0,1360,"dm"
"984","2005","08","19","Friday","0",500,"SO",18,0,"P",3,150,1,35,2,10,0.038113667,0,13,1,28.05078125,1,1,"5",0,0,1462,"dm"
"985","2005","08","19","Friday","0",0,"SO",19,0,"P",1,200,157,3,1,7,0.232543372,29,19,2,74.3125,2,3,"3",0,1,1504,"dm"
"986","2005","08","19","Friday","0",0,"SN",22,1,"R",2,950,93,3,1,2,0.208887561,55,6,2,43.8125,2,0,"5",0,0,1338,"dm"
"988","2005","08","19","Friday","0",0,"SO",18,0,"P",3,1050,278,56,1,3,0.081168305,1,3,0,81.671875,1,0,"3",60,1,1559,"dm"
"990","2005","08","19","Friday","0",0,"SG",18,0,"P",1,50,31,28,1,25,0.052605216,30,13,0,59.4375,1,0,"5",0,0,1418,"dm"
"991","2005","08","19","Friday","0",0,"SA",19,0,"P",1,350,371,13,1,10,0,0,7,0,70.859375,1,3,"5",0,0,1467,"dm"
"992","2005","08","19","Friday","0",0,"SK",19,1,"P",1,2850,0,9,1,15,0,0,13,2,86.96875,1,2,"3",0,1,1394,"dm"
"993","2005","08","19","Friday","0",0,"SO",19,0,"P",1,100,154,8,1,3,0.285982712,81,2,0,74.09375,1,1,"3",0,1,1424,"dm"
"996","2005","08","19","Friday","0",0,"SO",19,0,"P",3,950,93,64,1,49,0.247919657,0,15,0,45.015625,1,0,"3",0,1,1477,"dm"
"997","2005","08","19","Friday","0",0,"SO",23,0,"R",1,600,527,25,1,3,0.322226185,161,7,2,41.5546875,1,4,"5",109,0,1307,"dm"
"998","2005","08","19","Friday","0",0,"SN",18,0,"P",1,50,558,3,1,41,0.157567059,26,15,1,74.390625,2,1,"5",0,0,1420,"dm"
"999","2005","08","19","Friday","0",0,"SB",23,0,"P",1,1000,775,1,1,2,0,119,0,0,80.8125,1,1,"5",0,0,1537,"dm"
"1000","2005","08","19","Friday","0",0,"SA",19,0,"P",1,100,0,4,1,10,0.115756581,50,23,2,65.96875,1,4,"3",0,1,1357,"dm"
"1002","2005","08","19","Friday","0",0,"SO",22,0,"P",2,500,62,28,1,2,0.041277404,0,8,6,40.7890625,1,1,"5",0,0,1591,"dm"
"1003","2005","08","19","Friday","0",1,"SD",19,0,"P",2,1000,868,15,3,14,0.011986852,0,4,1,74.171875,1,2,"3",0,2,1470,"dm"
"1004","2005","08","19","Friday","0",1,"SB",29,0,"R",2,750,0,32,2,1,0.401253451,211,14,4,49.421875,1,0,"3",0,1,1563,"dm"
"1007","2005","08","19","Friday","0",0,"SA",20,0,"P",1,1500,31,9,1,13,0.878304614,19,12,2,55.265625,1,4,"5",196,0,1392,"dm"
"1008","2005","08","19","Friday","0",0,"SC",18,0,"P",1,1200,868,21,1,33,0.379309345,419,2,0,60.6875,1,2,"3",0,1,1453,"dm"
"1010","2005","08","19","Friday","0",0,"SO",18,0,"P",3,800,94,21,1,37,0,0,19,0,73.140625,1,3,"3",0,1,1494,"dm"
"1011","2005","08","19","Friday","0",0,"SA",18,0,"P",1,900,310,3,1,6,0,0,7,0,41.7578125,1,3,"5",0,0,1356,"dm"
"1013","2005","08","19","Friday","0",0,"SD",19,0,"R",1,1150,775,3,1,3,0.370228797,105,0,0,39.609375,1,1,"5",0,0,1318,"dm"
"1014","2005","08","19","Friday","0",0,"SC",27,0,"R",1,2850,93,4,1,15,0,297,14,0,78.125,1,2,"5",0,0,1458,"dm"
"1015","2005","08","19","Friday","0",0,"SA",19,0,"R",1,50,342,9,1,9,0,0,13,0,86.578125,1,3,"3",0,1,1423,"dm"
"1017","2005","08","19","Friday","0",260,"SA",18,0,"P",1,250,93,3,1,8,0.007216069,0,3,1,63.78125,1,1,"3",0,1,1322,"dm"
"1021","2005","08","19","Friday","0",0,"SA",19,0,"P",2,100,62,32,1,8,0.293413861,62,6,0,44.4609375,1,4,"3",0,1,1321,"dm"
"1022","2005","08","19","Friday","0",1,"SA",20,0,"P",1,500,0,12,2,23,0.388376465,55,19,1,62.1796875,1,1,"3",319,2,1566,"dm"
"1024","2005","08","19","Friday","0",0,"SL",18,0,"P",3,1150,373,23,2,8,0.060421696,42,2,0,73.65625,1,2,"2",0,1,1574,"dm"
"1194","2005","08","20","Saturday","0",0,"SO",18,0,"P",2,150,0,22,2,2,0.22374803,0,6,0,45.375,1,4,"3",0,1,1748,"dm"
"1195","2005","08","20","Saturday","0",0,"SD",24,0,"R",3,600,620,31,1,4,0.113623381,1,0,0,73.796875,2,0,"5",391,0,1817,"dm"
"1197","2005","08","20","Saturday","0",0,"SH",21,1,"P",2,950,744,16,3,1,0.275194538,115,19,4,27.07421875,1,1,"3",792,3,1839,"dm"
"1199","2005","08","20","Saturday","0",0,"SA",19,0,"P",1,100,1116,2,1,5,0,0,7,0,43.6640625,1,2,"5",0,0,1695,"dm"
"1206","2005","08","20","Saturday","0",2,"SD",18,0,"P",1,450,155,3,1,4,0.183172375,75,1,0,62.2265625,1,1,"3",0,1,1668,"dm"
"1207","2005","08","20","Saturday","0",0,"SB",19,0,"P",1,500,33,5,1,20,0.273135646,0,7,3,54.0859375,1,0,"5",0,0,1776,"dm"
"1208","2005","08","20","Saturday","0",0,"SB",19,0,"P",1,150,123,6,2,43,0.073226538,60,6,2,69.875,1,4,"3",0,1,1796,"dm"
"1209","2005","08","20","Saturday","0",0,"SH",18,0,"P",1,400,434,2,1,9,0.368773515,0,11,0,59.59375,1,1,"5",241,0,1607,"dm"
"1210","2005","08","20","Saturday","0",0,"SO",19,0,"P",1,100,681,13,2,37,0.041468901,0,27,1,58.6953125,1,1,"2",0,1,1613,"dm"
"1211","2005","08","20","Saturday","0",0,"SA",21,1,"P",1,400,404,13,1,40,0.461777421,0,11,2,49.5859375,1,3,"3",0,1,1622,"dm"
"1215","2005","08","20","Saturday","0",1,"SA",18,0,"P",2,400,32,2,1,9,0.347464764,0,25,0,72.984375,1,0,"3",0,1,1829,"dm"
"1216","2005","08","20","Saturday","0",0,"SA",18,0,"P",1,400,29,3,1,26,0,0,15,1,76.203125,1,1,"5",0,0,1686,"dm"
"1218","2005","08","20","Saturday","0",0,"SO",18,0,"H",2,1650,31,2,1,4,0.179997629,0,13,0,43.125,2,4,"5",0,0,1736,"dm"
"1219","2005","08","20","Saturday","0",0,"SG",19,0,"P",2,250,64,15,1,21,0.1316734,0,20,0,32.8203125,2,1,"3",0,1,1730,"dm"
"1220","2005","08","20","Saturday","0",0,"SH",20,1,"P",1,100,0,6,1,18,0.056322987,155,15,2,53.2265625,1,2,"3",52,1,1802,"dm"
"1222","2005","08","20","Saturday","0",260,"SL",18,0,"P",3,500,0,30,1,17,0.07931191,154,7,1,45.65625,1,0,"5",0,0,1777,"dm"
"1223","2005","08","20","Saturday","0",0,"SA",19,0,"P",1,400,497,2,1,17,0.006239413,26,16,1,75.171875,1,1,"5",0,0,1676,"dm"
"1224","2005","08","20","Saturday","0",0,"SA",20,0,"P",2,150,1705,26,1,61,0,80,27,2,57.7734375,1,0,"2",7,1,1698,"dm"
"1225","2005","08","20","Saturday","0",0,"SO",21,0,"P",2,100,217,11,2,32,0,0,7,3,56.0703125,1,0,"3",0,1,1701,"dm"
"1226","2005","08","20","Saturday","0",0,"SL",19,0,"P",2,950,466,28,1,13,0.400265019,70,3,0,41.7890625,1,0,"5",0,0,1745,"dm"
"1227","2005","08","20","Saturday","0",0,"SO",20,0,"P",1,300,155,7,1,9,0.548549257,30,13,2,96.421875,1,3,"5",0,0,1831,"dm"
"1228","2005","08","20","Saturday","0",0,"SO",19,0,"P",1,200,1705,24,1,35,0.448844133,0,14,0,56.6796875,1,1,"3",46,1,1646,"dm"
"1229","2005","08","20","Saturday","0",0,"SD",19,0,"P",1,200,681,11,1,8,0,0,4,0,49.9140625,2,1,"3",0,1,1792,"dm"
"1230","2005","08","20","Saturday","0",0,"SA",20,0,"P",2,500,588,17,1,14,0.117505643,74,26,0,31.58984375,1,1,"3",0,1,1812,"dm"
"1231","2005","08","20","Saturday","0",1,"SL",18,0,"P",3,350,310,32,1,10,0.021790632,0,14,0,71.40625,1,1,"3",0,1,1821,"dm"
"1232","2005","08","20","Saturday","0",0,"SO",19,0,"P",1,100,0,6,1,20,0,69,15,0,74.0625,1,2,"5",586,0,1853,"dm"
"1233","2005","08","20","Saturday","0",100,"SO",19,0,"P",3,50,64,8,2,29,0,0,5,11,47.375,1,2,"3",89,2,1708,"dm"
"1236","2005","08","20","Saturday","0",0,"SO",18,0,"P",2,750,310,22,1,10,0,0,2,0,59.21875,2,0,"3",0,1,1705,"dm"
"1237","2005","08","20","Saturday","0",0,"SO",24,0,"P",1,3600,371,7,2,18,0.270407842,299,10,5,63.25,1,2,"3",0,1,1687,"dm"
"1238","2005","08","20","Saturday","0",0,"SC",20,0,"P",1,350,217,7,1,11,0,1,9,1,64.90625,1,2,"3",0,1,1799,"dm"
"1239","2005","08","20","Saturday","0",1360,"SO",22,0,"P",2,600,1207,14,1,2,0.037068488,0,9,0,25.8671875,1,3,"3",190,1,1766,"dm"
"1241","2005","08","20","Saturday","0",0,"SO",25,0,"P",2,350,434,26,2,4,0,0,24,27,42.78125,1,2,"3",58,1,1767,"dm"
"1242","2005","08","20","Saturday","0",0,"SL",20,0,"P",4,350,31,60,1,57,0,0,11,2,80.421875,1,0,"3",0,1,1795,"dm"
"1243","2005","08","20","Saturday","0",0,"SN",19,0,"P",3,700,61,1,1,6,0.20227678,74,5,0,31.69921875,2,0,"3",0,1,1797,"dm"
"1245","2005","08","20","Saturday","0",0,"SH",18,0,"P",1,100,248,5,2,16,0.394897554,105,19,0,63.6640625,1,2,"5",172,0,1832,"dm"
"1246","2005","08","20","Saturday","0",300,"SO",18,1,"P",2,200,32,4,3,32,0.032430022,55,6,0,39.15625,1,2,"3",0,2,1626,"dm"
"1247","2005","08","20","Saturday","0",0,"SB",20,1,"P",2,2600,1550,37,1,55,0.048801737,0,2,1,69.34375,1,1,"5",872,0,1709,"dm"
"1248","2005","08","20","Saturday","0",1,"SA",18,0,"P",3,900,0,23,1,47,0,45,20,0,66.625,2,1,"3",0,1,1714,"dm"
"1250","2005","08","20","Saturday","0",0,"SA",20,0,"R",2,100,280,12,2,5,0.689956756,51,16,0,37.4296875,1,0,"3",0,1,1699,"dm"
"1251","2005","08","20","Saturday","0",700,"SD",28,0,"R",1,2200,2108,5,2,7,0,80,3,2,39.96875,1,2,"3",0,1,1611,"dm"
"1256","2005","08","20","Saturday","0",1,"SB",18,0,"P",1,1550,1642,9,1,69,0.017356345,44,14,0,77.21875,1,2,"5",0,0,1726,"dm"
"1258","2005","08","20","Saturday","0",1,"SB",34,0,"R",1,350,340,2,1,7,0.219121723,36,12,0,19.51953125,1,1,"5",152,0,1629,"dm"
"1259","2005","08","20","Saturday","0",0,"SO",17,0,"P",2,500,497,11,2,16,0.178736037,35,15,0,66.5625,1,2,"5",0,0,1814,"dm"
"1260","2005","08","20","Saturday","0",500,"SA",22,0,"R",2,2100,1830,19,1,3,0.102798234,46,3,1,51.6953125,1,1,"3",47,1,1614,"dm"
"1262","2005","08","20","Saturday","0",0,"SB",26,0,"R",1,100,341,2,1,1,0.112179676,0,9,1,28.22265625,1,1,"3",0,1,1773,"dm"
"1263","2005","08","20","Saturday","0",0,"SA",31,0,"R",1,200,123,10,1,27,0.087777773,49,3,3,60.296875,1,0,"5",0,0,1723,"dm"
"1266","2005","08","20","Saturday","0",0,"SD",39,0,"R",1,750,434,10,1,6,0.212269761,41,0,26,42.9296875,1,1,"5",0,0,1834,"dm"
"1528","2005","08","23","Tuesday","0",0,"SF",20,2,"P",3,1450,372,38,1,13,0.193839148,0,20,3,40.9296875,1,0,"3",1648,1,1912,"dm"
"1529","2005","08","23","Tuesday","0",0,"SB",18,0,"P",1,1300,371,24,1,26,0.283024955,0,13,12,63.171875,1,0,"3",0,1,2277,"dm"
"1530","2005","08","23","Tuesday","0",0,"SO",18,0,"P",2,850,0,7,2,18,0.207828761,46,7,0,52.375,1,4,"5",0,0,2055,"dm"
"1531","2005","08","23","Tuesday","0",0,"SH",19,0,"P",1,50,0,2,2,21,0.166538433,0,15,3,73.796875,2,1,"3",0,1,2088,"dm"
"1532","2005","08","23","Tuesday","0",0,"SC",18,0,"P",1,50,433,2,1,12,0,1,0,0,56.203125,1,3,"3",0,1,2041,"dm"
"1533","2005","08","23","Tuesday","0",0,"SF",19,0,"P",3,100,32,14,1,11,0,25,3,0,59.875,1,4,"3",180,1,2044,"dm"
"1534","2005","08","23","Tuesday","0",0,"SA",18,0,"P",1,400,867,1,1,8,0.059197781,79,6,0,58.4296875,1,2,"5",0,0,2252,"dm"
"1535","2005","08","23","Tuesday","0",0,"SN",25,0,"P",1,1450,0,3,1,6,0,0,5,3,69.578125,1,0,"5",0,0,2182,"dm"
"1536","2005","08","23","Tuesday","0",0,"SB",18,0,"P",1,1000,31,8,2,6,0.192344294,0,6,0,57.0546875,1,1,"5",0,0,2109,"dm"
"1537","2005","08","23","Tuesday","0",0,"SA",23,0,"R",1,950,1705,8,1,8,0.032484136,1,12,0,51.265625,2,1,"3",0,0,2218,"dm"
"1538","2005","08","23","Tuesday","0",1,"SO",20,0,"P",2,500,0,12,1,15,0,0,0,2,49.46875,2,0,"5",0,0,2038,"dm"
"1539","2005","08","23","Tuesday","0",0,"SM",18,0,"P",1,50,61,2,1,4,0.084567864,56,6,0,16.41015625,1,2,"5",0,0,2253,"dm"
"1540","2005","08","23","Tuesday","0",1,"SM",20,0,"P",2,4350,962,15,3,10,0,0,0,0,49.3359375,1,1,"3",0,1,2049,"dm"
"1541","2005","08","23","Tuesday","0",0,"SC",18,0,"P",2,200,371,25,1,1,0,1,3,1,45.15625,1,1,"3",0,1,2133,"dm"
"1542","2005","08","23","Tuesday","0",1,"SD",19,0,"P",1,350,372,11,3,63,0.126381693,1,9,2,50.5546875,1,4,"3",0,1,2027,"dm"
"1543","2005","08","23","Tuesday","0",0,"SH",19,0,"P",3,100,31,34,1,11,0.139523114,0,20,0,76.5,1,0,"3",0,1,1949,"dm"
"1544","2005","08","23","Tuesday","0",0,"SK",19,0,"P",1,100,31,16,1,5,0.139252998,0,9,2,73.234375,1,1,"3",0,1,2024,"dm"
"1545","2005","08","23","Tuesday","0",0,"SF",19,0,"P",2,250,0,28,1,16,0.23896789,0,3,1,53.03125,1,0,"5",0,0,2204,"dm"
"1546","2005","08","23","Tuesday","0",1,"SO",29,4,"H",1,1650,63,6,1,4,0.225207812,155,0,0,48.4453125,1,1,"5",3296,0,2157,"dm"
"1547","2005","08","23","Tuesday","0",0,"SA",20,1,"P",1,50,156,19,1,44,0,0,14,4,42.828125,1,0,"3",0,1,1975,"dm"
"1548","2005","08","23","Tuesday","0",0,"SO",18,0,"P",2,200,404,32,1,80,0.047984513,1,4,0,61.8671875,1,0,"3",0,1,2251,"dm"
"1550","2005","08","23","Tuesday","0",0,"SA",18,0,"P",1,50,123,18,1,20,0.110125445,0,8,1,84.53125,1,0,"5",0,0,1957,"dm"
"1551","2005","08","23","Tuesday","0",0,"SO",18,0,"P",1,150,248,3,1,80,0,0,20,1,69.25,1,4,"5",142,0,2259,"dm"
"1552","2005","08","23","Tuesday","0",400,"SE",22,0,"P",1,500,0,30,1,14,0,0,18,3,80.828125,1,0,"5",0,0,2207,"dm"
"1553","2005","08","23","Tuesday","0",0,"SO",32,0,"H",2,150,61,20,1,4,0.012769995,0,2,16,52.265625,1,2,"3",0,1,2173,"dm"
"1554","2005","08","23","Tuesday","0",0,"SO",18,0,"P",2,600,311,2,1,27,0.088066273,1,6,2,89.375,1,0,"3",0,1,2258,"dm"
"1555","2005","08","23","Tuesday","0",0,"SO",18,0,"P",1,100,0,4,1,8,0.242384895,50,7,0,59.9609375,1,2,"3",33,1,2158,"dm"
"1556","2005","08","23","Tuesday","0",0,"SM",31,0,"R",1,400,372,4,2,1,0.524507146,686,3,1,23.0546875,2,1,"5",0,0,2023,"dm"
"1557","2005","08","23","Tuesday","0",0,"SD",19,0,"P",1,400,404,10,2,2,0.174461495,0,4,0,54.15625,1,0,"3",0,1,1917,"dm"
"1558","2005","08","23","Tuesday","0",840,"SA",27,1,"R",1,950,2014,2,1,14,0.199281597,95,10,0,48.1171875,1,2,"3",799,1,2076,"dm"
"1559","2005","08","23","Tuesday","0",0,"SH",18,0,"P",1,200,435,3,1,1,0.495578042,51,5,3,69.875,2,0,"5",0,0,2036,"dm"
"1560","2005","08","23","Tuesday","0",0,"SA",30,0,"P",2,1450,1,15,2,7,0,41,12,26,38.625,1,0,"5",89,0,1863,"dm"
"1562","2005","08","23","Tuesday","0",0,"SD",19,0,"P",1,500,404,4,2,46,0,45,6,1,90.359375,1,1,"5",0,0,2194,"dm"
"1563","2005","08","23","Tuesday","0",10,"SO",19,0,"P",3,1600,1207,58,1,2,0.563556517,1,4,0,56.890625,2,0,"3",0,1,1980,"dm"
"1564","2005","08","23","Tuesday","0",120,"SN",31,0,"R",1,300,0,7,1,1,0.192935327,1,14,6,73.8125,1,0,"3",0,1,1866,"dm"
"1565","2005","08","23","Tuesday","0",0,"SB",23,0,"R",1,1000,868,3,1,14,0.178497982,35,1,0,71.6875,1,0,"3",0,1,1864,"dm"
"1566","2005","08","23","Tuesday","0",0,"SO",20,0,"P",2,400,187,9,1,3,0.035111707,1,2,1,47.2109375,1,4,"3",0,1,2167,"dm"
"1567","2005","08","23","Tuesday","0",0,"SG",22,1,"P",1,1150,1,10,3,66,0.06292492,36,4,1,67.265625,1,0,"5",0,0,1908,"dm"
"1568","2005","08","23","Tuesday","0",0,"SA",20,0,"P",2,150,0,23,1,5,0.521584559,0,8,2,53.7578125,2,0,"3",0,1,1918,"dm"
"1592","2005","08","24","Wednesday","0",1,"SO",21,0,"P",2,800,62,5,2,9,0.172927648,175,23,3,76.6875,1,0,"3",0,1,2524,"dm"
"1716","2005","08","24","Wednesday","0",0,"SL",18,0,"P",1,150,404,12,1,22,0.156922459,52,15,3,75.390625,1,0,"3",0,1,2459,"dm"
"1719","2005","08","24","Wednesday","0",0,"SO",19,0,"P",1,950,466,14,1,69,0.113315937,0,15,0,89.140625,1,1,"5",428,0,2597,"dm"
"1721","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,200,61,10,1,34,0.052976904,0,6,0,91.953125,1,0,"5",0,0,2568,"dm"
"1722","2005","08","24","Wednesday","0",1,"SO",18,0,"P",1,450,434,2,1,56,0,75,11,0,61.640625,2,3,"3",0,1,2367,"dm"
"1723","2005","08","24","Wednesday","0",0,"SD",18,0,"P",1,100,867,2,2,40,0.207753014,0,24,0,62.5703125,1,2,"3",0,1,2435,"dm"
"1726","2005","08","24","Wednesday","0",0,"SB",18,0,"P",1,1600,1983,12,2,45,0.392196463,70,20,0,80.78125,1,0,"5",46,0,2510,"dm"
"1727","2005","08","24","Wednesday","0",0,"SA",19,0,"P",1,600,744,19,1,36,0.10264096,0,23,1,45.953125,1,4,"3",74,1,2613,"dm"
"1728","2005","08","24","Wednesday","0",1,"SO",18,0,"P",2,100,466,15,1,35,0.110797405,70,10,0,21.90234375,1,3,"3",0,1,2450,"dm"
"1731","2005","08","24","Wednesday","0",0,"SD",19,0,"P",1,200,0,19,1,24,0.086812255,0,21,2,57.21875,1,1,"3",0,1,2333,"dm"
"1733","2005","08","24","Wednesday","0",1,"SB",18,0,"P",4,800,0,51,1,61,0,0,6,0,88.515625,1,0,"3",0,1,2437,"dm"
"1735","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,200,341,5,1,21,0.119474212,1,15,2,53.890625,2,2,"3",0,1,2348,"dm"
"1737","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,100,0,5,1,19,0.11631461,0,3,3,76.5,1,4,"3",36,1,2443,"dm"
"1741","2005","08","24","Wednesday","0",0,"SA",19,0,"P",1,1050,744,1,5,16,0.117492588,0,16,2,83.421875,2,0,"3",287,4,2330,"dm"
"1742","2005","08","24","Wednesday","0",0,"SA",19,0,"P",2,1500,2014,31,1,16,0,1,4,1,88.875,1,0,"3",0,1,2536,"dm"
"1745","2005","08","24","Wednesday","0",0,"SL",18,1,"P",1,250,0,17,1,8,0.327404071,55,12,0,45.4375,1,0,"3",0,1,2571,"dm"
"1746","2005","08","24","Wednesday","0",0,"SE",18,0,"P",1,850,0,10,1,15,0.15805975,56,9,0,59.7265625,1,1,"5",5,0,2554,"dm"
"1747","2005","08","24","Wednesday","0",1,"SB",20,0,"P",1,150,155,4,2,11,0.43066923,0,15,3,69.484375,1,3,"3",0,1,2573,"dm"
"1748","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,600,466,2,1,8,0.310135437,45,13,0,32.1953125,1,0,"5",0,0,2362,"dm"
"1750","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,350,498,3,1,8,0.164514158,55,21,0,75.15625,1,4,"3",0,1,2414,"dm"
"1751","2005","08","24","Wednesday","0",1,"SA",18,0,"P",1,4400,1983,11,1,7,0,0,6,0,75.296875,1,2,"5",0,0,2388,"dm"
"1752","2005","08","24","Wednesday","0",0,"SL",19,0,"P",2,500,185,6,2,3,0,477,6,2,55.1484375,1,1,"5",0,0,2361,"dm"
"1753","2005","08","24","Wednesday","0",0,"SM",18,0,"P",1,5650,3007,25,1,4,0,55,16,0,46.6875,1,1,"3",0,1,2425,"dm"
"1754","2005","08","24","Wednesday","0",0,"SO",18,0,"P",2,500,248,14,1,2,0.065993338,0,26,0,89.171875,1,0,"5",997,0,2465,"dm"
"1755","2005","08","24","Wednesday","0",0,"SC",19,0,"P",1,150,123,3,2,2,0.069330444,134,3,1,56.9609375,3,1,"3",0,1,2542,"dm"
"1756","2005","08","24","Wednesday","0",500,"SA",24,0,"P",1,1400,1025,19,1,1,0.182340213,37,26,7,63.3515625,1,3,"3",221,1,2372,"dm"
"1757","2005","08","24","Wednesday","0",1,"SH",21,0,"P",1,1800,1675,7,3,14,0.072129434,1,17,2,53.4453125,1,2,"3",0,1,2586,"dm"
"1758","2005","08","24","Wednesday","0",1,"SL",19,0,"P",2,350,342,5,1,1,0.524516819,50,11,0,28.2734375,1,3,"5",0,0,2526,"dm"
"1759","2005","08","24","Wednesday","0",1,"SD",20,0,"P",2,650,3720,5,1,3,0,0,8,0,73.8125,1,0,"4",5,0,2473,"dm"
"1760","2005","08","24","Wednesday","0",1,"SB",20,2,"P",1,1450,1705,23,2,17,0,74,13,6,82.65625,1,0,"3",0,1,2364,"dm"
"1761","2005","08","24","Wednesday","0",1,"SB",19,0,"P",1,200,125,3,1,7,0,0,10,0,45.3671875,1,1,"5",0,0,2540,"dm"
"1763","2005","08","24","Wednesday","0",0,"SO",18,0,"P",1,200,0,2,1,35,0.13306922,0,8,1,33.1015625,1,2,"5",27,0,2549,"dm"
"1764","2005","08","24","Wednesday","0",1,"SO",20,0,"P",3,350,3720,23,1,5,0,1,19,2,62.3046875,1,0,"4",0,0,2559,"dm"
"1765","2005","08","24","Wednesday","0",0,"SE",18,0,"P",1,1100,218,4,1,14,0.022196281,230,2,0,71.71875,1,1,"5",0,0,2427,"dm"
"1766","2005","08","24","Wednesday","0",1,"SA",22,0,"P",1,300,154,19,1,6,0.403046039,0,5,6,56.671875,1,1,"3",170,1,2353,"dm"
"1768","2005","08","24","Wednesday","0",0,"SO",19,0,"P",2,500,0,12,1,1,0.298756484,1,3,1,44.765625,1,1,"5",27,0,2461,"dm"
"1769","2005","08","24","Wednesday","0",0,"SO",19,0,"P",1,600,652,12,1,3,0.89037448,75,20,2,47.4921875,1,1,"3",0,1,2588,"dm"
"1770","2005","08","24","Wednesday","0",1,"SO",19,0,"P",1,150,0,9,1,32,0.655474467,105,17,4,50.8828125,2,0,"3",0,1,2430,"dm"
"1771","2005","08","24","Wednesday","0",0,"SD",24,0,"P",1,4400,1983,7,1,5,0.190176455,1,0,4,73.21875,2,1,"3",0,1,2426,"dm"
"1772","2005","08","24","Wednesday","0",0,"SO",19,0,"P",2,750,0,23,2,6,0.140435492,0,8,2,56.4609375,1,0,"3",0,1,2394,"dm"
"1773","2005","08","24","Wednesday","0",0,"SA",19,0,"P",1,750,0,1,2,14,0,0,2,0,72.921875,1,2,"5",46,0,2491,"dm"
