"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","GOOD","id","app_id","na_prop"
"3843","2005","09","08","Thursday",0,"SO",19,1,"R",1.09,525.5,349.69,13.53,1.03,12.5866666666667,0.222391659,39.34,8.93,0.5,65.265625,1,0,"5",23.48,0,"0","dm",10755,0.166666666666667
"3844","2005","09","08","Thursday",0,"SK",19,1,"P",1.18,616,378.66,15.45,1.06,16.28,0.10392946,40.71,9.54,0.68,31.8828125,1,1,"5",56.9,0,"0","dm",10767,0.2
"3845","2005","09","08","Thursday",0,"SF",18,1,"R",1.06,572,405.63,18.67,1.05,11.33,0,45.51,7.96,0.31,53.8248828125,1.04,1.82,"5",21.48,0,"0","dm",10733,0.3
"3846","2005","09","08","Thursday",0,"SD",19,0,"P",1,639,350.16,5,1.18,15.24,0.016817306,14,8.63,0,64.1875,1,1,"5",51.85,0,"0","dm",10735,0.133333333333333
"3847","2005","09","08","Thursday",0,"SA",19,1,"R",1.19,490.5,382.31,18.13,1.22,10.77,0,55.18,7.58,0.95,9.9609375,1.07,1.81,"5",27.27,0,"0","dm",10739,0.233333333333333
"3848","2005","09","08","Thursday",800,"SM",29,1.22,"R",1.24,2079,1317.3,23.45,1.36,12.67,0.101168276,94.25,9.02,4.26,23.80078125,1.14,1.77,"5",271.86,0,"0","dm",10723,0.233333333333333
"3849","2005","09","08","Thursday",1,"SB",19,1.03,"P",1.22,757,402.2175,19.28,1.14,9.61,1.592476241,61.6866666666667,8.47,6.35,37.4921875,1.13,1.98,"5",20.61,0,"0","dm",10712,0.266666666666667
"3850","2005","09","08","Thursday",0,"SH",20,1,"P",1.04,531,355.93,15.98,1.06,9.46166666666667,0.229115003,41.6,8.08,2,41.4609375,1,0.88,"5",18.9,0,"0","dm",10763,0.2
"3851","2005","09","08","Thursday",0,"SO",19,1,"P",1.11,523.5,269.9775,17.1,1.01,14.7366666666667,0.523939977,38.38,11.35,0.92,65.453125,1.05,1.98,"5",9.45999999999992,0,"0","dm",10716,0.166666666666667
"3962","2005","09","09","Friday",1,"SB",19,1,"P",1.27,379.5,241.23,13,1,46,0,144,8,0,76.46875,1,1.14666666666667,"3",0,1,"0","dm",10762,0.2
"3963","2005","09","09","Friday",0,"SE",19,1,"P",1.12,321.583333333333,262.22,26,1,42,0.065992647,67.425,6,1,72.40625,1.04,2.19,"3",0,1,"0","dm",10745,0.133333333333333
"3965","2005","09","09","Friday",580,"SO",25,1,"R",1.35,1900,2014,8,1,38,0.070489387,74.74,15,2.92,48.296875,1.17,3,"3",0,1,"0","dm",10741,0.266666666666667
"3966","2005","09","09","Friday",1,"SN",18,1,"P",1,250,337.9,3,1,42,0,130,18,0,76.71875,1,1.34,"3",285,1,"0","dm",10730,0.266666666666667
"3967","2005","09","09","Friday",0,"SM",18,1,"P",1.12,378,585.09,12,1.12,39,0.092879254,79.49,12,0,47.546875,1.05,2.27,"5",0.729999999999934,0,"0","dm",10729,0.133333333333333
"3968","2005","09","09","Friday",0,"SO",18,1,"P",1,250,63,2,1,35,0.089580868,47.84,15,0,42.8203125,1.12,1.94666666666667,"3",0,1,"0","dm",10764,0.166666666666667
"3970","2005","09","09","Friday",0,"SO",18,1,"P",1.13,274,183.72,12.36,1.06,33,0.087880724,65.3066666666667,19,0,71.53125,1,1.43,"5",12.2199999999999,0,"0","dm",10768,0.166666666666667
"3973","2005","09","09","Friday",0,"SO",20,1,"P",1.09,408.583333333333,312,31,1,28,0.017914184,64.39,4,2,69.625,1.02,1.97666666666667,"3",0,1,"0","dm",10757,0.2
"3974","2005","09","09","Friday",1000,"SO",22,1,"P",1.47,1048,652.23,6,1,30,0.045533516,66.63,18,5,78.140625,1.18,3,"3",0,1,"0","dm",10752,0.266666666666667
"3975","2005","09","09","Friday",0,"SD",19,1,"P",1.1,403.583333333333,217.82,8,1.1,30,0.04821343,39,10,0.63,61.9453125,1.02,3,"5",4.06999999999993,0,"0","dm",10783,0.3
"3976","2005","09","09","Friday",0,"SA",18,0,"P",1.25,332,250.8,15.775,1.11,29,0,67.55,22,0,66.890625,1,1.2,"5",10.1699999999999,0,"0","dm",10776,0.466666666666667
"3977","2005","09","09","Friday",0,"SO",20,1,"P",1.19,390.583333333333,220.59,12,2,29,0.067923703,249,9,1,57.6171875,1.07,2.22666666666667,"3",0,1,"0","dm",10770,0.233333333333333
"3978","2005","09","09","Friday",0,"SE",19,1,"R",1,100,327.35,2,1,25,0.25201416,78.41,20,0,63.125,1.07,2.24,"3",0,1,"0","dm",10792,0.466666666666667
"3979","2005","09","09","Friday",0,"SO",18,1,"P",1.2,350.5,226.04,14.23,1.03,23,0,72.59,10,0,75.109375,1,0,"5",25.47,0,"0","dm",10791,0.5
"3980","2005","09","09","Friday",0,"SC",18,1,"P",1.11,421.5,264.43,16.065,1.08,23,0.19473938,57.51,13,0.0599999999999992,64.125,1.03,2.21,"5",1.98999999999993,0,"0","dm",10821,0.4
"3982","2005","09","09","Friday",0,"SB",19,1,"P",2,600,341,3,2,22,0.704589032,84.68,2,1,52.0625,2,2,"3",0,2,"0","dm",10823,0.466666666666667
"3983","2005","09","09","Friday",10,"SF",19,1,"P",1.1,582,314.15,35,1,21,0.199745839,73.19,7,3,64.8125,1.09,2.32,"3",0,1,"0","dm",10807,0.133333333333333
"3985","2005","09","09","Friday",0,"SB",18,1,"P",1,400.75,284.69,3,1,22,0.274696531,30,2,0,63.171875,1.08,2.2,"3",0,1,"0","dm",10811,0.266666666666667
"3986","2005","09","09","Friday",0,"SO",19,1,"P",1.1,329.583333333333,239.43,14.67,1.05,19,0.046740606,48.72,11,0.54,77.15625,1.01,1.76,"5",3.01999999999993,0,"0","dm",10829,0.4
"3987","2005","09","09","Friday",0,"SB",19,1,"P",1.17,550.5,281.29,54,1,18,0,71.85,18,1,89.75,1.05,2.00666666666667,"3",0,1,"0","dm",10820,0.4
"3988","2005","09","09","Friday",0,"SM",18,1,"P",1.51,484.5,360.21,24,1,14,1.080105353,87.48,7.5,0.89,25.6015625,1.46,1.54,"3",0,1,"0","dm",10810,0.466666666666667
"3989","2005","09","09","Friday",0,"SK",18,1,"P",1.16,383,294.85,7,1,9,0.425711831,90,11,0.54,62.28125,1,3,"3",98,1,"0","dm",10842,0.433333333333333
"3991","2005","09","09","Friday",0,"SO",18,1,"P",1.11,358,276.225,6,1.04,6,0.192973801,0,3,0,54.0390625,1.05,2,"5",2.40999999999993,0,"0","dm",10830,0.433333333333333
"3992","2005","09","09","Friday",0,"SO",20,1,"P",1.08,319.5,267.33,16.24,1.08,6,0.134783758,66.72,18,1,59.984375,1.02,2.1,"5",11.0566666666666,0,"0","dm",10804,0.0333333333333333
"3993","2005","09","09","Friday",0,"SM",18,1,"P",1.4,491,384.8,15,1,4,0.782317048,72.69,3,0.83,50.3125,2,0,"3",0,1,"0","dm",10838,0.466666666666667
"3994","2005","09","09","Friday",0,"SE",19,1,"P",1.11,250,310,11,1,6,0.01347945,67.47,15,0.74,70.78125,1.04,2.38,"3",0,1,"0","dm",10837,0.466666666666667
"3997","2005","09","09","Friday",0,"SO",18,1,"P",1,250,0,2,1.07,1,0,77.64,3,0,66.609375,1,0,"5",132.215,0,"0","dm",10877,0.333333333333333
"3998","2005","09","09","Friday",1140,"SA",55,1,"R",1.73,4250,2294,17,1,1,0,0,0,0,45.9453125,1.45,2.2,"3",0,1,"0","dm",10867,0.4
"3999","2005","09","09","Friday",0,"SA",19,1,"P",1.16,481,310.1,19,1.06,2,0.076007004,35,6.93,0,52.6875,1,1.35,"5",7.26999999999992,0,"0","dm",10882,0.333333333333333
"4000","2005","09","09","Friday",0,"SO",19,1,"P",1.37,403.5,247.42,8,1.14,2,0.144198851,160,9,1,31.9296875,1.06,3,"5",30.26,0,"0","dm",10883,0.133333333333333
"4001","2005","09","09","Friday",1,"SO",23,1.1,"R",1.14,594.5,428.93,18.69,1.15,9.69,0,59.45,0,1.94,36.984375,1.04,1.59,"5",55.1266666666667,0,"0","dm",10848,0.233333333333333
"4002","2005","09","09","Friday",1,"SO",26,0.99,"R",1.26,1107,496.94,18,3,14.81,0.273909544,91.49,9.76,4,44.203125,1.02,1.61,"5",85.04,0,"0","dm",10865,0.233333333333333
"4003","2005","09","09","Friday",0,"SA",18,1,"P",1,537,321.64,5,1.06,1,0.224571471,0,8,0,84.953125,1,2,"5",64.528,0,"0","dm",10875,0.366666666666667
"4004","2005","09","09","Friday",1200,"SO",28,1,"R",1.64,1829,1514.53,16,2,23.67,0.135291752,82.53,12.28,2,32.328125,1,4,"3",0,2,"0","dm",10878,0.2
"4005","2005","09","09","Friday",0,"SD",26,0,"R",1.25,1269,636.59,44,1,16.1,0.604734967,57.47,7.47,2.8,52.25,1.14,1.92,"3",0,1,"0","dm",10857,0.3
"4006","2005","09","09","Friday",0,"SF",19,1,"P",1.13,447.083333333333,302.41,36,1,19.67,0,83.19,9.245,0,81.984375,1.05,1.88,"5",2.33999999999993,0,"0","dm",10849,0.166666666666667
"4007","2005","09","09","Friday",0,"SA",18,1,"P",1.17,282.5,214.26,11.54,1.05,13,0.34090722,58.08,18,0,68.203125,1.01,2.29,"5",17.58,0,"0","dm",10870,0.166666666666667
"4008","2005","09","09","Friday",500,"SN",20,0.97,"R",1.21,954,710.56,30,1,15.37,0.21737318,73.53,9.67,2.42,24.0703125,1.12,2.1,"3",0,1,"0","dm",10887,0.233333333333333
"4009","2005","09","09","Friday",0,"SO",21,1,"R",1.11,519.5,463.03,26,1,11.55,0.084003459,67.74,0,1.56,58,1,1,"3",0,1,"0","dm",10850,0.3
"4010","2005","09","09","Friday",200,"SO",19,1,"P",1.18,308.583333333333,220.48,17,1,19.14,0,67.0375,10.344,0.84,65.4375,1,0.936666666666667,"3",4,1,"0","dm",10873,0.3
"4011","2005","09","09","Friday",1,"SA",22,1,"P",1.165,300,93,8,1,22.1733333333333,0.114755611,20,10.26,2.1,71.21875,1.05,2.70666666666667,"3",0,1,"0","dm",10863,0.166666666666667
"4012","2005","09","09","Friday",0,"SB",18,1,"P",1.16,394,237.93,14.94,1.05,19.98,0.373013614,57.41,11,0.189999999999999,63.5,1.02,1.88,"5",2.04999999999993,0,"0","dm",10868,0.3
"4013","2005","09","09","Friday",1,"SA",25,1,"R",1.07,634.5,586.54,18.24,1.11,13.83,0.043887556,53.865,7.11,2.02,58.453125,1.02,2,"5",13.0766666666666,0,"0","dm",10854,0.133333333333333
"4050","2005","09","10","Saturday",0,"SE",19,1,"P",1.16,486.5,219.39,17.325,1.09,64,0.244925876,63.81,17,1.04,84.203125,1.02,1.88,"5",23.98,0,"0","dm",10910,0.2
"4051","2005","09","10","Saturday",0,"SC",19,1,"P",1.15,571.5,293.77,23,1,55,0.028224677,32.01,11,2,81.671875,1.04,2.31,"3",0,1,"0","dm",10911,0.233333333333333
"4052","2005","09","10","Saturday",1,"SO",18,1,"P",1.25,284.5,176.38,14.46,1.05,40,0.069541237,58.0166666666667,20,0,61.1171875,1,1.1,"5",6.30999999999992,0,"0","dm",10908,0.266666666666667
"4053","2005","09","10","Saturday",0,"SA",18,1,"P",1.16,320.5,204.19,11,1.09,41,0.166452834,47.4433333333333,13,0.32,69.328125,1.01,2.08,"5",10.7299999999999,0,"0","dm",10912,0.166666666666667
"4055","2005","09","10","Saturday",0,"SE",19,1,"P",1.18,100,246.08,13,1,37,0.303175537,50.3,2,0,61.203125,1,0,"3",196,1,"0","dm",10917,0.366666666666667
"4056","2005","09","10","Saturday",0,"SH",18,1,"P",1,557.75,222.95,3,1,23,0,31,16,1,63.828125,1,2,"3",0,1,"0","dm",10926,0.233333333333333
"4057","2005","09","10","Saturday",2,"SO",18,1,"P",1.06,419.5,200.37,16.54,1.01,20,0,32.09,9,0,84.609375,1.01,1.72,"5",0.23999999999993,0,"0","dm",10919,0.0666666666666667
"4058","2005","09","10","Saturday",0,"SK",19,1,"P",1.06,754.5,341.02,16,1,19,0.946156316,0,7,0,78.875,1.11,2.05,"3",0,1,"0","dm",10923,0.1
"4059","2005","09","10","Saturday",0,"SO",20,1,"P",1.12,315.5,180.75,13,1,18,0.140072255,38.04,1,1,39.9921875,1,1,"5",47.26,0,"0","dm",10909,0.233333333333333
"4060","2005","09","10","Saturday",0,"SO",21,4,"P",1.26,879,356.62,21,1,18,0.3155328,1,22,4,31.48046875,1.16,2.28,"3",0,1,"0","dm",10899,0.133333333333333
"4061","2005","09","10","Saturday",0,"SC",20,1,"P",1.1,629,302.64,73,2,15,0.074730755,24.96,0,1.84,78.171875,1.04,2.17,"3",0,1,"0","dm",10892,0.166666666666667
"4064","2005","09","10","Saturday",0,"SO",18,1,"P",1.05,268.5,147.82,7,1,15,0.070383055,60,1,1,72.65625,1.06,2.26,"2",0,1,"0","dm",10966,0.333333333333333
"4065","2005","09","10","Saturday",0,"SM",18,1,"P",1,1401.75,612.24,5,1,13,0.435458846,29,18,1,63.546875,1.05333333333333,2.245,"2",0,1,"0","dm",10971,0.166666666666667
"4068","2005","09","10","Saturday",1,"SA",19,1,"P",1.15,317,218.83,16.08,1.06,15,0.121996051,41.15,0,0,71.546875,1.01,1.46,"5",24.85,0,"0","dm",10972,0.3
"4069","2005","09","10","Saturday",0,"SO",18,1,"P",1.21,413,293.57,66,1,11,0,43.17,0,0.36,84.625,1,0,"3",0,1,"0","dm",10951,0.2
"4070","2005","09","10","Saturday",0,"SH",34,1,"P",1,2200,1983,1,1,8,0.104414281,0,6,5,56.359375,2,0,"3",451,1,"0","dm",10959,0.333333333333333
"4071","2005","09","10","Saturday",1,"SO",18,1,"P",1.225,296.5,159.17,12.13,1.03,9,0,54.66,5,0,28.03515625,1.03,2.42,"5",5.58999999999994,0,"0","dm",10954,0.3
"4072","2005","09","10","Saturday",0,"SO",20,1,"P",1.32,1600,1,18,1,7,0.089603582,1,21,3,54.109375,1,1.6,"3",786,1,"0","dm",10956,0.2
"4073","2005","09","10","Saturday",0,"SA",18,1,"P",1.115,238.375,162.37,10.7,1.06,5,0.319755579,51.5866666666667,9,0.32,45.2265625,1.02,2.06,"5",13.3799999999999,0,"0","dm",10962,0.133333333333333
"4074","2005","09","10","Saturday",0,"SB",20,1,"P",1.15,534.875,224.91,13,2,6,0.272609222,32.11,1,1.89,60.6328125,1,1,"3",0,2,"0","dm",10958,0.266666666666667
"4076","2005","09","10","Saturday",0,"SN",19,2,"P",1.2,950,576.3,10,1,5,0.042205851,29,7.61,1,59.0078125,2,1,"3",888,1,"0","dm",10988,0.4
"4077","2005","09","10","Saturday",0,"SH",21,1,"P",1,516.5,302.93,6,1.13,5,0.378606696,28.83,7.17,2,43.203125,1,1,"5",64.65,0,"0","dm",11000,0.166666666666667
"4078","2005","09","10","Saturday",0,"SO",18,2,"P",1.06,405.375,171.31,9,1,4,0,30.95,10,0,41.2265625,1.09,2.44,"3",0,1,"0","dm",11004,0.3
"4079","2005","09","10","Saturday",1,"SF",18,1,"P",1.13,418.5,295.18,63,1,3,0.094895338,70.94,2,0,34.9765625,1.08,1.8,"3",0,1,"0","dm",11005,0.166666666666667
"4081","2005","09","10","Saturday",0,"SL",22,0,"P",1.17,842.5,363.18,29,1,3,0,41.876,1,3,78.421875,1,1,"3",0,1,"0","dm",10991,0.4
"4082","2005","09","10","Saturday",0,"SO",18,1,"P",1.07,535.5,222.16,7,1,18.7133333333333,0,30,6,0,88.875,1.05,2.52,"2",2.93999999999993,0,"0","dm",10998,0.133333333333333
"4083","2005","09","10","Saturday",1,"SD",23,1,"P",1.145,400,92,13,2,13.62,0,42.29,9.15,5,19.4609375,1.07,2.16,"3",0,1,"0","dm",11007,0.2
"4084","2005","09","10","Saturday",1,"SB",18,1,"P",1.29,445.5,258.62,38,1,12.95,0.759827919,57.22,2,0,37.3046875,1,0,"3",20,1,"0","dm",11011,0.2
"4086","2005","09","10","Saturday",0,"SA",23,1,"P",1.1,100,229.2,24,1,9.36,0.097098358,58.09,7.44,2,34.4140625,1.03,2.03,"1",20.36,0,"0","dm",10982,0.133333333333333
"4087","2005","09","10","Saturday",0,"SO",19,1,"P",1.09,397.5,185.87,12,1,17.0925,0,35,6.42,0,63.1796875,1,1,"1",29.22,0,"0","dm",10997,0.2
"4088","2005","09","10","Saturday",0,"SN",26,1,"R",1,3900,931,3,1,20.09,0.092505698,0,10.83,4,65.25,1.12,1.85,"2",0,1,"0","dm",11003,0.2
"4089","2005","09","10","Saturday",0,"SE",19,1,"P",1.09,619.75,288.16,26,1.03,21.64,0.101678432,0,10.5,2,84.359375,1.02,1.93,"5",24.84,0,"0","dm",10994,0.366666666666667
"4090","2005","09","10","Saturday",1,"SO",39,1,"R",1.1,2629.5,1486.58,16.72,1.22,9.93,0.160543836,22.18,8.01,2.66,42.15625,1.05,3,"5",245.01,0,"0","dm",11023,0.2
"4091","2005","09","10","Saturday",0,"SD",20,1,"R",1.07,424,301.82,17.0266666666667,1.08,11.93,0.073578705,34.51,6.64,1.65,33.53125,1,1,"5",51.59,0,"0","dm",11046,0.366666666666667
"4092","2005","09","10","Saturday",0,"SA",18,1,"P",1.26,249.5,183.95,13.86,1.22,11.73,0.09943986,70.72,7.72,0,4.047851563,1.06,1.79,"5",28.31,0,"0","dm",11043,0.2
"4093","2005","09","10","Saturday",0,"SC",27,1,"R",1.15,1106,584.66,18,1.28,11.59,0.384009004,0,7.37,2.69,30.703125,1.11,1.9,"5",180.51,0,"0","dm",11027,0.133333333333333
"4094","2005","09","10","Saturday",200,"SO",20,1.09,"P",1.04,404.5,190.96,14.45,1.03,11.82,0,29.99,8.88,1.59,56.09533203125,1.03,2.34,"4",4.01999999999994,0,"0","dm",11022,0.0666666666666667
"4095","2005","09","10","Saturday",0,"SH",22,2,"R",1.09,686,496.813333333333,16.2,1.15,10.29,0.055464891,25.59,7.32,2.21,37.125,1.01,1.48,"5",54.83,0,"0","dm",11037,0.166666666666667
"4321","2005","09","13","Tuesday",1,"SO",21,1,"P",1.36,1650,681,19,2,105,0,1,4,3,64.484375,1,0,"3",0,2,"0","dm",11039,0.166666666666667
"4323","2005","09","13","Tuesday",0,"SE",18,1,"P",2,803,467.94,6,1,67,0.146837195,0,27,0.99,46.4296875,1,2,"3",0,1,"0","dm",11041,0.233333333333333
"4324","2005","09","13","Tuesday",0,"SO",18,1,"P",1.4,663,381.14,10,1,60,0.032675011,0,15,1,70.640625,2,0,"2",0,1,"0","dm",11057,0.333333333333333
"4325","2005","09","13","Tuesday",0,"SB",18,1,"P",1.27,513.5,327.19,8,1,60,0.217302699,26.89,12,0,71.9375,1.06,1.88,"3",0,1,"0","dm",11054,0.3
"4326","2005","09","13","Tuesday",0,"SO",18,1,"P",1.17,440,359.83,9,1,57,0.04314245,23.89,8,0,62.7890625,1.03,2.08,"3",0,1,"0","dm",11059,0.333333333333333
"4328","2005","09","13","Tuesday",260,"SO",19,1,"P",1,355,273.23,3,2,45,0.515263224,30.65,15,1,44.015625,1,2,"3",0,2,"0","dm",11053,0.366666666666667
"4329","2005","09","13","Tuesday",0,"SO",19,1,"P",1.2,453.583333333333,322.2,11,1,36,0,20.64,8,0.865,78.953125,1.03,1.84,"3",0,1,"0","dm",11061,0.333333333333333
"4331","2005","09","13","Tuesday",0,"SC",19,1,"P",1.37,711.5,397.225,15,1,32,0.17111548,1,6,2,85.515625,2,0,"3",0,1,"0","dm",11063,0.133333333333333
"4332","2005","09","13","Tuesday",0,"SA",18,1,"P",1,482,398.63,3,2,30,0.078506566,30.34,5,2,63.5703125,1,0,"3",0,2,"0","dm",11080,0.166666666666667
"4333","2005","09","13","Tuesday",0,"SO",18,1,"P",1.23,555.5,333.4,23,1,22,0,28.1,19,0.62,82.703125,1,0,"3",4,1,"0","dm",11081,0.0666666666666667
"4334","2005","09","13","Tuesday",0,"SO",18,1,"R",1,479.5,339.8,3,1.03,23,0,25.08,16,1,69.3125,1.08,1.955,"5",6.91999999999993,0,"0","dm",11077,0.333333333333333
"4335","2005","09","13","Tuesday",0,"SK",19,1,"P",1.27,706,386.9475,35,1,21,0.060278499,31.88,26,1.4625,73.75,1.07,1.59,"3",0,1,"0","dm",11052,0.233333333333333
"4336","2005","09","13","Tuesday",1,"SO",18,1,"P",1.11,448.5,350.11,16.69,1.01,13,0,22.88,10,0.31,58.078125,1,0,"5",18.12,0,"0","dm",11072,0.233333333333333
"4339","2005","09","13","Tuesday",940,"SC",23,1,"P",1.22,1340.5,731.19,12,1,15,0,21.46,7,5,63.4921875,1,3,"3",253,1,"0","dm",11091,0.366666666666667
"4340","2005","09","13","Tuesday",0,"SA",18,1,"P",1,347,342.42,3,1.05,14,0,30,5,0.31,54.5390625,1,1,"5",35.32,0,"0","dm",11094,0.233333333333333
"4341","2005","09","13","Tuesday",0,"SO",18,1,"P",1.09,402,328.43,14.59,1.03,14,0.051610181,30.51,6,0,68.921875,1,0,"5",17.97,0,"0","dm",11102,0.2
"4342","2005","09","13","Tuesday",0,"SO",18,1,"P",1.15,409.5,346.18,20.39,1.03,14,0.742645096,43.47,14,0,66.109375,1,0,"5",17.4,0,"0","dm",11087,0.3
"4343","2005","09","13","Tuesday",0,"SB",18,0,"P",1,50,248.72,2,2,9,0.050887103,43.28,5,0,56.0703125,1,1.17,"3",0,2,"0","dm",11088,0.166666666666667
"4344","2005","09","13","Tuesday",1,"SO",20,1,"P",1,725,353.27,4,1,7,0.052927248,20.71,19,4,53.7890625,1,0,"3",0,1,"0","dm",11107,0.2
"4345","2005","09","13","Tuesday",0,"SO",22,3,"P",1.16,1200,423.2,97,2,7,0,26.54,9.85,2.63,44.5859375,1,0.77,"3",438,1,"0","dm",11101,0.166666666666667
"4346","2005","09","13","Tuesday",0,"SO",19,1,"P",1.14,427.5,275.73,15.55,1.03,4,0.206578786,39.41,18,0,47.0625,1,0,"5",23.1,0,"0","dm",11097,0.366666666666667
"4348","2005","09","13","Tuesday",0,"SD",18,1,"P",1.17,457,366.85,10,1,4,0.070706492,45,2,1,83.90625,1,0,"3",0,1,"0","dm",11142,0.166666666666667
"4349","2005","09","13","Tuesday",0,"SC",22,1,"R",1,500,0,4,1,3,0.301676218,30.61,7.57,2.22,58.5625,2,2,"3",71,1,"0","dm",11159,0.166666666666667
"4350","2005","09","13","Tuesday",1,"SM",19,1,"P",1.25,1423,559.5,11,1,2,0.493982225,24,0,0,55.53125,1,0,"3",0,1,"0","dm",11148,0.0666666666666667
"4351","2005","09","13","Tuesday",0,"SO",19,1,"P",1.14,409.5,273.96,13.65,1,2,0.177745413,38.51,3,0.65,70,1,1,"5",29.52,0,"0","dm",11155,0.366666666666667
"4352","2005","09","13","Tuesday",0,"SO",19,0,"P",1.12,404.5,313.55,14.95,1.07,2,0.03480658,40.72,0,0.6,50.7421875,1.05,1.59,"5",16.79,0,"0","dm",11165,0.2
"4353","2005","09","13","Tuesday",0,"SA",19,1,"P",1.11,392.5,331.01,12,1.06,11.05,0.020208458,36.05,0,0,60.828125,1.03,1.79,"5",30.86,0,"0","dm",11122,0.166666666666667
"4354","2005","09","13","Tuesday",260,"SA",19,1,"P",1.335,1440,580.253333333333,8,4,29.16,0.448862753,0,13.68,1,62.640625,1,0,"3",45,4,"0","dm",11126,0.233333333333333
"4355","2005","09","13","Tuesday",0,"SC",20,0,"R",1.15,613.5,414.48,38,1,13.77,0.232129005,24.19,8.35,2.41,57.2265625,2,1,"3",0,1,"0","dm",11147,0.166666666666667
"4357","2005","09","13","Tuesday",0,"SH",20,0,"P",1.11,505.5,384.288,11,1,9.34,0.581653116,71,8.74,2,43.65625,1,0,"3",0,1,"0","dm",11162,0.4
"4358","2005","09","13","Tuesday",1,"SO",18,1,"P",1.34,950,356.1,8,1,26.67,0,23.36,14.69,1.18,32.5390625,1,1.27,"3",859,1,"0","dm",11157,0.3
"4359","2005","09","13","Tuesday",1,"SA",20,1,"P",2,578,404.93,1,1,29.78,0.042340003,0,13.62,3,54.8203125,1,1,"3",0,1,"0","dm",11167,0.333333333333333
"4360","2005","09","13","Tuesday",1200,"SB",34,1.06,"R",1.57,1993,1226.13,18,1.45,29.12,0.087767468,1,13.87,2.75,52.015625,1,1,"5",429.64,0,"0","dm",11152,0.433333333333333
"4361","2005","09","13","Tuesday",0,"SN",18,1,"P",1.25,627,460.6875,6,1.05,20.18,0.087881193,24.68,12.08,0,31.8125,1.1,1.76,"5",91.92,0,"0","dm",11156,0.3
"4362","2005","09","13","Tuesday",0,"SO",19,1,"P",1,100,124,4,1.07,12.64,0.510663472,45,9.91,1,34.890625,1.17,1.8,"5",46.56,0,"0","dm",11153,0.366666666666667
"4363","2005","09","13","Tuesday",220,"SO",18,1.02,"R",1.09,444.5,318.39,16.1466666666667,1.03,10.1366666666667,0.556636723,40.45,8.02,0.6,53.99912109375,1.06,1.29,"5",17.284,0,"0","dm",11133,0.166666666666667
"4364","2005","09","13","Tuesday",0,"SA",18,1,"P",1.15,294,299.58,13.66,1.03,18,0.056371244,46.69,9.14,0.24,66.765625,1.01,1.39,"5",19.05,0,"0","dm",11161,0.4
"4365","2005","09","13","Tuesday",0,"SO",18,0.95,"R",1.12,317,287.14,15.2266666666667,1.01,11.67,0,57.99,8.31,0.3,23.3515625,1.12,1.01,"5",50.054,0,"0","dm",11119,0.166666666666667
"4366","2005","09","13","Tuesday",0,"SM",22,1,"R",1.25,1301,436.303333333333,21.58,1.13,11.52,0.000982151,41.59,8.57,2.2,25.49609375,1.12,1.24,"5",43.01,0,"0","dm",11175,0.3
"4367","2005","09","13","Tuesday",0,"SO",25,1,"P",1.08,590.5,417.52,19.11,1.07,11.91,0,24.78,9.47,2.65,52.66890625,1.03,1.19,"4",52,0,"0","dm",11209,0.366666666666667
"4529","2005","09","14","Wednesday",0,"SO",18,1,"P",1.58,597,321.63,9,1.18,81,0,30.235,14,0,85.671875,1,1,"5",40.52,0,"0","dm",11177,0.333333333333333
"4530","2005","09","14","Wednesday",0,"SO",19,1,"P",1.65,611,209.21,14,1,53,0,20.42,15,0.85,62.890625,2,0,"3",0,1,"0","dm",11190,0.266666666666667
"4531","2005","09","14","Wednesday",0,"SA",21,1,"P",2,500,589,4,1.22,51,0.00817997,0,13.02,2.08,78.984375,3,0,"5",96.38,0,"0","dm",11199,0.166666666666667
"4532","2005","09","14","Wednesday",0,"SA",18,1,"P",1.23,351,269.78,15.75,1.04,46,0.093729251,89.75,14,0,47.84375,1.02,1.9,"5",6.27999999999993,0,"0","dm",11180,0.166666666666667
"4533","2005","09","14","Wednesday",0,"SD",19,1,"P",1.435,600,92,10,1,38,0,0,12,1,77.703125,1.12,2.4,"3",0,1,"0","dm",11187,0.133333333333333
"4535","2005","09","14","Wednesday",0,"SE",18,1,"P",2,519.5,315.87,2,1,37,0.119591711,0,11,0.84,44.953125,2,0,"3",80,1,"0","dm",11210,0.2
"4537","2005","09","14","Wednesday",0,"SE",18,0,"P",1.37,376.5,250.26,15.14,1.04,38,0,57.93,11.32,0.23,60.5234375,1.02,1.64,"5",26.11,0,"0","dm",11181,0.166666666666667
"4538","2005","09","14","Wednesday",0,"SB",22,1,"P",1,3100,93,1,3,32,0.352561865,80,15,3.89,77.6875,2,1,"3",737,2,"0","dm",11201,0.166666666666667
"4540","2005","09","14","Wednesday",0,"SA",18,1,"P",1.42,406,259.05,13.39,1.1,31,0,52.63,13,0,86.015625,1,0,"5",59.945,0,"0","dm",11191,0.233333333333333
"4541","2005","09","14","Wednesday",0,"SH",21,1,"P",1.37,667,334.28,6,1,29,0,0,15,1,83.578125,1.21,2,"3",0,1,"0","dm",11176,0.2
