"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date"
0,"SC",18,0,"P",1.01,184.4,9.34,1.02,32.01,9,0,13,62.83,0.1210709638,63.375,1.09,0,0.289999999999571,"5",2.75,2172,"23AUG2005"
0,"SE",19,0,"P",1.12,391.3,9,1,40,16,2,13,181.76,0.0064607542,78.3125,1,1,0,"3",1.6,2193,"23AUG2005"
0,"SC",18,0,"P",1.25,576.25,18,1,43.844,24,1,14,346.19,0.0898644349,73.46875,2,1,0,"3",0,-1877,"23AUG2005"
0,"SC",19,0,"P",1.3,400,14,2,138.03,2,13,14,548.94,0.0329033488,13.564453125,1,1,0,"3",0,1941,"23AUG2005"
0,"SC",19,0,"P",1.28,448.5,16,2,57.21,3,3,14,355.63,0,64.390625,1,1,0,"2",0,1948,"23AUG2005"
0,"SO",17,0,"P",1.03,257.25,16.005,1.08,39.066,3,0.22,14,149.945,0.0562007322,80.703125,1,0,10.7879999999999,"5",0,-1961,"23AUG2005"
0,"SG",18,0,"P",1.2,625,12.17,1.285,13.81,22,0.655,13,166.4,0.1915278118,75.8125,1,0,39.06,"5",2,2125,"23AUG2005"
0,"SL",18,0,"P",1,150,2,1.07,42.6466666666667,1,0.51,14,242.34,0.1381904031,70.34375,1,0,46.86,"5",0,1860,"23AUG2005"
0,"SC",18,0,"P",1.17,445,8,1,57.38,21,2,14,211.75,0,83.375,2,1,0,"3",0,-1963,"23AUG2005"
1,"SL",18,1,"P",1.13,237.083333333333,24,1,44.68,7,0,15,301.103333333333,0,88.28125,1,1,0,"3",0,1976,"23AUG2005"
0,"SF",18,0,"P",1.175,1691,43,1,44.61,14,14,15,1116.96,0.3946312293,57.140625,1.08,1,0,"3",2.06,-2213,"23AUG2005"
0,"SH",19,0,"P",2,1900,4,2,43.7125,10,0,15,0,0,51.2265625,1,1,0,"3",0,-1979,"23AUG2005"
0,"SC",18,0,"P",1.02,500.5,9.57,1.05,6.18333333333333,7,1,14,83.77,0,57.4296875,1.03,0,-4.74358330393443e-13,"5",3.38,2181,"23AUG2005"
0,"SC",18,0,"P",1.03,417,10.5366666666667,1.15,17.4575,17,2,15,73.94,0.1021067894,70.3125,1,0,21.7899999999999,"5",0,1996,"23AUG2005"
0,"SM",18,0,"P",1.03,284.5,15.8366666666667,1.07,35.52,5,0,15,234.22,0.0634501707,76.015625,1,0,14.5799999999999,"5",0,-1988,"23AUG2005"
1,"SO",18,0,"P",1.01,174,11.4,1.02,33.14,9,0,15,60.26,0.036901088,52.921875,1.04,0,-4.76632067147875e-13,"5",2.64,2307,"23AUG2005"
0,"SA",20,0,"P",1.12,100,11,1,0,13,3,17,102.44,0.0507031586,75.9375,1.05,1,0,"3",3.10333333333333,-2296,"23AUG2005"
0,"SC",18,0,"P",1.13,1505.5,20,1,27.98,18,0,17,604.205,0,98.40625,1.1,1,0,"3",1.99,-2279,"23AUG2005"
0,"SC",18,0,"P",1.01,334.75,22,1,28.61,10,0,17,75.715,0.0533972549,90.578125,1.03,1,0,"3",2.375,2186,"23AUG2005"
0,"SA",17,0,"P",1.03,274,14.6353333333333,1.12,33.52,3,0,18,112.835,0.0092139098,80.671875,1,0,11.0999999999999,"5",0,-1987,"23AUG2005"
0,"SB",28,0,"P",1.16,1381,24,1,31.7,12,0,17,891.89,0,50.578125,1.12,1,0,"3",2.4,-2266,"23AUG2005"
0,"SF",18,0,"P",1.24,531.5,41,1,30.66,6,0,18,200.39,0,94.46875,1.02,1,0,"3",1.68857142857143,2159,"23AUG2005"
0,"SO",18,0,"P",1.07,178.583333333333,11.045,1.06,35.399,4,0.0299999999999995,18,148.94,0.0672374398,61.390625,1,0,12.1899999999999,"5",0,1894,"23AUG2005"
0,"SM",18,0,"P",1.12,525,15.6175,1.27148148148148,20.74,7,0.25,18,141.8,0,54.359375,1,0,15.4899999999999,"5",0,1927,"23AUG2005"
0,"SH",18,0,"P",1.05,353.25,19,1,29.85,8,0,18,135.02,0.0426762757,77.203125,1,1,0,"3",0,-2004,"23AUG2005"
0,"SD",18,0,"P",1.08,495.166666666667,22,1,45.686,21,2,19,339.81,0.1468789917,80,1.04,1,0,"3",2.46,-2097,"23AUG2005"
0,"SA",18,0,"P",1.03,384.5,19.31,1.13,20.47,15,3,19,122.015,0.0215137927,75.671875,1.05,0,1.76999999999959,"5",2.86,2199,"23AUG2005"
0,"SA",18,0,"P",1.06,364.333333333333,23.3,1.05,45.23,21,0,20,181.738333333333,0,89.953125,1.08,0,1.76999999999954,"5",2.18,2256,"23AUG2005"
1,"SD",19,0,"P",1.26,667.666666666667,32,1,125.56,24,0,20,519.62,0.1895149886,46.7265625,1.33,0,32.4999999999999,"1",2.12,-2240,"23AUG2005"
0,"SO",20,0,"P",1.92,2571.5,12,3,373.04,1,3.86,20,1650.79428571429,0,6.2705078125,1,1,833.65,"1",0,-2298,"23AUG2005"
0,"SD",18,0,"P",1.02,260.5,15.9,1.12,29.12,21,2,21,94.67,0.0368186833,50.125,1.04,0,1.83999999999952,"5",2.76,2075,"23AUG2005"
0,"SO",18,0,"P",1.02,201.25,10.5441666666667,1.09,38.1383333333333,4,0,20,147.62,0.2343509896,64.953125,1,0,19.1099999999999,"5",0,1938,"23AUG2005"
0,"SO",18,0,"P",1.04,296.25,15.5933333333333,1.03,26.72,13,0,22,66.16,0,94.09375,1.02,0,0.609999999999536,"5",2.49,2170,"23AUG2005"
0,"SM",20,0,"P",1.05,350,13,1.15,0,13,1,23,0,0,94.015625,1.06,0,19.1499999999997,"5",2.62,2148,"23AUG2005"
0,"SM",18,0,"P",1.05,547.5,21.2675,1.04,24.8,7,0.43,23,162.32,0,30.26171875,1.08,0,1.77999999999953,"5",3.1,2082,"23AUG2005"
0,"SC",19,0,"P",1,628.766666666667,5,2,0,11,3,25,217.92,0.4610637259,74.859375,1,1,0,"3",1.96,2060,"23AUG2005"
0,"SA",19,0,"P",1,226.5,13.59,1.04,28.46,19,1,23,70.58,0,68.5625,1.02,0,7.21999999999956,"5",2.75,2146,"23AUG2005"
0,"SC",18,0,"P",1.32,378.5,21.17,1.05,52.6116666666667,3,0,25,277.453333333333,0.155697674,34.984375,1.04,0,8.63999999999971,"5",1.44,2311,"23AUG2005"
0,"SH",18,0,"P",1.09,398.5,13.26,1.14148148148148,25.845,16,0,25,92.82,0.0885831525,81.6875,1,0,14.5399999999999,"5",0,1892,"23AUG2005"
0,"SA",19,0,"P",1.07,607.3,83,2,20.065,23,2,25,109.606071428571,0,64.828125,1.03,1,0,"3",3.042,2081,"23AUG2005"
0,"SO",22,1,"P",1.16,918.583333333333,9,1,84,24,5,27,503.74,0.0423114815,59.4296875,1,1,63,"3",3,-2045,"23AUG2005"
0,"SG",18,0,"P",1.03,471.5,26,1,25.29,6,0.88,27,162.318571428571,0,48.15625,1.02,1,0,"3",2.99,2048,"23AUG2005"
500,"SH",18,0,"P",1,597,2,2,12.0683333333333,16,0,27,136.754285714286,0.2018022402,64.53125,1,1,0,"3",1,2089,"23AUG2005"
0,"SB",18,0,"P",1.01,268.75,17.7277272727273,1.04,30.46,16,0,26,69.575,0.0068414405,76,1.04,0,0.289999999999518,"5",2.57,2071,"23AUG2005"
0,"SL",18,0,"P",1.02,397,10,1.19,31,19,0,27,283.24,0,58.0078125,1,0,20.1166666666666,"5",0,-2005,"23AUG2005"
0,"SO",18,0,"P",1.48,421.75,11,1,90,10,0,28,183.25,0.1567807547,73.90625,1,1,0,"3",0,-2313,"23AUG2005"
1,"SO",18,0,"P",1.03,464.625,9.78,1.07,5.13,21,0,28,82.41,0,58.6953125,1.04,0,0.319999999999531,"5",3.12,2273,"23AUG2005"
0,"SL",18,0,"P",1.01,339.5,14,1.05,50,8,0.2,31,164.09,0.2698151693,61.0546875,1,0,35.4999999999999,"5",1,-2293,"23AUG2005"
0,"SB",18,0,"P",1.13,550,39,1.24,40.78,5,0.171666666666666,30,538.015,0,68.6875,1,0,65.37,"5",0,-1942,"23AUG2005"
0,"SO",19,0,"P",1,646.833333333333,2,2,0,10,2,31,155.28,0,81.3125,2,1,0,"3",0,2212,"23AUG2005"
300,"SA",19,0,"P",1.18,573.833333333333,10,1,13.81,21,2,34,152.53,0.0622011534,64.5,1,1,0,"3",0,1876,"23AUG2005"
0,"SA",18,0,"P",1.26,541.5,28.62,1.02,63.1316666666667,21,0,36,389.22,0.2226169184,48.8359375,1.07,0,15.9399999999997,"5",1.34,2032,"23AUG2005"
0,"SG",18,0,"P",1.05,400.5,20.38,1.02,48.47,18,0.139999999999999,38,311.04,0.2595905336,83.03125,1.07,0,0.289999999999522,"5",2.08,2039,"23AUG2005"
0,"SL",18,0,"P",1.06,360.071428571429,18,1,30.16,16,0,37,171.785,0.0937428467,82.75,1.02,1,0,"3",1.54,-2128,"23AUG2005"
0,"SA",18,0,"P",1.12,529,29,1,23.2,12,0.21,38,302.62,0.1086756168,63.3046875,1,1,0,"3",1,-2315,"23AUG2005"
0,"SA",19,2,"P",1.17,1007,29,1,36.36,4,2,46,496.613333333333,0.4665803155,31.63671875,1,1,877,"3",3,2214,"23AUG2005"
0,"SO",18,0,"P",1.08,465.5,30.3525,1.1,43.34,12,0,46,415.795,0.2842505993,78.03125,1,0,21.1699999999999,"5",0,-1903,"23AUG2005"
1,"SK",19,0,"P",1.28,50,13,2,31,6,1.29,47,264.5,0.0958134595,33.9921875,1,1,0,"3",0.93,2139,"23AUG2005"
0,"SH",18,0,"P",1.19,350,7,1,24.01,9,1,48,0,0.0307259183,85.53125,1.07,1,0,"3",1.88,2180,"23AUG2005"
0,"SC",20,1,"P",1.23,1260.16666666667,18,2,50,5,3,54,921.54,0.6001873277,52.4375,1,0,208.84,"5",0,-1937,"23AUG2005"
1,"SN",20,0,"P",1,1427.33333333333,2,3,0,18,3,55,623.25,0.1820625076,50.21875,1,1,0,"3",0,1873,"23AUG2005"
0,"SA",20,0,"P",1.29,1400,9,3,0,20,3,55,372,0.0439576063,60.1875,1,1,0,"3",3,-2271,"23AUG2005"
0,"SG",18,0,"P",1.06,341,18.6744444444444,1.04,34.74,10,0,55,184.79,0.1889273375,74.21875,1.04,0,0.32999999999952,"5",2.16,2302,"23AUG2005"
0,"SO",19,0,"P",1.1775,299,14,2,30.675,10,1,59,110.43,0,50.546875,1,1,0,"3",0.82,2155,"23AUG2005"
0,"SB",18,0,"P",1.4,533,32.2,1.14,89.61,5,0,64,524.014285714286,0.0654341057,66.265625,1.25,0,21.8399999999999,"5",2.15,-2324,"23AUG2005"
0,"SH",18,0,"P",1.3625,699,13.2883333333333,1.57148148148148,20.44,15,0,71,88.6,0,75.140625,1,0,12.5599999999999,"5",1,2175,"23AUG2005"
0,"SO",18,0,"P",1.1,650,8,1,7.7,17,0,72,62,0.293944235,71.03125,1.07,1,0,"3",2.76,2215,"23AUG2005"
0,"SO",20,0,"P",1.64,873.5,7,1.95,453.77,13,2,105,383.75,0,73.125,1,0,177.35,"5",0,-2006,"23AUG2005"
3000,"SB",36,0,"R",1.72,1719,27.88,2.14,207.16,8.57,4.58,16.14,2664.07,0.1114072124,38.28125,1.46,0,109.17,"5",1.61,2423,"24AUG2005"
0,"SO",30,0,"P",1.11,2492,35.07,1.26,55.63,15.66,6.63,27.99,797.81,0.2882790277,87.734375,1.05,0,61.1299999999999,"5",2.55,2555,"24AUG2005"
1,"SA",18,0,"P",1.2,319.333333333333,9,1.1,59,11.6,0,26.605,236.885,0,72.53125,2,0,6.95999999999993,"5",0,2421,"24AUG2005"
0,"SF",22,0,"P",1.25,3607,32.77,2.11,145.7925,0,8.47,1,1275.94,0.1186167095,71.75,1.13,0,279.05,"5",1.72,2533,"24AUG2005"
0,"SL",20,0,"P",1.23,1200,15,2,61,7,3,4,497,0,65.71875,1,2,656,"3",0,2377,"24AUG2005"
0,"SO",18,0,"P",1.65,475.25,21.73,1.03,68.98,0,0,5,332.32,0.4386530044,44.6015625,2,0,53.19,"5",0,2500,"24AUG2005"
0,"SB",18,0,"P",1.05,198,6.31,1.08,44.52,11,0,5,130.868333333333,0.0902834344,73.890625,1.12,0,6.98999999999956,"5",2.55,2619,"24AUG2005"
1,"SE",19,0,"P",1,200,6,2,46,18,2,10,388.196666666667,0,85.59375,1,2,94,"3",1,2363,"24AUG2005"
0,"SL",19,0,"P",1.26,509,56,1,36.63,14,0,12,217.56,0.623492213,63.3984375,1,1,0,"3",1,2580,"24AUG2005"
0,"SB",19,1,"P",1,2700,6,1,0,2,1,15,310,0,63.3067578125,1,1,374,"3",2,2521,"24AUG2005"
1,"SK",18,0,"P",1.32,531.5,39,1,33.9,11,0,14,217.46,0,76.03125,1.05,1,0,"3",1.31,2506,"24AUG2005"
0,"SO",20,0,"P",1.27,100,23,1,0,17,3,15,216.333333333333,0.2519698991,61.3203125,1,1,138,"3",0,2503,"24AUG2005"
0,"SB",22,1,"P",1.25,250,31,1,21.88,19,3,22,125,0.1306458991,48.0078125,1,1,0,"3",0,2582,"24AUG2005"
1,"SE",22,0,"P",1,4150,1,1,0,6,3.5,25,1335,0.1807323969,61.7265625,2,1,284,"3",1,2438,"24AUG2005"
0,"SB",22,0,"P",1.2,500,11,1,93,4,3,27,29,0,43.6796875,1.05,1,0,"3",2.33,2489,"24AUG2005"
0,"SM",18,0,"P",1,177.5,3,1,29.18,13,0.15,35,45.615,0.0671472084,68.171875,1.032,1,0,"3",2.17833333333333,2543,"24AUG2005"
0,"SA",18,0,"P",1.09,300.75,22,1,26.2166666666667,13,0,34,87.46,0.0290246794,62.421875,1.052,1,0,"3",2,2576,"24AUG2005"
0,"SB",19,1,"P",1.02,236.5,13.66,1.04,29.34,6,2,50,80.22,0,62.5,1.06,0,-4.83169060316868e-13,"5",2.652,2431,"24AUG2005"
0,"SO",18,0,"P",1.71,465,31.01,1.01,63.07,5,0,58,365.4,0.1753475973,36.1796875,1.3,0,8.25999999999976,"5",1.53,2371,"24AUG2005"
0,"SL",19,0,"P",2,950,2,1,0,16,3,68,1022,0.0205110516,60.8359375,1,0,352.63,"3",1,2357,"24AUG2005"
0,"SF",18,0,"P",1,150,1,1,0,3,0.61,105,239.953333333333,0.17483785,77.328125,1.18366666666667,1,0,"3",2.46333333333333,2391,"24AUG2005"
0,"SL",18,0,"P",1,219.25,14.14,1,27.85,12.46,0.0599999999999993,14.5233333333333,70.79,0.0875915764,68.359375,1.1,0,0.289999999999534,"5",2.49,2351,"24AUG2005"
600,"SF",18,0.6,"P",1.28,544.5,29.3,1.12,42.045,12.63,0,27.56,341.94,0,68.546875,1.05,0,13.6799999999998,"5",1.74,2486,"24AUG2005"
0,"SO",18,0,"P",1.13,181,10.9166666666667,1.1,47,9.78,0.42,16.57,108.09,0.0876773645,65.34375,1.05,0,2.74999999999979,"5",2.28,-2596,"24AUG2005"
0,"SE",26,2,"R",1.16,950,22,1,50.35,5.97,1.51,13.3,540.09,0.3967879582,31.14453125,1,1,883,"3",0,2528,"24AUG2005"
900,"SN",22,0,"R",1,350,3,2,0,11.02,0,17.2533333333333,0,0.1824528193,64.578125,1,2,15,"3",4,-2415,"24AUG2005"
1,"SC",24,1,"R",1.1,496,10,2,38.45,6.46,0.85,11.07,382.165,0.1901767878,53.6484375,1,1,0,"3",1.88,-2601,"24AUG2005"
1100,"SD",38,0,"R",1.16,1549,23,2,45.13,7.46,6,6.98,860.216,0.5205108915,44.0390625,1,1,0,"3",3,-2467,"24AUG2005"
0,"SN",34,0,"R",1.26,2150,12,3,36.98,4.41,0,6.15,1768,0.152973589,53.546875,1,1,238,"3",0,-2516,"24AUG2005"
0,"SO",19,0,"P",2,848,4,3,45,3,1.445,1,717.66,0,41.2265625,1,2,0,"3",2,-2369,"24AUG2005"
1,"SA",18,0,"P",1,525.5,1,1,0,1,0.83,2,235.023333333333,0.1268401546,35.96875,1.125,1,0,"3",3,2339,"24AUG2005"
140,"SC",18,0,"P",2,513,5,2,120.39,5.4775,0.58,2,150.35,0,58.6153125,1,1,0,"3",2,-2336,"24AUG2005"
0,"SK",18,0,"P",2,571.5,3,1,45,9,0.41,3,305.523333333333,0.0999750579,61.265625,1,1,0,"3",1,2550,"24AUG2005"
0,"SF",33,0,"R",1.17,2800,6,1,24.94,7.15,3.65,3,2297,0,52.2920703125,1,1,202,"3",3,-2409,"24AUG2005"
0,"SF",19,0,"P",1.03,295.5,12,1.06,30,4,1,3,162.56,0.0754139014,39.234375,1.09,0,6.26999999999954,"5",2.65,2416,"24AUG2005"
0,"SA",18,0,"P",1,187.75,12.88,1.04,29.25,14,0.23,4,69.425,0.0647690396,64.5625,1.03,0,-4.60431692772545e-13,"5",2.56,2475,"24AUG2005"
0,"SA",20,0,"P",1.04,470,16,1,12.51,4,2,2,232.24,0.0917667933,62.140625,1.04,1,0,"3",3,-2598,"24AUG2005"
1,"SO",18,0,"P",2,374.55,2,1,0,12,0,4,173.748333333333,0.5797895286,34.9921875,2,1,0,"3",1,2529,"24AUG2005"
0,"SC",19,0,"P",1.29,381,27,1,76.12,10,1,5,336.23,0,29.7734375,1.14,1,0,"3",1.71,2496,"24AUG2005"
0,"SF",22,0,"P",1.12,1012.5,30,1,18.32,14,2.95,4,548.8,0,69.234375,1,1,0,"3",1,-2574,"24AUG2005"
0,"SD",17,0,"P",1.09,436.5,26.8826666666667,1.21,45.85,7,0.0799999999999994,4,449.716428571429,0,55.1953125,1.02,0,33.0699999999998,"5",1.39,-2481,"24AUG2005"
0,"SK",18,0,"P",1.16,305.25,7,1,29.6275,2,1,6,176.39,0.0187448604,41.71875,1,1,17,"3",1.005,2532,"24AUG2005"
1,"SH",19,0,"P",1.06,619.5,14.5016666666667,1.055,5.00333333333333,17,2,5,105.2,0,42.015625,1.02,0,5.44999999999959,"5",3.09,2452,"24AUG2005"
0,"SM",18,0,"P",1.27,386.5,22,1,49.22,3,0,7,316.293333333333,0.1260214122,72.375,1.02,1,0,"3",1.62,2508,"24AUG2005"
0,"SA",21,2,"P",1.17,437.5,19.56,1.37,42.01,7.24,1.66,7,513.22,0.4729644665,56.09375,1,0,183.9,"5",1,-2504,"24AUG2005"
0,"SB",18,0,"P",1.04,237.5,16.0477272727273,1.05,34.4975,15,0,7,166.505,0.0207001753,83.1875,1.08,0,0.289999999999502,"5",2.52,2428,"24AUG2005"
0,"SD",18,0,"P",1.01,255.333333333333,11.72,1.11,30.105,13,0,8,70.55,0.1687500249,71.109375,1.01,0,0.869999999999531,"5",2.61,2404,"24AUG2005"
0,"SA",18,0,"P",1.01,180.25,14,1,29.6233333333333,19,0,9,70.585,0.0840064606,71.921875,1.05,1,0,"3",2.235,2440,"24AUG2005"
0,"SO",18,0,"P",1,229.25,9.6595,1.04,32.6675,14.86,0.17,10,38.54,0,71.34375,1.03,0,0.289999999999541,"5",2.92,2380,"24AUG2005"
30,"SO",18,0,"P",1.03,214.166666666667,26,1,36.665,10,1,9,100.99,0.0648524659,69.28125,1.02,1,0,"3",2.35,2407,"24AUG2005"
0,"SE",23,0,"P",1.14,2450,13,3,31.16,26,6,11,1330,0.2124853786,65.9375,1.08,1,0,"3",2.47,-2581,"24AUG2005"
0,"SF",18,0,"P",1.03,308.25,23.1632142857143,1.01,40.78,14,0,10,134.313333333333,0,68.375,1.08,0,0.289999999999515,"5",2.64,2545,"24AUG2005"
0,"SC",19,0,"P",1.12,258.559523809524,20,1,26.18,23,0,12,118.393333333333,0.1134078763,80.296875,1,1,0,"3",0,-2466,"24AUG2005"
1,"SH",18,0,"P",1.21,583.5,13.3116666666667,1.33333333333333,8.96,13.62,0.365,13,104,0,65.703125,1,0,17.2999999999999,"5",0,2446,"24AUG2005"
0,"SO",19,0,"P",1,328.5,2,1,0,1,1,13,311.24,0.0976648314,37.359375,1,0,25.52,"2",1,-2591,"24AUG2005"
0,"SO",18,0.57,"P",1.01,178.125,14,1,29.06,16,0,13,42.3,0,83.96875,1.02,1,0,"3",2.335,2382,"24AUG2005"
0,"SO",19,0,"P",1.18,303.5,52,1,33.875,15,0,14,99.54,0,67.03125,1.01,1,0,"3",1.79,2385,"24AUG2005"
900,"SN",22,0,"P",1.21,350,11,2,49,22,3,13,331.01,0.0261045826,46.9453125,1,2,81,"3",1.91,-2557,"24AUG2005"
0,"SA",18,0,"P",1.01,362.5,20.2345,1.03,24.62,7,0,12,110.4,0,83.0625,1.01,0,20.5199999999998,"5",0.97,-2565,"24AUG2005"
0,"SC",18,0,"P",1.14,493.5,34.7725,1.04,38.19,20,-7.41628980449605e-16,14,576.1,0.1875942424,67.953125,1,0,52.62,"5",0.37,-2567,"24AUG2005"
0,"SO",19,0,"P",1.11,401.916666666667,7,1,9.41777777777778,2,1,16,81.41,0.0354919211,63.7578125,1,1,0,"3",1,2534,"24AUG2005"
0,"SO",18,0,"P",1.2,386.75,41,1,25.125,19,0,16,101.795,0,68,1,1,0,"3",0.3675,2530,"24AUG2005"
0,"SA",18,1,"P",1,549.125,1,2,9.25333333333333,9,1,16,110.05,0,78.078125,1,1,0,"3",1.18333333333333,2447,"24AUG2005"
0,"SD",21,0,"P",1,1500,2,1,0,18,2,17,713,0.0386433352,56.8125,1,1,85,"3",1.135,2383,"24AUG2005"
0,"SA",20,0,"P",1.03,343,38,1,37.58,17,2,17,153.325,0.0207430226,78.453125,1.03,1,0,"3",2.56,2379,"24AUG2005"
1,"SC",18,0,"P",1.3,418.5,44,1,87.225,24,0.34,16,431.333333333333,0.3223154582,77.15625,1.16,1,0,"3",1.26,2397,"24AUG2005"
700,"SO",19,2,"P",1.46,3968.5,33.03,1.46,48.16,12,25,17,1277.69,0,29.44140625,1,0,651.6375,"5",1.03,2514,"24AUG2005"
0,"SF",18,0,"P",1,532.833333333333,2,1,14.25,6,0,18,124.065,0.0107356739,88.484375,1,1,0,"3",1,2392,"24AUG2005"
0,"SO",18,0,"P",1,487.25,1,2,3.55166666666666,13,0,18,73.855,0,66.328125,1,1,0,"3",1,2594,"24AUG2005"
1,"SH",18,0,"P",1.1,453,11.6833333333333,1.03,22.505,16,0,18,94.69,0.141093913,71.28125,1,0,2.63999999999951,"5",0.95,2495,"24AUG2005"
0,"SL",18,0,"P",1.03,278.5,12.085,1.20148148148148,27.78,14,0,18,73.9366666666667,0,71.859375,1,0,13.9699999999999,"5",1,2577,"24AUG2005"
0,"SO",19,0,"P",1.06,496.5,10.764,1.04,8.4,7,1,20,98.35,0.0357896046,58.1875,1.03,0,5.44999999999952,"5",3.37,2515,"24AUG2005"
0,"SB",19,0,"P",1.07,218,15,1,28.6216666666667,17,1,22,80.985,0,69.546875,1,1,0,"3",0,2497,"24AUG2005"
0,"SO",18,0,"P",1.21,360.5,45,1,40.385,12,1,23,165.083333333333,0.0912631964,60.5703125,1.01,1,0,"3",1.77,2386,"24AUG2005"
0,"SO",19,0,"P",1.01,305.5,12.19,1.08,24.1135,22,2,23,65.27,0.0197416697,72.21875,1.02,0,5.73999999999954,"5",3,2483,"24AUG2005"
0,"SC",18,0,"P",1.1,260.5,16,1,28.52,6,0.218333333333333,23,92.98,0.0278045415,89.8125,1.03,1,0,"3",1.57666666666667,-2609,"24AUG2005"
1,"SF",18,0,"P",1.03,285.5,10.1366666666667,1.04,25.81,17,0,24,73.6766666666667,0.0396453277,74.859375,1.07,0,0.579999999999548,"5",2.67,2612,"24AUG2005"
0,"SH",24,0,"P",1.14,915,42,4,66.75,12,4.7,26,818.37,0.054264684,74.53125,1.11,0,120.09,"5",2.46,-2402,"24AUG2005"
0,"SC",18,0,"P",1.18,436.75,19.4475,1.06,19.85,9,0,27,95.37,0,79.765625,1.05,0,6.64999999999961,"5",1.88,2548,"24AUG2005"
0,"SA",18,0,"P",1.53,485.5,31.6266666666667,1.28,409.95,7,0.17,27,349.73,0,16.55078125,1.38,0,56.84,"5",1.56,-2607,"24AUG2005"
0,"SB",19,0,"P",1,400,1,2,0,21,2,28,0,0,78.15625,1,1,0,"3",4,-2390,"24AUG2005"
0,"SD",21,0,"P",1.4,250,21,3,1,22,17,28,445.99,0,68.5,1,1,0,"3",1,2595,"24AUG2005"
360,"SO",21,0,"P",1.145,580.5,17,2,29.22,10,2,31,259.86,0.0462319236,62.7734375,1,1,0,"3",1.39,-2334,"24AUG2005"
0,"SH",17,0,"P",1.18,637.166666666667,36.2375,1.04,40.07,14,0,36,396.9175,0,70.03125,1,0,40.2699999999999,"5",0.25,-2587,"24AUG2005"
0,"SA",18,0,"P",1.30666666666667,678,59,1,57.925,11,0,40,502.55,0,91.140625,2,1,0,"3",0,-2358,"24AUG2005"
0,"SO",18,0,"P",1.34,284,17,1,63.75,6,0,43,272.33,0.1026645841,55.3359375,1.14,1,0,"3",1.28,2572,"24AUG2005"
0,"SC",18,0,"P",1.14,488.5,39.11,1.02,37.98,10,0,46,441.755,0.0234840726,87.421875,1.05,0,25.0499999999998,"5",2.01,-2498,"24AUG2005"
0,"SF",18,0,"P",1.23,443.5,28,1,46.5,6,1,47,317.12,0.0195226654,74.53125,1.11,1,0,"3",1.19,2623,"24AUG2005"
0,"SM",18,0,"P",2,751.75,3,2,0,6,0,48,241.748333333333,0,71.140625,2,1,0,"3",0,2393,"24AUG2005"
1,"SD",18,0,"P",1.11,613.5,13,1,13.22,15,0.68,56,95.6875,0.0963447031,74.859375,1.03,1,0,"3",2.15,-2342,"24AUG2005"
1,"SF",30,0,"P",2.55,1848.5,51,3,200,21,12,73,1632.35,0.2746141935,77.421875,2.43,1,0,"3",0.74,-2424,"24AUG2005"
0,"SA",18,0,"P",1.15,419.071428571429,7,1,46,10,0,74,279.27,0.1458059386,81.15625,1.13,1,0,"3",3,-2439,"24AUG2005"
660,"SO",35,0,"R",1.46,1151,26.7,1.32,70.49,6.92,2.37,10.2,542.32,0.4548594458,48.625,1.14,0,122.37,"5",1.38,2814,"25AUG2005"
0,"SK",18,0,"P",1.49,540,31,1,62.9666666666667,0,0,2,569.573333333333,0.098842286,46.5703125,1.15,1,0,"3",1.5,2744,"25AUG2005"
1,"SO",19,0,"P",1,300,3,3,65,10,1,3,266.54,0.0332368357,49.234375,1,2,309,"3",2,2641,"25AUG2005"
0,"SL",18,0,"P",1.02,187.4,9.15,1,29.88,15,0,4,65.6866666666667,0,50.7265625,1.08,0,-4.47357706434559e-13,"5",2.56,2778,"25AUG2005"
0,"SO",18,0,"P",2,150,1,1.35,0,11.555,0,6,31,0,66.09375,1,0,23.7,"5",1,2753,"25AUG2005"
0,"SO",18,0,"P",1.16,504.5,28.6833333333333,1.04,44.63,1,0,9,411.52,0.0872637669,66.46875,1,0,15.6499999999996,"5",0.39,2807,"25AUG2005"
0,"SO",18,0,"P",1,208.5,2,1.13,36,2,0,8,82.47,0.0120999593,78.078125,1.05,0,0.289999999999604,"5",2.45,2806,"25AUG2005"
0,"SO",18,0,"P",1.01,183.25,13,1,26.025,20,0,8,42.115,0.1262431825,75.640625,1.03,1,0,"3",2.365,2819,"25AUG2005"
0,"SO",18,0,"P",1.26,542.5,32.17,1.08,84.98,2,0.0699999999999991,9,524.77,0.2413840862,76.34375,1.14,0,36.4399999999998,"5",1.4,2759,"25AUG2005"
1,"SO",18,0,"P",1.17,270.5,17.54,1.04,45.69,7,0.0699999999999987,16,221.313333333333,0.0523154479,96.328125,1.07,0,10.0999999999996,"5",1.59,2803,"25AUG2005"
920,"SB",21,0,"P",1,1750,2,2,57.97,6,5,25,774,0.0557096807,48.15625,1.12,1,0,"3",2.31,2738,"25AUG2005"
0,"SO",18,0,"P",1,215.5,4,1,26.175,20,0,36,63.8685714285714,0.2654431304,62.09375,1.04,1,0,"3",2.57833333333333,2817,"25AUG2005"
